Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-7235;Джангул;Dzhanhul;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 25’ 52""";"E 32° 31’ 29"""
Ф-7265;Отлеш;Otlesh;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 20’ 21""";"E 32° 33’ 0"""
Ф-7222;Рибацьке;Rybatske;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 28’ 37""";"E 32° 36’ 21"""
Ф-7253;Мілове;Milove;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 21’ 7""";"E 32° 36’ 43"""
Ф-7170;Глибоке;Hlyboke;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 29’ 2""";"E 32° 38’ 0"""
Ф-7268;Пасовищне;Pasovyshchne;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 23’ 0""";"E 32° 44’ 48"""
Ф-7231;Отари;Otary;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 27’ 23""";"E 32° 45’ 46"""
Ф-7167;Алдерменська Скеля;Aldermenska Skelia;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 30’ 8""";"E 32° 46’ 41"""
Ф-7245;Лазурне;Lazurne;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 22’ 13""";"E 32° 50’ 0"""
Ф-7236;Ферма Каракулівка;Ferma Karakulivka;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 26’ 12""";"E 32° 53’ 0"""
Ф-7164;Майорове;Maiorove;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 54’ 29""";"E 32° 55’ 0"""
Ф-7159;Рівне;Rivne;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 39’ 27""";"E 32° 59’ 13"""
Ф-7166;В’ячеславівка;Viacheslavivka;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 32’ 40""";"E 32° 59’ 29"""
Ф-7109;Ромашкине;Romashkyne;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 35’ 48""";"E 33° 0’ 59"""
Ф-7112;Успішне;Uspishne;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 30’ 31""";"E 33° 1’ 53"""
Ф-7141;Китай;Kytai;урочище;Автономна Республіка Крим;р-н Сакський;"N 45° 21’ 7""";"E 33° 10’ 20"""
Ф-7099;Степне;Stepne;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 36’ 59""";"E 33° 10’ 25"""
Ф-7122;Чернушки;Chernushky;урочище;Автономна Республіка Крим;р-н Сакський;"N 45° 25’ 36""";"E 33° 13’ 40"""
Ф-7053;Писарівка;Pysarivka;урочище;Автономна Республіка Крим;р-н Роздольненський;"N 45° 37’ 49""";"E 33° 13’ 53"""
Ф-7086;Писаренка;Pysarenka;урочище;Автономна Республіка Крим;р-н Роздольненський;"N 45° 37’ 34""";"E 33° 13’ 54"""
Ф-4404;Горлиця;Horlytsa;урочище;Автономна Республіка Крим;р-н Роздольненський;"N 45° 42’ 50""";"E 33° 17’ 41"""
Ф-7131;Запорізьке;Zaporizke;урочище;Автономна Республіка Крим;р-н Сакський;"N 45° 23’ 59""";"E 33° 17’ 41"""
Ф-4401;Варячине;Variachyne;урочище;Автономна Республіка Крим;р-н Роздольненський;"N 45° 44’ 50""";"E 33° 19’ 0"""
Ф-7054;Чабанське;Chabanske;урочище;Автономна Республіка Крим;р-н Роздольненський;"N 45° 37’ 19""";"E 33° 20’ 53"""
Ф-4409;Дивне;Dyvne;урочище;Автономна Республіка Крим;р-н Роздольненський;"N 45° 42’ 50""";"E 33° 22’ 11"""
Ф-7121;Лепетиха;Lepetykha;урочище;Автономна Республіка Крим;р-н Сакський;N 45° 11’ 26”;"E 33° 24’ 50"""
Ф-7152;Багате;Bahate;урочище;Автономна Республіка Крим;р-н Сакський;"N 45° 22’ 28""";"E 33° 25’ 18"""
Ф-4414;Тюльпани;Tiulpany;урочище;Автономна Республіка Крим;р-н Роздольненський;"N 45° 40’ 20""";"E 33° 25’ 20"""
