Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-13167;Денків Яр;Denkiv Yar;балка;Кіровоградська обл.;р-н Новоархангельський;"N 48° 44’ 5""";"E 31° 2’ 45"""
Ф-13183;Будьонного Яр;Budonnoho Yar;балка;Кіровоградська обл., Черкаська обл.;;"N 48° 53’ 30""";"E 31° 36’ 10"""
Ф-13185;Грушевий Яр;Hrushevyi Yar;балка;Кіровоградська обл., Черкаська обл.;;"N 48° 53’ 25""";"E 31° 34’ 53"""
Ф-13188;Холодний Яр;Kholodnyi Yar;балка;Кіровоградська обл.;р-н Новомиргородський;"N 48° 49’ 15""";"E 31° 33’ 59"""
Ф-13190;Корнювата;Korniuvata;балка;Кіровоградська обл.;р-н Новомиргородський;"N 48° 42’ 58""";"E 31° 33’ 15"""
Ф-13193;Матвіїв Яр;Matviiv Yar;балка;Кіровоградська обл.;р-н Новомиргородський;"N 48° 45’ 35""";"E 31° 37’ 0"""
Ф-13197;Вікняне;Vikniane;балка;Кіровоградська обл.;"р-н Маловисківський, р-н
Новомиргородський";"N 48° 43’ 28""";"E 31° 35’ 20"""
Ф-13203;Бондарів Яр;Bondariv Yar;балка;Кіровоградська обл.;р-н Новомиргородський;"N 48° 44’ 0""";"E 31° 47’ 0"""
Ф-13206;Широкий Яр;Shyrokyi Yar;балка;Кіровоградська обл.;р-н Новомиргородський;"N 48° 41’ 54""";"E 31° 51’ 36"""
Ф-13209;Чівари;Chivary;балка;Кіровоградська обл.;р-н Новомиргородський;"N 48° 54’ 33""";"E 31° 52’ 5"""
Ф-13214;Кишлянівський Яр;Kyshlianivskyi Yar;балка;Кіровоградська обл.;р-н Новомиргородський;"N 48° 46’ 25""";"E 31° 55’ 6"""
Ф-13230;Семенецький Яр;Semenetskyi Yar;балка;Кіровоградська обл.;р-н Олександрівський;"N 48° 59’ 29""";"E 32° 24’ 0"""
Ф-13231;Коробчина;Korobchyna;балка;Кіровоградська обл.;р-н Світловодський;"N 48° 57’ 25""";"E 32° 49’ 30"""
Ф-13233;Євтушина;Yevtushyna;балка;Кіровоградська обл.;р-н Світловодський;"N 48° 58’ 32""";"E 32° 51’ 50"""
Ф-13235;Салатова;Salatova;балка;Кіровоградська обл.;р-н Світловодський;"N 48° 59’ 14""";"E 32° 55’ 19"""
Ф-13237;Розсохуватий Яр;Rozsokhuvatyi Yar;балка;Кіровоградська обл.;р-н Світловодський;"N 48° 59’ 30""";"E 32° 58’ 0"""
Ф-13250;Долженкова;Dolzhenkova;балка;Кіровоградська обл.;р-н Світловодський;"N 48° 52’ 56""";"E 32° 55’ 50"""
Ф-13261;Ведвежий Яр;Vedmezhyi Yar;балка;Кіровоградська обл.;"р-н Олександрійський, р-н
Знам'янський";"N 48° 47’ 57""";"E 32° 56’ 10"""
Ф-13268;Медянка;Medianka;балка;Кіровоградська обл.;р-н Знам'янський;"N 48° 47’ 47""";"E 32° 45’ 52"""
Ф-13271;Богданівська;Bohdanivska;балка;Кіровоградська обл.;р-н Знам'янський;"N 48° 48’ 47""";"E 32° 39’ 21"""
Ф-13279;Ухівська;Ukhivska;балка;Кіровоградська обл.;р-н Знам'янський;"N 48° 47’ 5""";"E 32° 37’ 10"""
Ф-13288;Тирічіна;Tyrichina;балка;Кіровоградська обл.;р-н Знам'янський;"N 48° 45’ 33""";"E 32° 38’ 15"""
Ф-13293;Харматів Яр;Kharmativ Yar;балка;Кіровоградська обл.;р-н Знам'янський;"N 48° 44’ 52""";"E 32° 48’ 40"""
Ф-13298;Кислякова;Kysliakova;балка;Кіровоградська обл.;р-н Знам'янський;"N 48° 44’ 2""";"E 32° 50’ 55"""
Ф-13305;Користівка;Korystivka;балка;Кіровоградська обл.;р-н Олександрійський;"N 48° 40’ 44""";"E 32° 59’ 43"""
Ф-13326;Соляна;Soliana;балка;Кіровоградська обл.;р-н Світловодський;"N 48° 58’ 42""";"E 33° 7’ 28"""
Ф-13337;Ясинова;Yasynova;балка;Кіровоградська обл.;р-н Онуфріївський;"N 48° 49’ 0""";"E 33° 46’ 50"""
Ф-13340;Вовчик;Vovchyk;балка;Кіровоградська обл.;р-н Олександрійський;"N 48° 43’ 0""";"E 33° 34’ 42"""
Ф-13344;Хрещата;Khreshchata;балка;Кіровоградська обл.;р-н Олександрійський;"N 48° 40’ 58""";"E 33° 33’ 39"""
Ф-13346;Глиняна;Hlyniana;балка;Кіровоградська обл.;р-н Олександрійський;"N 48° 40’ 20""";"E 33° 44’ 50"""
Ф-13351;Лозуватська;Lozuvatka;балка;Кіровоградська обл.;р-н Олександрійський;"N 48° 36’ 2""";"E 32° 56’ 20"""
Ф-13358;Байкова;Baikova;балка;Кіровоградська обл.;р-н Олександрійський;"N 48° 32’ 10""";"E 32° 59’ 50"""
Ф-13361;Герасимова;Herasymova;балка;Кіровоградська обл.;р-н Кіровоградський;"N 48° 29’ 27""";"E 32° 32’ 35"""
Ф-13363;Кандалова;Kandalova;балка;Кіровоградська обл.;р-н Кіровоградський;"N 48° 27’ 22""";"E 32° 30’ 31"""
Ф-13364;Суха;Sukha;балка;Кіровоградська обл.;р-н Новгородківський;"N 48° 28’ 10""";"E 32° 41’ 10"""
Ф-13366;Кочерга;Kocherha;балка;Кіровоградська обл.;р-н Кіровоградський;"N 48° 27’ 23""";"E 32° 36’ 56"""
Ф-13368;Балашова;Balashova;балка;Кіровоградська обл.;"р-н Новгородківський, р-н
Кіровоградський";"N 48° 25’ 12""";"E 32° 33’ 22"""
Ф-13369;Гайдаєва;Haidaieva;балка;Кіровоградська обл.;р-н Новгородківський;"N 48° 24’ 28""";"E 32° 32’ 0"""
Ф-1337;Грузька;Hruzka;річка;Кіровоградська обл.;;"N 48° 33’ 31""";"E 32° 14’ 0"""
Ф-13373;Куца;Kutsa;балка;Кіровоградська обл.;р-н Новгородківський;"N 48° 21’ 12""";"E 32° 33’ 15"""
Ф-13376;Вовча;Vovcha;балка;Кіровоградська обл.;р-н Новгородківський;"N 48° 20’ 8""";"E 32° 32’ 8"""
Ф-13381;Громадська;Hromadska;балка;Кіровоградська обл.;р-н Новгородківський;"N 48° 29’ 30""";"E 32° 46’ 20"""
Ф-13385;Совхозна;Sovkhozna;балка;Кіровоградська обл.;"р-н Олександрійський, р-н
Новгородківський";"N 48° 26’ 55""";"E 32° 53’ 53"""
Ф-13389;Громадська;Hromadska;балка;Кіровоградська обл.;р-н Новгородківський;"N 48° 20’ 30""";"E 32° 50’ 55"""
Ф-13395;Донова;Donova;балка;Кіровоградська обл.;р-н Олександрійський;"N 48° 38’ 12""";"E 32° 59’ 15"""
Ф-13398;Кирякова;Kyriakova;балка;Кіровоградська обл.;р-н Знам'янський;"N 47° 39’ 10""";"E 32° 27’ 40"""
Ф-13404;Левченкова;Levchenkova;балка;Кіровоградська обл.;р-н Кіровоградський;"N 48° 35’ 45""";"E 32° 18’ 17"""
Ф-13426;Куриний Яр;Kurynyi Yar;балка;Кіровоградська обл.;р-н Добровеличківський;"N 48° 35’ 36""";"E 31° 2’ 22"""
Ф-13428;Марківський Яр;Markivskyi Yar;балка;Кіровоградська обл.;р-н Добровеличківський;"N 48° 35’ 58""";"E 31° 5’ 40"""
