Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-1031;Витхла;Vytkhla;річка;Вінницька обл.;;"N 49° 42’ 10""";"E 28° 16’ 40"""
Ф-1032;Гульва;Hulva;річка;Вінницька обл.;;"N 49° 45’ 50""";"E 28° 51’ 23"""
Ф-1033;Фоса;Fosa;річка;Вінницька обл.;;"N 49° 32’ 53""";"E 27° 58’ 20"""
Ф-1035;Бугор;Buhor;потік;Вінницька обл.;;"N 49° 19’ 55""";"E 28° 5’ 7"""
Ф-1040;Згарок;Zgharok;річка;Вінницька обл.;;"N 49° 23’ 10""";"E 28° 14’ 31"""
Ф-1041;Згар;Zghar;річка;Вінницька обл., Хмельницька обл.;;"N 49° 23’ 5""";"E 28° 24’ 25"""
Ф-1047;Постолова;Postolova;річка;Вінницька обл.;;"N 49° 27’ 52""";"E 28° 21’ 23"""
Ф-1048;Камуроївка;Kamuroivka;річка;Вінницька обл.;;"N 49° 31’ 42""";"E 28° 51’ 10"""
Ф-1061;Самець;Samets;річка;Вінницька обл.;;"N 49° 30’ 21""";"E 29° 18’ 31"""
Ф-1062;Білуга;Biluha;річка;Вінницька обл., Житомирська обл.;;"N 49° 33’ 39""";"E 29° 14’ 0"""
Ф-1064;Смотрюха;Smotriukha;річка;Вінницька обл.;;"N 49° 30’ 30""";"E 29° 15’ 40"""
Ф-1065;Горіхова;Horikhova;річка;Вінницька обл.;;"N 49° 29’ 20""";"E 29° 32’ 41"""
Ф-1066;Коза;Koza;річка;Вінницька обл.;;"N 49° 27’ 38""";"E 29° 26’ 49"""
Ф-1073;Поганка;Pohanka;річка;Вінницька обл.;;"N 49° 12’ 22""";"E 29° 3’ 41"""
Ф-1074;Собок;Sobok;річка;Вінницька обл.;;"N 49° 6’ 30""";"E 29° 11’ 49"""
Ф-1075;Лиса Липа;Lysa Lypa;річка;Вінницька обл.;;"N 49° 2’ 11""";"E 29° 28’ 19"""
Ф-1076;Ровець;Rovets;річка;Вінницька обл.;;"N 49° 7’ 16""";"E 28° 20’ 11"""
Ф-1079;Рів;Riv;річка;Вінницька обл.;;"N 49° 5’ 50""";"E 28° 18’ 29"""
Ф-1080;Вільшанка;Vilshanka;річка;Вінницька обл.;;"N 49° 20’ 30""";"E 28° 44’ 13"""
Ф-1087;Батіг;Batih;річка;Вінницька обл.;;"N 48° 40’ 23""";"E 27° 28’ 12"""
Ф-1089;Жван;Zhvan;річка;Вінницька обл.;;"N 48° 40’ 25""";"E 27° 28’ 15"""
Ф-1091;Теребіж;Terebizh;річка;Вінницька обл.;;"N 48° 45’ 24""";"E 27° 31’ 58"""
Ф-1093;Караєць;Karaiets;річка;Вінницька обл.;;"N 48° 28’ 22""";"E 27° 31’ 0"""
Ф-1095;Лядова;Liadova;річка;Вінницька обл.;;"N 48° 29’ 25""";"E 27° 36’ 20"""
Ф-1096;Немия;Nemyia;річка;Вінницька обл.;;"N 48° 27’ 11""";"E 27° 46’ 0"""
Ф-1098;Дерло;Derlo;річка;Вінницька обл.;;"N 48° 26’ 2""";"E 27° 48’ 13"""
Ф-1101;Гнила;Hnyla;річка;Вінницька обл.;;"N 48° 46’ 30""";"E 27° 59’ 12"""
Ф-1102;Лозова;Lozova;річка;Вінницька обл.;;"N 48° 26’ 36""";"E 28° 1’ 56"""
Ф-1105;Ковбасна;Kovbasna;річка;Вінницька обл.;;"N 48° 43’ 50""";"E 28° 5’ 11"""
Ф-1110;Мурашка;Murashka;річка;Вінницька обл.;;"N 48° 32’ 34""";"E 28° 6’ 2"""
Ф-1111;Мушкатівка;Mushkativka;річка;Вінницька обл.;;"N 48° 48’ 42""";"E 28° 3’ 0"""
Ф-1112;Батіжок;Batizhok;річка;Вінницька обл.;;"N 48° 50’ 50""";"E 28° 2’ 20"""
Ф-1114;Мурафа;Murafa;річка;Вінницька обл.;;"N 48° 12’ 39""";"E 28° 14’ 0"""
Ф-1117;Тростянець;Trostianets;річка;Вінницька обл.;;"N 48° 17’ 52""";"E 28° 18’ 40"""
Ф-1121;Яланка;Yalanka;річка;Вінницька обл.;;"N 48° 13’ 49""";"E 28° 29’ 0"""
Ф-1122;Марківка;Markivka;річка;Вінницька обл.;;"N 48° 7’ 41""";"E 28° 25’ 30"""
Ф-1123;Вазлуй;Vazlui;річка;Вінницька обл.;;"N 48° 22’ 11""";"E 28° 4’ 0"""
Ф-1129;Вільшанка;Vilshanka;річка;Вінницька обл.;;"N 48° 8’ 11""";"E 28° 29’ 23"""
Ф-1143;Устя;Ustia;річка;Вінницька обл.;;"N 48° 51’ 30""";"E 28° 59’ 52"""
Ф-1144;"Ладижинське
водосховище";"Ladyzhynske
vodoshovyshche";водосховище;Вінницька обл.;;"N 48° 43’ 31""";"E 29° 8’ 12"""
Ф-1145;Соб;Sob;річка;Вінницька обл.;;"N 48° 40’ 40""";"E 29° 16’ 41"""
Ф-1154;Сорока;Soroka;річка;Вінницька обл.;;"N 48° 57’ 20""";"E 29° 26’ 18"""
Ф-1155;Кіблич;Kiblych;річка;Вінницька обл.;;"N 48° 46’ 51""";"E 29° 21’ 21"""
Ф-1156;Кропив'янка;Kropyvianka;річка;Вінницька обл.;;"N 48° 50’ 55""";"E 29° 7’ 2"""
Ф-1160;Савранка;Savranka;річка;Вінницька обл., Одеська обл.;;"N 48° 8’ 25""";"E 30° 6’ 29"""
Ф-1161;Яланець;Yalanets;річка;"Вінницька обл., Кіровоградська
обл., Одеська обл.";;"N 48° 7’ 42""";"E 30° 2’ 18"""
Ф-12781;Широка Руда;Shyroka Ruda;балка;Вінницька обл.;р-н Козятинський;"N 49° 47’ 18""";"E 28° 32’ 20"""
Ф-12782;Антонова Руда;Antonova Ruda;балка;Вінницька обл.;р-н Немирівський;"N 49° 4’ 55""";"E 28° 48’ 30"""
Ф-12783;Баколовка;Bakolovka;балка;Вінницька обл.;р-н Немирівський;"N 49° 2’ 50""";"E 28° 50’ 50"""
Ф-12784;Ферма;Ferma;гора;Вінницька обл.;р-н Тиврівський;"N 49° 0’ 3""";"E 28° 32’ 11"""
Ф-12785;Сухий Караєць;Sukhyi Karaiets;балка;Вінницька обл.;р-н Мурованокуриловецький;"N 48° 41’ 5""";"E 27° 32’ 35"""
Ф-12793;Козяк;Koziak;балка;Вінницька обл.;р-н Могилів-Подільський;"N 48° 36’ 45""";"E 27° 31’ 50"""
Ф-12801;Рудка;Rudka;балка;Вінницька обл.;р-н Шаргородський;"N 48° 39’ 10""";"E 28° 13’ 0"""
Ф-12827;Жолобок;Zholobok;балка;Вінницька обл.;"р-н Чернівецький, р-н
Шаргородський";"N 48° 37’ 50""";"E 28° 5’ 45"""
Ф-12832;Мулькове;Mulkove;балка;Вінницька обл.;р-н Крижопільський;"N 48° 23’ 55""";"E 28° 57’ 0"""
Ф-12837;Берладинка;Berladynka;річка;Вінницька обл.;;"N 48° 21’ 25""";"E 29° 30’ 50"""
Ф-12863;Половіче;Poloviche;балка;Вінницька обл.;р-н Тростянецький;"N 48° 32’ 25""";"E 29° 14’ 20"""
Ф-12871;Гайдамацький Яр;Haidamatskyi Yar;балка;Вінницька обл.;р-н Тростянецький;"N 48° 21’ 33""";"E 29° 13’ 10"""
Ф-12875;Соказова;Sokazova;балка;Вінницька обл.;р-н Бершадський;"N 48° 20’ 13""";"E 29° 22’ 30"""
Ф-12879;Кисерняк;Kyserniak;балка;Вінницька обл.;р-н Піщанський;"N 48° 10’ 10""";"E 28° 42’ 13"""
Ф-12885;Кисерняк;Kyserniak;річка;Вінницька обл.;;"N 48° 7’ 47""";"E 28° 38’ 11"""
Ф-12891;Окниця;Oknytsia;річка;Вінницька обл.;;"N 48° 5’ 30""";"E 28° 37’ 40"""
Ф-14324;Гарбивня;Harbyvnia;річка;Вінницька обл.;;"N 48° 55’ 58""";"E 29° 26’ 10"""
Ф-14338;Тростянець;Trostianets;річка;Вінницька обл.;;"N 48° 31’ 2""";"E 29° 23’ 20"""
Ф-15152;Лиса Гора;Lysa Hora;гора;Вінницька обл.;Жмеринський р-н;"N 49° 7’ 6""";"E 28° 17’ 56"""
Ф-15153;Могила-Нечая;Mohyla-Nechaia;курган;Вінницька обл.;Тиврівський р-н;"N 48° 55’ 52""";"E 28° 26’ 28"""
Ф-16003;Багушева;Bahusheva;урочище;Вінницька обл.;р-н Мурованокуриловецький;"N 48° 43’ 21""";"E 27° 39’ 8"""
Ф-16023;Антохів;Antokhiv;урочище;Вінницька обл.;р-н Калинівський;"N 49° 32’ 12""";"E 28° 41’ 40"""
Ф-16121;Бакова Рудка;Bakova Rudka;балка;Вінницька обл.;р-н Шаргородський;"N 48° 40’ 12""";"E 27° 58’ 11"""
Ф-16127;Балабухи;Balabukhy;яр;Вінницька обл.;р-н Козятинський;"N 49° 43’ 29""";"E 28° 34’ 26"""
Ф-16136;Балашків Яр;Balashkiv Yar;яр;Вінницька обл.;р-н Погребищенський;"N 49° 30’ 10""";"E 29° 7’ 12"""
Ф-16148;Балки;Balky;урочище;Вінницька обл.;р-н Теплицький;"N 48° 46’ 43""";"E 29° 47’ 29"""
Ф-16220;Бажнева;Bazhneva;урочище;Вінницька обл.;р-н Погребищенський;"N 49° 30’ 14""";"E 29° 12’ 57"""
Ф-16235;Байвалина;Baivalyna;балка;Вінницька обл.;р-н Чечельницький;"N 48° 15’ 37""";"E 29° 17’ 3"""
Ф-16236;Байдалів Яр;Baidaliv Yar;урочище;Вінницька обл.;р-н Калинівський;"N 49° 27’ 5""";"E 28° 49’ 59"""
Ф-16262;Бахча;Bakhcha;урочище;Вінницька обл.;р-н Тульчинський;"N 48° 40’ 58""";"E 28° 47’ 11"""
Ф-16274;Баштан;Bashtan;урочище;Вінницька обл.;р-н Калинівський;"N 49° 28’ 33""";"E 28° 43’ 46"""
Ф-16351;Баркового;Barkovoho;урочище;Вінницька обл.;р-н Погребищенський;"N 49° 28’ 46""";"E 29° 2’ 27"""
Ф-16393;Березинка;Berezynka;урочище;Вінницька обл.;р-н Жмеринський;"N 48° 54’ 40""";"E 28° 5’ 22"""
Ф-16394;Березинка;Berezynka;урочище;Вінницька обл.;р-н Шаргородський;"N 48° 40’ 16""";"E 28° 5’ 12"""
Ф-16409;Березки;Berezky;урочище;Вінницька обл.;р-н Теплицький;"N 48° 40’ 6""";"E 29° 49’ 54"""
Ф-16462;Березовий Яр;Berezovyi Yar;балка;Вінницька обл.;р-н Погребищенський;"N 49° 34’ 40""";"E 29° 7’ 59"""
Ф-16533;Березина;Berezyna;урочище;Вінницька обл.;р-н Мурованокуриловецький;"N 48° 47’ 15""";"E 27° 47’ 15"""
Ф-16534;Березина;Berezyna;урочище;Вінницька обл.;р-н Іллінецький;"N 49° 5’ 18""";"E 29° 19’ 25"""
Ф-16535;Березина;Berezyna;урочище;Вінницька обл.;р-н Тиврівський;"N 49° 7’ 14""";"E 28° 21’ 2"""
Ф-16536;Березина;Berezyna;урочище;Вінницька обл.;р-н Погребищенський;"N 49° 26’ 30""";"E 29° 15’ 11"""
Ф-16537;Березина;Berezyna;урочище;Вінницька обл.;р-н Шаргородський;"N 48° 45’ 53""";"E 28° 7’ 15"""
Ф-16538;Березина;Berezyna;урочище;Вінницька обл.;р-н Погребищенський;"N 49° 30’ 4""";"E 29° 2’ 8"""
Ф-16581;Бистрицький Яр;Bystrytskyi Yar;балка;Вінницька обл.;р-н Погребищенський;"N 49° 32’ 44""";"E 29° 24’ 57"""
Ф-16613;Берести;Beresty;урочище;Вінницька обл.;р-н Гайсинський;"N 48° 51’ 23""";"E 29° 16’ 44"""
Ф-16636;Біличинський Ліс;Bilychynskyi Lis;урочище;Вінницька обл.;р-н Барський;"N 48° 56’ 30""";"E 27° 28’ 0"""
Ф-16639;Білка;Bilka;урочище;Вінницька обл.;р-н Жмеринський;"N 49° 0’ 2""";"E 28° 17’ 0"""
Ф-16646;Біловецький Яр;Bilovetskyi Yar;урочище;Вінницька обл.;р-н Оратівський;"N 49° 13’ 59""";"E 29° 35’ 2"""
Ф-16658;Білоконів Яр;Bilokoniv Yar;балка;Вінницька обл.;р-н Бершадський;"N 48° 17’ 0""";"E 29° 40’ 21"""
Ф-16672;Бессарабка;Bessarabka;урочище;Вінницька обл.;р-н Шаргородський;"N 48° 41’ 38""";"E 28° 1’ 44"""
Ф-16907;Близнюки;Blyzniuky;урочище;Вінницька обл.;р-н Тульчинський;"N 48° 45’ 37""";"E 28° 53’ 48"""
Ф-16932;Бобова;Bobova;урочище;Вінницька обл.;р-н Барський;"N 49° 0’ 51""";"E 27° 47’ 7"""
Ф-16933;Бобове;Bobove;урочище;Вінницька обл.;р-н Барський;"N 48° 59’ 42""";"E 27° 47’ 49"""
Ф-16979;Борівський;Borivskyi;яр;Вінницька обл.;р-н Козятинський;"N 49° 40’ 39""";"E 28° 33’ 30"""
Ф-16988;Братське;Bratske;урочище;Вінницька обл.;р-н Шаргородський;"N 48° 47’ 0""";"E 28° 10’ 23"""
Ф-17121;Данилова Рудка;Danylova Rudka;урочище;Вінницька обл.;р-н Погребищенський;"N 49° 27’ 11""";"E 28° 59’ 33"""
Ф-17131;Даньків;Dankiv;урочище;Вінницька обл.;р-н Тульчинський;"N 48° 49’ 36""";"E 28° 42’ 24"""
Ф-17173;Глинське;Hlynske;урочище;Вінницька обл.;р-н Бершадський;"N 48° 18’ 17""";"E 29° 25’ 46"""
Ф-17246;Городище;Horodyshche;урочище;Вінницька обл.;р-н Вінницький;"N 49° 11’ 37""";"E 28° 28’ 33"""
Ф-17278;Гончарів Яр;Honchariv Yar;балка;Вінницька обл.;р-н Тростянецький;"N 48° 23’ 29""";"E 29° 4’ 18"""
Ф-17306;Глибоке;Hlyboke;урочище;Вінницька обл.;р-н Барський;"N 48° 57’ 42""";"E 27° 50’ 38"""
Ф-17363;Гречунева;Hrechuneva;урочище;Вінницька обл.;р-н Барський;"N 48° 52’ 5""";"E 27° 56’ 4"""
Ф-17373;Глибокий Берег;Hlybokyi Bereh;урочище;Вінницька обл.;р-н Липовецький;"N 49° 23’ 18""";"E 28° 56’ 21"""
Ф-17404;Демкове;Demkove;урочище;Вінницька обл.;р-н Барський;"N 48° 57’ 40""";"E 27° 47’ 47"""
Ф-17418;Васева;Vaseva;урочище;Вінницька обл.;р-н Немирівський;"N 49° 2’ 21""";"E 28° 41’ 56"""
Ф-17426;Данькова Долина;Dankova Dolyna;урочище;Вінницька обл.;р-н Гайсинський;"N 48° 48’ 50""";"E 29° 19’ 49"""
Ф-17438;Дач;Dach;урочище;Вінницька обл.;р-н Козятинський;"N 49° 46’ 46""";"E 28° 51’ 37"""
Ф-17532;Грузів Яр;Hruziv Yar;урочище;Вінницька обл.;р-н Липовецький;"N 49° 24’ 46""";"E 28° 43’ 3"""
Ф-17539;Глинянки;Hlynianky;урочище;Вінницька обл.;р-н Мурованокуриловецький;"N 48° 35’ 11""";"E 27° 30’ 33"""
Ф-17555;Верболози;Verbolozy;яр;Вінницька обл.;р-н Козятинський;"N 49° 49’ 22""";"E 28° 51’ 42"""
Ф-17595;Дегтярня;Dehtiarnia;урочище;Вінницька обл.;р-н Погребищенський;"N 49° 32’ 22""";"E 29° 23’ 41"""
Ф-17647;Волхів Яр;Volkhiv Yar;балка;Вінницька обл.;р-н Тростянецький;"N 48° 17’ 37""";"E 29° 6’ 21"""
Ф-17675;Глибокий Яр;Hlybokyi Yar;урочище;Вінницька обл.;р-н Калинівський;"N 49° 27’ 47""";"E 28° 51’ 16"""
Ф-17676;Глибокий Яр;Hlybokyi Yar;урочище;Вінницька обл.;р-н Козятинський;"N 49° 27’ 34""";"E 28° 57’ 29"""
Ф-17677;Глибокий Яр;Hlybokyi Yar;урочище;Вінницька обл.;р-н Погребищенський;"N 49° 25’ 55""";"E 28° 58’ 16"""
Ф-17678;Глибокий Яр;Hlybokyi Yar;урочище;Вінницька обл.;р-н Козятинський;"N 49° 31’ 53""";"E 28° 49’ 13"""
Ф-17679;Глибокий Яр;Hlybokyi Yar;балка;Вінницька обл.;р-н Чечельницький;"N 48° 11’ 10""";"E 29° 31’ 49"""
Ф-17680;Глибокий Яр;Hlybokyi Yar;урочище;Вінницька обл.;р-н Погребищенський;"N 49° 19’ 8""";"E 29° 7’ 5"""
Ф-17681;Глибокий Яр;Hlybokyi Yar;балка;Вінницька обл.;р-н Чечельницький;"N 48° 9’ 14""";"E 29° 26’ 3"""
Ф-17682;Глибокий Яр;Hlybokyi Yar;балка;Вінницька обл.;р-н Погребищенський;"N 49° 26’ 56""";"E 29° 1’ 55"""
Ф-17700;Дернівець;Dernivets;урочище;Вінницька обл.;р-н Мурованокуриловецький;"N 48° 42’ 29""";"E 27° 46’ 0"""
Ф-17738;Гриненки;Hrynenky;урочище;Вінницька обл.;р-н Немирівський;"N 48° 46’ 41""";"E 28° 56’ 18"""
Ф-17740;Гриникова Гребля;Hrynykova Hreblia;урочище;Вінницька обл.;р-н Іллінецький;"N 49° 0’ 46""";"E 29° 35’ 58"""
Ф-17805;Васюків;Vasiukiv;урочище;Вінницька обл.;р-н Калинівський;"N 49° 26’ 48""";"E 28° 51’ 36"""
Ф-17901;Горби;Horby;урочище;Вінницька обл.;р-н Крижопільський;"N 48° 29’ 8""";"E 28° 49’ 37"""
Ф-17939;Венгерів Ліс;Venheriv Lis;урочище;Вінницька обл.;р-н Оратівський;"N 49° 13’ 2""";"E 29° 28’ 8"""
Ф-18025;Вільховий Яр;Vilkhovyi Yar;урочище;Вінницька обл.;р-н Погребищенський;"N 49° 31’ 29""";"E 29° 1’ 27"""
Ф-18049;Грицеві Садки;Hrytsevi Sadky;урочище;Вінницька обл.;р-н Чечельницький;"N 48° 17’ 40""";"E 29° 15’ 23"""
Ф-18107;Голубів;Holubiv;урочище;Вінницька обл.;р-н Гайсинський;"N 48° 50’ 52""";"E 29° 38’ 48"""
Ф-18207;Грушевський Яр;Hrushevskyi Yar;урочище;Вінницька обл.;р-н Липовецький;"N 49° 20’ 15""";"E 28° 54’ 27"""
Ф-18262;Данилівка;Danylivka;урочище;Вінницька обл.;р-н Тульчинський;"N 48° 44’ 31""";"E 28° 40’ 6"""
Ф-18403;Виїмка;Vyimka;урочище;Вінницька обл.;р-н Жмеринський;"N 49° 5’ 14""";"E 28° 19’ 3"""
Ф-18411;Вили;Vyly;урочище;Вінницька обл.;р-н Оратівський;"N 49° 12’ 4""";"E 29° 18’ 40"""
Ф-18445;Буймістрова;Buimistrova;урочище;Вінницька обл.;р-н Шаргородський;"N 48° 48’ 30""";"E 28° 9’ 57"""
Ф-18490;Вовчий Яр;Vovchyi Yar;балка;Вінницька обл.;р-н Погребищенський;"N 49° 27’ 9""";"E 29° 8’ 42"""
Ф-18610;Бурлакове;Burlakove;урочище;Вінницька обл.;р-н Піщанський;"N 48° 15’ 32""";"E 29° 3’ 2"""
