Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-14685;Ягодичний;Yahodychnyi;потік;Закарпатська обл.;р-н Свалявський;"N 48° 27’ 51""";"E 23° 14’ 30"""
Ф-9790;Скеля;Skelia;гора;Закарпатська обл.;р-н Перечинський;"N 48° 46’ 36""";"E 22° 25’ 0"""
Ф-14694;Великий Грабовий;Velykyi Hrabovyi;потік;Закарпатська обл.;р-н Іршавський;"N 48° 22’ 26""";"E 23° 18’ 50"""
Ф-37172;Палениця;Palenytsia;гора;Закарпатська обл.;р-н Верховинський;"N 47° 43’ 25""";"E 24° 53’ 2"""
Ф-2669;Широка;Shyroka;річка, що пересихає;Закарпатська обл.;;"N 47° 51’ 28""";"E 25° 53’ 10"""
Ф-10405;Мунчел;Munchel;гора;Закарпатська обл.;р-н Рахівський;"N 47° 53’ 50""";"E 24° 13’ 25"""
Ф-27040;Прислоп;Pryslop;гора;Закарпатська обл.;р-н Рахівський;"N 47° 54’ 11""";"E 24° 14’ 26"""
Ф-15249;Прислоп;Pryslop;гора;Закарпатська обл.;Рахівський р-н;"N 47° 54’ 11""";"E 24° 14’ 26"""
Ф-10421;Полонинка;Polonynka;гора;Закарпатська обл.;р-н Рахівський;"N 47° 54’ 20""";"E 24° 16’ 35"""
Ф-16090;Бандак;Bandak;урочище;Закарпатська обл.;р-н Рахівський;"N 47° 54’ 25""";"E 24° 13’ 39"""
Ф-10411;Прелука;Preluka;гора;Закарпатська обл.;р-н Рахівський;"N 47° 54’ 27""";"E 24° 15’ 23"""
Ф-33988;Довгий Потік;Dovhyi Potik;урочище;Закарпатська обл.;р-н Рахівський;"N 47° 54’ 3""";"E 24° 13’ 33"""
Ф-36375;Гроби;Hroby;урочище;Закарпатська обл.;р-н Рахівський;"N 47° 54’ 37""";"E 24° 14’ 26"""
Ф-10437;Шербан;Sherban;гора;Закарпатська обл.;р-н Рахівський;"N 47° 54’ 40""";"E 24° 17’ 58"""
Ф-32598;Явірник;Yavirnyk;полонина;Закарпатська обл.;р-н Рахівський;"N 47° 54’ 55""";"E 24° 17’ 12"""
Ф-10419;Гальчинка;Halchynka;полонина;Закарпатська обл.;р-н Рахівський;"N 47° 54’ 57""";"E 24° 15’ 50"""
Ф-14509;Нориця;Norytsia;потік;Закарпатська обл.;р-н Рахівський;"N 47° 55’ 10""";"E 24° 10’ 8"""
Ф-10403;Жовта;Zhovta;гора;Закарпатська обл.;р-н Рахівський;"N 47° 55’ 10""";"E 24° 11’ 20"""
Ф-38409;Струнґа;Strunga;гора;Закарпатська обл.;р-н Рахівський;"N 47° 55’ 2""";"E 24° 18’ 27"""
Ф-27556;Ограба;Ohraba;урочище;Закарпатська обл.;р-н Рахівський;"N 47° 55’ 26""";"E 24° 15’ 30"""
Ф-27874;Пола;Pola;гора;Закарпатська обл.;р-н Рахівський;"N 47° 55’ 29""";"E 24° 7’ 9"""
Ф-15248;Пола;Pola;гора;Закарпатська обл.;Рахівський р-н;"N 47° 55’ 29""";"E 24° 7’ 9"""
Ф-10440;Піп-Іван;Pip-Ivan;гора;Закарпатська обл.;р-н Рахівський;"N 47° 55’ 32""";"E 24° 19’ 35"""
Ф-10455;Піп-Іван;Pip-Ivan;гори;Закарпатська обл.;р-н Рахівський;"N 47° 55’ 32""";"E 24° 19’ 45"""
Ф-10429;Струмки;Strumky;полонина;Закарпатська обл.;р-н Рахівський;"N 47° 55’ 35""";"E 24° 18’ 10"""
Ф-14508;Полонський;Polonskyi;потік;Закарпатська обл.;р-н Рахівський;"N 47° 55’ 35""";"E 24° 9’ 58"""
Ф-14514;Великий Розсіш;Velykyi Rozsish;потік;Закарпатська обл.;р-н Рахівський;"N 47° 55’ 39""";"E 24° 13’ 30"""
Ф-14516;Скородний;Skorodnyi;потік;Закарпатська обл.;р-н Рахівський;"N 47° 55’ 40""";"E 24° 13’ 32"""
Ф-30595;Струнжин Ґрунь;Strunzhyn Grun;гора;Закарпатська обл.;р-н Рахівський;"N 47° 55’ 41""";"E 24° 16’ 44"""
Ф-14515;Малий Розсіш;Malyi Rozsish;потік;Закарпатська обл.;р-н Рахівський;"N 47° 55’ 42""";"E 24° 12’ 44"""
Ф-1558;Явірниковий;Yavirnykovyi;потік;Закарпатська обл.;;"N 47° 55’ 47""";"E 24° 15’ 20"""
Ф-31786;Чорний Грунь;Chornyi Hrun;гора;Закарпатська обл.;р-н Рахівський;"N 47° 55’ 48""";"E 24° 20’ 58"""
Ф-36394;Рипа;Rypa;гора;Закарпатська обл.;р-н Рахівський;"N 47° 55’ 5""";"E 24° 20’ 18"""
Ф-14517;Ялин;Yalyn;потік;Закарпатська обл.;р-н Рахівський;"N 47° 55’ 50""";"E 24° 14’ 50"""
Ф-34912;Квасний;Kvasnyi;полонина;Закарпатська обл.;р-н Рахівський;"N 47° 56’ 10""";"E 24° 19’ 50"""
Ф-10401;Полонська;Polonska;гора;Закарпатська обл.;р-н Рахівський;"N 47° 56’ 10""";"E 24° 7’ 59"""
Ф-3308;Кізій;Kizii;потік;Закарпатська обл.;;"N 47° 56’ 10""";"E 24° 6’ 4"""
Ф-1557;Білий;Bilyi;річка;Закарпатська обл.;;"N 47° 56’ 12""";"E 24° 10’ 42"""
