Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-14359	Гидча-Вершик	Hydch-Vershyk	річка	Чернівецька обл.	р-н Путильський	"N 47° 49’ 54"""	"E 25° 4’ 39"""
Ф-2267	Серет	Seret	річка	Чернівецька обл.		"N 45° 24’ 11"""	"E 28° 1’ 27"""
Ф-2204	Жижія	Zhyzhiia	річка	Чернівецька обл.		"N 46° 54’ 12"""	"E 28° 4’ 58"""
Ф-34273	Бессарабія	Bessarabiia	"історико-географічна
область"	Чернівецька обл., Одеська обл.		"N 47° 1’ 46"""	"E 29° 43’ 37"""
Ф-16181	Баранова	Baranova	гора	Чернівецька обл.	р-н Путильський	"N 47° 43’ 42"""	"E 24° 59’ 44"""
Ф-14780	Сарата	Sarata	гора	Чернівецька обл.	Путильський р-н	"N 47° 44’ 1"""	"E 24° 59’ 7"""
Ф-29597	Сарата	Sarata	гора	Чернівецька обл.	р-н Путильський	"N 47° 44’ 1"""	"E 24° 59’ 7"""
Ф-28248	Плай	Plai	урочище	Чернівецька обл.	р-н Путильський	"N 47° 44’ 10"""	"E 24° 58’ 7"""
Ф-5166	Жупани	Zhupany	хребет	Чернівецька обл.	р-н Путильський	"N 47° 44’ 10"""	"E 24° 56’ 20"""
Ф-14378	Баранів	Baraniv	потік	Чернівецька обл.	р-н Путильський	"N 47° 44’ 2"""	"E 25° 0’ 19"""
Ф-5271	Семенчук	Semenchuk	перевал	Чернівецька обл.	р-н Путильський	"N 47° 44’ 45"""	"E 25° 3’ 43"""
Ф-14779	Юпаня	Yupania	гора	Чернівецька обл.	Путильський р-н	"N 47° 45’ 14"""	"E 24° 57’ 37"""
Ф-33442	Юпаня	Yupania	гора	Чернівецька обл.	р-н Путильський	"N 47° 45’ 14"""	"E 24° 57’ 37"""
Ф-30459	Семенчук	Semenchuk	гора	Чернівецька обл.	р-н Путильський	"N 47° 45’ 16"""	"E 25° 3’ 45"""
