Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-12916	Граура	Hraura	балка	Миколаївська обл.	р-н Первомайський	"N 48° 8’ 50"""	"E 31° 9’ 15"""
Ф-12923	Лісковицька	Liskovytska	балка	Миколаївська обл.	р-н Доманівський	"N 47° 43’ 30"""	"E 30° 58’ 10"""
Ф-12929	Чартала	Chartala	балка	Миколаївська обл.	р-н Доманівський	"N 47° 41’ 35"""	"E 30° 50’ 18"""
Ф-12940	Поперечный Яр	Poperechnyi Yar	балка	Миколаївська обл.	р-н Доманівський	"N 47° 41’ 5"""	"E 30° 58’ 55"""
Ф-12943	Штиль	Shtyl	гора	Миколаївська обл.	р-н Арбузинський	"N 47° 59’ 50"""	"E 31° 17’ 24"""
Ф-12951	Козина	Kozyna	балка	Миколаївська обл.	р-н Арбузинський	"N 47° 57’ 25"""	"E 31° 22’ 15"""
Ф-12979	Лопатова	Lopatova	балка	Миколаївська обл.	р-н Арбузинський	"N 47° 52’ 10"""	"E 31° 14’ 55"""
Ф-12981	Кам'яна	Kamiana	балка	Миколаївська обл.	р-н Доманівський	"N 47° 50’ 50"""	"E 31° 2’ 50"""
Ф-12994	Перепелицина	Perepelytsyna	балка	Миколаївська обл.	р-н Доманівський	"N 47° 48’ 0"""	"E 31° 5’ 30"""
Ф-13000	Зелений Яр	Zelenyi Yar	балка	Миколаївська обл.	р-н Доманівський	"N 47° 46’ 30"""	"E 31° 7’ 50"""
Ф-13015	Солона	Solona	балка	Миколаївська обл.	р-н Братський	"N 47° 46’ 40"""	"E 31° 29’ 40"""
Ф-13020	Соловки	Solovky	балка	Миколаївська обл.	р-н Доманівський	"N 47° 44’ 10"""	"E 31° 3’ 16"""
Ф-13024	Чубарівка	Chubarivka	балка	Миколаївська обл.	р-н Доманівський	"N 47° 44’ 0"""	"E 31° 6’ 40"""
Ф-13027	Вовченко	Vovchenko	балка	Миколаївська обл.	р-н Вознесенський	"N 47° 41’ 50"""	"E 31° 24’ 55"""
Ф-13232	Злодійка	Zlodiika	балка	Миколаївська обл.	р-н Вознесенський	"N 47° 40’ 45"""	"E 31° 21’ 9"""
Ф-13252	Верещі	Vereshchi	балка	Миколаївська обл.	р-н Братський	"N 47° 46’ 40"""	"E 31° 33’ 45"""
Ф-13258	Сьомкіна	Somkina	балка	Миколаївська обл.	р-н Єланецький	"N 47° 46’ 50"""	"E 31° 54’ 30"""
Ф-13269	Журавлина	Zhuravlyna	балка	Миколаївська обл.	р-н Братський	"N 47° 45’ 40"""	"E 31° 33’ 15"""
Ф-13283	Панська	Panska	балка	Миколаївська обл.	р-н Братський	"N 47° 46’ 5"""	"E 31° 40’ 0"""
Ф-13290	Третя	Tretia	балка	Миколаївська обл.	р-н Братський	"N 47° 44’ 40"""	"E 31° 32’ 5"""
Ф-13300	Крутий Яр	Krutyi Yar	балка	Миколаївська обл.	р-н Братський, р-н Вознесенський	"N 47° 44’ 10"""	"E 31° 39’ 5"""
Ф-13304	Середня	Seredna	балка	Миколаївська обл.	р-н Єланецький	"N 47° 43’ 30"""	"E 31° 53’ 5"""
Ф-13328	Гаєвська	Haievska	балка	Миколаївська обл.	р-н Єланецький	"N 47° 42’ 45"""	"E 31° 53’ 40"""
Ф-13331	Шутова	Shutova	балка	Миколаївська обл.	р-н Вознесенський	"N 47° 40’ 30"""	"E 31° 32’ 30"""
Ф-13333	Сагайдак	Sahaidak	балка	Миколаївська обл.	р-н Новобузький	"N 47° 45’ 8"""	"E 32° 25’ 40"""
Ф-13336	Чайкина-Могила	Chaikyna-Mohyla	гора	Миколаївська обл.	р-н Єланецький	"N 47° 45’ 0"""	"E 32° 11’ 14"""
Ф-13347	Водинська	Vodynska	балка	Миколаївська обл.	р-н Єланецький	"N 47° 43’ 10"""	"E 32° 0’ 40"""
Ф-13348	Каламурза	Kalamurza	балка	Миколаївська обл.	р-н Новобузький	"N 47° 43’ 38"""	"E 32° 19’ 52"""
Ф-13349	Полохлива	Polokhlyva	долина	Миколаївська обл.	р-н Єланецький, р-н Новобузький	"N 47° 43’ 20"""	"E 32° 12’ 55"""
