Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-10;Кримський;Krymskyi;природний заповідник;загальнодержавного значення;"Автономна Республіка
Крим";р-н Бахчисарайський;"N 44°39'44""";"E 34°12'26"""
П-11;Лебедині Острови;Lebedyni Ostrovy;"філіал Кримського природного
заповідника";загальнодержавного значення;"Автономна Республіка
Крим";р-н Роздольненський;"N 45°51'10""";"E 33°31'32"""
П-12;Мис Мартьян;Mys Martian;природний заповідник;загальнодержавного значення;"Автономна Республіка
Крим";;"N 44°30'41""";"E 34°15'16"""
П-13;Опукський;Opukskyi;природний заповідник;загальнодержавного значення;"Автономна Республіка
Крим";р-н Ленінський;"N 45°2'37""";"E 36°13'33"""
П-14;Ялтинський гірсько-лісовий;Yaltynskyi hirsko-lisovyi;природний заповідник;загальнодержавного значення;"Автономна Республіка
Крим";;"N 44°28'41""";"E 34°8'26"""
П-144;Євпаторійський дендропарк;Yevpatoriiskyi dendropark;дендрологічний парк;місцевого значення;"Автономна Республіка
Крим";Євпаторійська міськрада;"N 45°11'10""";"E 33°21'37"""
П-1688;Ділянка степу біля с. Сонячне;Dilianka stepu bilia s. Soniachne;заказник ландшафтний;місцевого значення;"Автономна Республіка
Крим";р-н Сімферопольський;"N 45°1'0""";"E 34°5'57"""
П-1692;Джангульський;Dzhanhulskyi;заказник ландшафтний;місцевого значення;"Автономна Республіка
Крим";р-н Чорноморський;"N 45°27'50""";"E 32°33'31"""
П-2044;Печера-грот Данільча-Коба;Pechera-hrot Danilcha-koba;геологічна пам'ятка природи;місцевого значення;"Автономна Республіка
Крим";р-н Бахчисарайський;"N 44°31'24""";"E 33°57'29"""
П-2045;Печера-грот Кіік-Коба;Pechera-hrot Kiik-koba;геологічна пам'ятка природи;місцевого значення;"Автономна Республіка
Крим";р-н Білогірський;"N 44°59'8""";"E 34°20'28"""
