Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1012;Красноставський;Krasnostavskyi;заказник гідрологічний;місцевого значення;Черкаська обл.;р-н Маньківський;"N 48°58'5""";"E 30°6'55"""
П-105;Черкаський зоологічний парк;Cherkaskyi zoolohichnyi park;зоологічний парк;загальнодержавного значення;Черкаська обл.;Черкаська міськрада;"N 49°26'23""";"E 32°3'1"""
П-1056;Рогівський;Rohivskyi;заказник гідрологічний;місцевого значення;Черкаська обл.;р-н Маньківський;"N 48°52'55""";"E 30°25'39"""
П-1061;Будищанський;Budyshchanskyi;заказник ентомологічний;місцевого значення;Черкаська обл.;р-н Лисянський;"N 49°13'45""";"E 30°55'12"""
П-1078;Кутівський;Kutivskyi;заказник гідрологічний;місцевого значення;Черкаська обл.;р-н Маньківський;"N 49°6'42""";"E 30°19'58"""
П-1090;Русалівський;Rusalivskyi;заказник гідрологічний;місцевого значення;Черкаська обл.;р-н Маньківський;"N 49°9'32""";"E 30°27'38"""
П-1092;Гусаківський;Husakivskyi;заказник ентомологічний;місцевого значення;Черкаська обл.;р-н Звенигородський;"N 49°0'6""";"E 30°51'18"""
П-1094;Жашківський;Zhashkivskyi;заказник ентомологічний;місцевого значення;Черкаська обл.;р-н Жашківський;"N 49°13'59""";"E 30°7'42"""
П-1112;Лебедине озеро;Lebedyne ozero;заказник гідрологічний;місцевого значення;Черкаська обл.;р-н Жашківський;"N 49°1'39""";"E 30°7'2"""
П-1164;Монастирський;Monastyrskyi;заказник ентомологічний;місцевого значення;Черкаська обл.;р-н Городищенський;"N 49°17'14""";"E 31°29'35"""
П-1169;Орадівський;Oradivskyi;заказник ентомологічний;місцевого значення;Черкаська обл.;р-н Христинівський;"N 48°45'47""";"E 29°57'40"""
П-119;Тарасів обрій;Tarasiv obrii;заказник ландшафтний;загальнодержавного значення;Черкаська обл.;р-н Канівський;"N 49°45'21""";"E 31°31'4"""
П-1204;Бубнівські Сосни;Bubnivski Sosny;заказник орнітологічний;місцевого значення;Черкаська обл.;р-н Золотоніський;"N 49°41'11""";"E 31°43'48"""
П-1260;Степанківський;Stepankivskyi;заказник гідрологічний;місцевого значення;Черкаська обл.;р-н Драбівський;"N 50°6'18""";"E 32°15'20"""
П-1276;Озеро Широке;Ozero Shyroke;заказник орнітологічний;місцевого значення;Черкаська обл.;р-н Золотоніський;"N 49°42'11""";"E 31°41'30"""
П-132;Козачанський;Kozachanskyi;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Черкаська обл.;р-н Звенигородський;"N 49°6'20""";"E 31°8'41"""
П-138;"Парк ім. 50-річчя Радянської
влади";"Park im. 50-richchia Radianskoi
vlady";"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Черкаська обл.;Черкаська міськрада;"N 49°27'49""";"E 32°1'48"""
П-1390;Заплавський;Zaplavskyi;заказник гідрологічний;місцевого значення;Черкаська обл.;р-н Драбівський;"N 49°51'54""";"E 32°8'36"""
П-142;Тальнівський парк;Talnivskyi park;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Черкаська обл.;р-н Тальнівський;"N 48°52'27""";"E 30°41'46"""
П-1421;Дуб Д.М.Карбишева;Dub D.m.karbysheva;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;"р-н Корсунь-
Шевченківський";"N 49°20'49""";"E 31°1'15"""
П-145;Софіївка;Sofiivka;дендрологічний парк;загальнодержавного значення;Черкаська обл.;Уманська міськрада;"N 48°45'45""";"E 30°14'2"""
П-1478;Сунківський-1;Sunkivskyi-1;заказник ландшафтний;місцевого значення;Черкаська обл.;р-н Смілянський;"N 49°11'57""";"E 32°1'42"""
П-1505;Роський;Roskyi;заказник іхтіологічний;місцевого значення;Черкаська обл.;р-н Канівський;"N 49°39'35""";"E 31°34'15"""
П-1561;Дуби Т.Г.Шевченка;Duby T.h.shevchenka;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Звенигородський;"N 49°11'54""";"E 31°1'50"""
П-1565;Дубина;Dubyna;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Черкаський;"N 49°36'4""";"E 31°37'2"""
П-1702;Вікові дерева бука і каштана;Vikovi dereva buka i kashtana;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Звенигородський;"N 49°4'54""";"E 30°39'49"""
П-1733;Вікове дерево дуба;Vikove derevo duba;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Черкаський;"N 49°35'43""";"E 31°33'8"""
П-1735;Віковий дуб;Vikovyi dub;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Канівський;"N 49°42'46""";"E 31°24'30"""
П-1736;Віковий дуб;Vikovyi dub;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Жашківський;"N 49°13'13""";"E 30°6'54"""
П-1737;Віковий дуб;Vikovyi dub;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Жашківський;"N 49°13'18""";"E 30°6'56"""
П-1753;Підгірський;Pidhirskyi;заказник ентомологічний;місцевого значення;Черкаська обл.;р-н Чорнобаївський;"N 49°34'28""";"E 32°11'36"""
П-1776;"Високопродуктивне
насадження дуба";"Vysokoproduktyvne
nasadzhennia duba";ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Черкаський;"N 49°19'41""";"E 31°47'34"""
П-1777;"Високопродуктивне
насадження сосни";"Vysokoproduktyvne
nasadzhennia sosny";ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Черкаський;"N 49°23'8""";"E 31°50'18"""
П-1793;Стебнівський;Stebnivskyi;заказник ентомологічний;місцевого значення;Черкаська обл.;р-н Звенигородський;"N 49°0'56""";"E 30°58'52"""
П-1814;Гайдамацький дуб;Haidamatskyi dub;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;"р-н Корсунь-
Шевченківський";"N 49°18'0""";"E 31°9'45"""
П-1837;Ярославський;Yaroslavskyi;заказник ентомологічний;місцевого значення;Черкаська обл.;р-н Шполянський;"N 48°47'30""";"E 31°22'58"""
П-1838;Імшан;Imshan;заказник загальнозоологічний;місцевого значення;Черкаська обл.;р-н Черкаський;"N 49°27'16""";"E 31°33'2"""
П-1859;Насадження дуба;Nasadzhennia duba;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Черкаський;"N 49°32'10""";"E 31°51'30"""
П-1860;Насадження ялівця;Nasadzhennia yalivtsia;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Черкаський;"N 49°25'5""";"E 31°51'27"""
П-1911;Виграївський;Vyhraivskyi;заказник загальнозоологічний;місцевого значення;Черкаська обл.;"р-н Корсунь-
Шевченківський";"N 49°27'12""";"E 31°5'59"""
П-1941;Плантація бархата амурського;Plantatsiia barkhata amurskoho;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Черкаський;"N 49°29'4""";"E 31°44'41"""
П-2008;"Русько-Полянський
приболотний";Rusko-Polianskyi prybolotnyi;заказник ландшафтний;місцевого значення;Черкаська обл.;р-н Черкаський;"N 49°24'15""";"E 31°47'11"""
П-2017;Дерева-сестри;Dereva-sestry;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Чорнобаївський;"N 49°33'7""";"E 32°12'13"""
П-2019;Дерево Сосни-сестри;Derevo Sosny-sestry;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Черкаський;"N 49°36'49""";"E 31°34'49"""
П-2054;Лисяче джерело;Lysiache dzherelo;гідрологічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Канівський;"N 49°52'39""";"E 31°25'32"""
П-2122;Скеля І.С.Нечуя-Левицького;Skelia I.s.nechuia-Levytskoho;геологічна пам'ятка природи;місцевого значення;Черкаська обл.;"р-н Корсунь-
Шевченківський";"N 49°24'33""";"E 31°7'46"""
П-2123;Скеля Адама Міцкевича;Skelia Adama Mitskevycha;геологічна пам'ятка природи;місцевого значення;Черкаська обл.;"р-н Корсунь-
Шевченківський";"N 49°24'58""";"E 31°5'52"""
П-2124;Скеля Бурлачка;Skelia Burlachka;геологічна пам'ятка природи;місцевого значення;Черкаська обл.;"р-н Корсунь-
Шевченківський";"N 49°25'21""";"E 31°5'52"""
П-2126;Скеля Козак-камінь;Skelia Kozak-kamin;геологічна пам'ятка природи;місцевого значення;Черкаська обл.;"р-н Корсунь-
Шевченківський";"N 49°24'52""";"E 31°13'34"""
П-2157;Скеля Сфінкс;Skelia Sfinks;геологічна пам'ятка природи;місцевого значення;Черкаська обл.;"р-н Корсунь-
Шевченківський";"N 49°24'55""";"E 31°7'42"""
П-2164;Хлистунівське відслонення No1;Khlystunivske vidslonennia No1;геологічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Городищенський;"N 49°11'31""";"E 31°27'41"""
П-2246;Рожина криниця;Rozhyna krynytsia;гідрологічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Канівський;"N 49°51'7""";"E 31°26'2"""
П-2255;Дендропарк Дружба;Dendropark Druzhba;парк;місцевого значення;Черкаська обл.;р-н Уманський;"N 48°42'3""";"E 30°5'4"""
П-2297;Колгоспний дендропарк;Kolhospnyi dendropark;парк;місцевого значення;Черкаська обл.;р-н Чорнобаївський;"N 49°26'11""";"E 32°28'23"""
П-2375;Ясень звичайний (2 дерева);Yasen zvychainyi (2 dereva);ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Звенигородський;"N 49°14'55""";"E 30°59'43"""
П-2387;Джерело Калиновий кущ;Dzherelo Kalynovyi kushch;гідрологічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Лисянський;"N 49°16'5""";"E 30°48'30"""
П-2410;Парк;Park;парк;місцевого значення;Черкаська обл.;р-н Лисянський;"N 49°10'14""";"E 30°31'31"""
П-2517;Буцький каньйон;Butskyi kanion;комплексна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Маньківський;"N 49°6'55""";"E 30°24'4"""
П-2522;Гора Дівиця;Hora Divytsia;комплексна пам'ятка природи;місцевого значення;Черкаська обл.;"р-н Корсунь-
Шевченківський";"N 49°33'13""";"E 31°25'58"""
П-2523;Гора Пастушка;Hora Pastushka;комплексна пам'ятка природи;місцевого значення;Черкаська обл.;"р-н Корсунь-
Шевченківський";"N 49°31'48""";"E 31°25'44"""
П-2528;"Природно-історичний
комплекс Г.О.Сковороди";"Pryrodno-istorychnyi kompleks
H.o.skovorody";парк;місцевого значення;Черкаська обл.;р-н Золотоніський;"N 49°49'6""";"E 31°56'57"""
П-2535;Сільський парк;Silskyi park;парк;місцевого значення;Черкаська обл.;р-н Монастирищенський;"N 48°57'24""";"E 29°52'23"""
П-2543;Костівщина;Kostivshchyna;геологічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Канівський;"N 49°58'16""";"E 31°24'32"""
П-259;Княжа криниця;Kniazha krynytsia;гідрологічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Канівський;"N 49°45'54""";"E 31°15'39"""
П-2596;Костянецький Яр;Kostianetskyi Yar;комплексна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Канівський;"N 49°44'22""";"E 31°25'47"""
П-262;Дзюркало;Dziurkalo;гідрологічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Чигиринський;"N 49°10'10""";"E 32°21'35"""
П-2629;Сулинський;Sulynskyi;заказник ландшафтний;загальнодержавного значення;Черкаська обл.;р-н Чорнобаївський;"N 49°33'55""";"E 32°42'37"""
П-2631;Довжик;Dovzhyk;заповідне урочище;місцевого значення;Черкаська обл.;р-н Городищенський;"N 49°10'20""";"E 31°32'2"""
П-2638;Цареві яри;Tsarevi yary;заповідне урочище;місцевого значення;Черкаська обл.;р-н Городищенський;"N 49°18'33""";"E 31°26'19"""
П-2752;Наливайкова криниця;Nalyvaikova krynytsia;гідрологічна пам'ятка природи;місцевого значення;Черкаська обл.;"р-н Корсунь-
Шевченківський";"N 49°18'25""";"E 31°2'38"""
П-277;Корсунь-Шевченківський парк;Korsun-Shevchenkivskyi park;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Черкаська обл.;"р-н Корсунь-
Шевченківський";"N 49°24'35""";"E 31°16'21"""
П-2854;Урочище Великий ліс;Urochyshche Velykyi lis;заповідне урочище;місцевого значення;Черкаська обл.;р-н Маньківський;"N 48°56'21""";"E 30°26'38"""
П-2875;Дуб пірамідальний;Dub piramidalnyi;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;Золотоніська міськрада;"N 49°39'20""";"E 32°3'22"""
П-2900;Урочище Школа;Urochyshche Shkola;зоологічна пам'ятка природи;загальнодержавного значення;Черкаська обл.;р-н Канівський;"N 49°38'48""";"E 31°22'52"""
П-2904;Козацький вал;Kozatskyi val;комплексна пам'ятка природи;загальнодержавного значення;Черкаська обл.;р-н Лисянський;"N 49°19'15""";"E 30°51'15"""
П-2905;Урочище Бурти;Urochyshche Burty;комплексна пам'ятка природи;загальнодержавного значення;Черкаська обл.;р-н Чорнобаївський;"N 49°33'47""";"E 32°40'43"""
П-2940;Холодний яр;Kholodnyi yar;комплексна пам'ятка природи;загальнодержавного значення;Черкаська обл.;р-н Чигиринський;"N 49°9'8""";"E 32°15'32"""
