Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1000;Бунилівське;Bunylivske;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Прилуцький;"N 50°38'1""";"E 32°36'16"""
П-1002;Бурчак;Burchak;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Бобровицький;"N 50°54'44""";"E 31°25'34"""
П-1003;В'юницьке;Viunytske;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Козелецький;"N 51°4'7""";"E 30°35'31"""
П-1004;В'юнне;Viunne;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Корюківський;"N 51°44'22""";"E 32°10'24"""
П-1006;Вікторівщина;Viktorivshchyna;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Куликівський;"N 51°11'36""";"E 31°30'3"""
П-1011;Красноколядинський;Krasnokoliadynskyi;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Талалаївський;"N 50°58'20""";"E 32°59'14"""
П-1013;Криві гряди;Kryvi hriady;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Ріпкинський;"N 51°40'59""";"E 30°40'26"""
П-1015;Криниця;Krynytsia;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Новгород-Сіверський;"N 52°2'36""";"E 32°55'10"""
П-1016;Провалля;Provallia;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Чернігівський;"N 51°32'38""";"E 31°37'30"""
П-1017;Прохоренків острів;Prokhorenkiv ostriv;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Борзнянський;"N 51°16'48""";"E 32°24'19"""
П-1020;Річка Смолянка;Richka Smolianka;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Куликівський;"N 51°12'58""";"E 31°26'34"""
П-1022;Ракове;Rakove;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Ніжинський;"N 51°8'50""";"E 31°58'35"""
П-1023;Растереби;Rastereby;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Ріпкинський;"N 52°2'37""";"E 31°12'7"""
П-1025;Южний;Yuzhnyi;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Ічнянський;"N 50°51'43""";"E 32°48'29"""
П-1028;Янчево-Козарівщина;Yanchevo-Kozarivshchyna;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Куликівський;"N 51°21'14""";"E 31°45'16"""
П-1035;Вінниця;Vinnytsia;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Чернігівський;"N 51°26'19""";"E 30°42'19"""
П-1036;Ведильцівський;Vedyltsivskyi;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Чернігівський;"N 51°29'47""";"E 30°51'35"""
П-1037;Велике;Velyke;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Бобровицький;"N 50°49'49""";"E 31°18'53"""
П-1038;Велике;Velyke;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Сновський;"N 51°57'35""";"E 32°2'43"""
П-1043;Кругле-2;Kruhle-2;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Козелецький;"N 51°1'22""";"E 30°56'38"""
П-1045;Круча;Krucha;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Менський;"N 51°26'46""";"E 32°16'31"""
П-1048;Куликове;Kulykove;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Носівський;"N 51°2'21""";"E 31°37'0"""
П-1049;Куп'євате-Тимошенкове;Kupievate-Tymoshenkove;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Куликівський;"N 51°17'0""";"E 31°34'34"""
П-1051;Рванецьке;Rvanetske;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Новгород-Сіверський;"N 52°4'46""";"E 32°55'7"""
П-1053;Ревна;Revna;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Семенівський;"N 52°7'25""";"E 32°32'28"""
П-1054;Ревнище;Revnyshche;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Семенівський;"N 52°5'20""";"E 32°16'16"""
П-1058;Рогозинське;Rohozynske;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Новгород-Сіверський;"N 52°18'42""";"E 33°18'39"""
П-106;Менський;Menskyi;зоологічний парк;загальнодержавного значення;Чернігівська обл.;р-н Менський;"N 51°31'7""";"E 32°12'14"""
П-1069;Вербівський;Verbivskyi;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Ріпкинський;"N 52°2'43""";"E 31°13'18"""
П-1071;Веселе;Vesele;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Бахмацький;"N 51°0'44""";"E 32°49'1"""
П-1073;Видра;Vydra;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Чернігівський;"N 51°20'0""";"E 30°42'19"""
П-1074;Видра;Vydra;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Козелецький;"N 51°11'13""";"E 30°35'10"""
П-1075;Видра-2;Vydra-2;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Козелецький;"N 51°9'31""";"E 30°36'24"""
П-1076;Купели;Kupely;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Новгород-Сіверський;"N 52°18'28""";"E 33°9'44"""
П-1077;Кут;Kut;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Варвинський;"N 50°30'16""";"E 32°35'44"""
П-1079;Кучугурське;Kuchuhurske;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Бахмацький;"N 51°22'7""";"E 32°56'2"""
П-1080;Ліпське;Lipske;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Чернігівський;"N 51°11'28""";"E 31°19'32"""
П-1081;Лагине;Lahyne;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Новгород-Сіверський;"N 52°2'55""";"E 33°18'6"""
П-1082;Ладинський;Ladynskyi;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Чернігівський;"N 51°18'55""";"E 31°10'23"""
П-1085;Рокитне;Rokytne;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Козелецький;"N 50°59'16""";"E 31°4'54"""
П-1087;Роменське;Romenske;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Новгород-Сіверський;"N 52°3'20""";"E 33°5'51"""
П-1088;Рублене;Rublene;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Ріпкинський;"N 51°50'6""";"E 30°49'49"""
П-1089;Рудківський;Rudkivskyi;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Чернігівський;"N 51°32'55""";"E 31°8'3"""
П-1091;Ряшківський;Riashkivskyi;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Прилуцький;"N 50°39'1""";"E 32°34'6"""
П-1105;Вовчий круг;Vovchyi kruh;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Козелецький;"N 50°56'51""";"E 31°13'6"""
П-1109;Вольниця;Volnytsia;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Коропський;"N 51°28'25""";"E 32°57'30"""
П-1111;Ларинівський;Larynivskyi;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Новгород-Сіверський;"N 51°59'34""";"E 33°1'36"""
П-1113;Лебединське;Lebedynske;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Борзнянський;"N 51°21'24""";"E 32°5'44"""
П-1114;Леляківський;Leliakivskyi;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Варвинський;"N 50°33'53""";"E 32°42'32"""
П-1115;Лизунівка;Lyzunivka;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Новгород-Сіверський;"N 52°1'8""";"E 32°54'56"""
П-1116;Лизунівський;Lyzunivskyi;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Новгород-Сіверський;"N 52°5'32""";"E 32°54'7"""
П-1117;Лихачівський;Lykhachivskyi;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Носівський;"N 51°8'11""";"E 31°27'0"""
П-1118;Сінове;Sinove;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Новгород-Сіверський;"N 52°20'55""";"E 33°18'13"""
П-1119;Савинцівський;Savyntsivskyi;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Срібнянський;"N 50°34'30""";"E 32°52'37"""
П-1120;Сага;Saha;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Варвинський;"N 50°21'40""";"E 32°34'3"""
П-1124;Свидовецький;Svydovetskyi;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Бобровицький;"N 50°37'46""";"E 31°36'56"""
П-1137;Вузьке;Vuzke;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Сосницький;"N 51°27'30""";"E 32°31'30"""
П-1140;Гайворонське;Haivoronske;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Бахмацький;"N 51°0'10""";"E 32°52'48"""
П-1143;Гало;Halo;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Ріпкинський;"N 51°56'28""";"E 31°13'54"""
П-1146;Лубня;Lubnia;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Семенівський;"N 51°58'48""";"E 32°35'9"""
П-1147;Лубянка;Lubianka;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Семенівський;"N 52°16'35""";"E 32°30'5"""
П-1150;Луки;Luky;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Срібнянський;"N 50°35'23""";"E 32°44'6"""
П-1154;Северин;Severyn;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Ріпкинський;"N 51°54'8""";"E 31°6'21"""
П-1155;Семенівський;Semenivskyi;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Семенівський;"N 52°9'22""";"E 32°35'21"""
П-1158;Синичне;Synychne;заказник гідрологічний;місцевого значення;Чернігівська обл.;р-н Борзнянський;"N 51°18'55""";"E 32°7'32"""
