Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-109;Петрівецький;Petrivetskyi;заказник лісовий;загальнодержавного значення;Чернівецька обл.;р-н Сторожинецький;"N 47°57'27""";"E 25°43'6"""
П-120;Цецино;Tsetsyno;заказник ландшафтний;загальнодержавного значення;Чернівецька обл.;р-н Кіцманський;"N 48°18'43""";"E 25°49'4"""
П-1238;Кліводинський;Klivodynskyi;заказник орнітологічний;місцевого значення;Чернівецька обл.;р-н Кіцманський;"N 48°28'7""";"E 25°46'40"""
П-1310;Чапля;Chaplia;заказник орнітологічний;місцевого значення;Чернівецька обл.;р-н Хотинський;"N 48°31'9""";"E 26°10'23"""
П-1341;Чорний лелека;Chornyi leleka;заказник орнітологічний;місцевого значення;Чернівецька обл.;р-н Сторожинецький;"N 48°8'10""";"E 25°47'37"""
П-1477;Бернівський острів;Bernivskyi ostriv;заказник іхтіологічний;місцевого значення;Чернівецька обл.;р-н Кельменецький;"N 48°29'24""";"E 26°39'1"""
П-148;Сторожинецький;Storozhynetskyi;дендрологічний парк;загальнодержавного значення;Чернівецька обл.;р-н Сторожинецький;"N 48°9'49""";"E 25°44'12"""
П-1508;Юрківський карст;Yurkivskyi karst;"заказник карстово-
спелеологічний";місцевого значення;Чернівецька обл.;р-н Заставнівський;"N 48°33'5""";"E 25°55'19"""
П-1512;Бабинська стінка;Babynska stinka;заказник ландшафтний;місцевого значення;Чернівецька обл.;р-н Кельменецький;"N 48°33'12""";"E 26°56'18"""
П-1540;Тисова ділянка;Tysova dilianka;ботанічна пам'ятка природи;місцевого значення;Чернівецька обл.;р-н Сторожинецький;"N 48°7'59""";"E 25°47'55"""
П-1568;Дубово-букова ділянка;Dubovo-bukova dilianka;ботанічна пам'ятка природи;місцевого значення;Чернівецька обл.;р-н Кіцманський;"N 48°19'29""";"E 25°47'41"""
П-1579;Буковинські водоспади;Bukovynski vodospady;заказник ландшафтний;місцевого значення;Чернівецька обл.;р-н Путильський;"N 48°10'24""";"E 25°6'32"""
П-1604;Жупани;Zhupany;ботанічна пам'ятка природи;місцевого значення;Чернівецька обл.;р-н Путильський;"N 47°44'24""";"E 24°57'52"""
П-1611;Урочище Жафино;Urochyshche Zhafyno;ботанічна пам'ятка природи;місцевого значення;Чернівецька обл.;р-н Сокирянський;"N 48°29'27""";"E 27°26'17"""
П-1675;Кошман;Koshman;ботанічна пам'ятка природи;місцевого значення;Чернівецька обл.;р-н Вижницький;"N 48°3'44""";"E 25°17'37"""
П-1710;Лісничка;Lisnychka;ботанічна пам'ятка природи;місцевого значення;Чернівецька обл.;р-н Вижницький;"N 47°58'52""";"E 25°17'39"""
П-1718;Чотири тополі;Chotyry topoli;ботанічна пам'ятка природи;місцевого значення;Чернівецька обл.;р-н Сокирянський;"N 48°30'7""";"E 27°27'12"""
П-1722;Ялинова ділянка;Yalynova dilianka;ботанічна пам'ятка природи;місцевого значення;Чернівецька обл.;р-н Путильський;"N 47°54'57""";"E 24°59'47"""
П-1782;Магнолія Кобус;Mahnoliia Kobus;ботанічна пам'ятка природи;місцевого значення;Чернівецька обл.;Чернівецька міськрада;"N 48°17'17""";"E 25°56'35"""
П-180;Драницький;Dranytskyi;заказник орнітологічний;загальнодержавного значення;Чернівецька обл.;р-н Новоселицький;"N 48°14'35""";"E 26°32'18"""
П-1825;Монастирський ліс;Monastyrskyi lis;ботанічна пам'ятка природи;місцевого значення;Чернівецька обл.;р-н Герцаївський;"N 48°11'49""";"E 26°11'32"""
