Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-116;Солоний лиман;Solonyi lyman;заказник ландшафтний;загальнодержавного значення;Дніпропетровська обл.;р-н Новомосковський;"N 48°38'31""";"E 35°31'15"""
П-1518;Урочище Хорошево;Urochyshche Khoroshevo;заказник ландшафтний;місцевого значення;Дніпропетровська обл.;р-н Синельниківський;"N 48°20'25""";"E 35°24'39"""
П-18;Дніпровсько-Орільський;Dniprovsko-Orilskyi;природний заповідник;загальнодержавного значення;Дніпропетровська обл.;р-н Дніпропетровський;"N 48°31'7""";"E 34°47'1"""
П-190;Комарівщина;Komarivshchyna;заказник ландшафтний;загальнодержавного значення;Дніпропетровська обл.;р-н Новомосковський;"N 48°44'32""";"E 35°30'8"""
П-200;Балка Бандурка;Balka Bandurka;заказник ботанічний;загальнодержавного значення;Дніпропетровська обл.;р-н Новомосковський;"N 48°46'38""";"E 35°21'13"""
П-217;Отченашкові наділи;Otchenashkovi nadily;заказник ландшафтний;місцевого значення;Дніпропетровська обл.;р-н Дніпровський;"N 48°37'6""";"E 35°7'42"""
П-2599;Нікопольські плавні;Nikopolski plavni;комплексна пам'ятка природи;місцевого значення;Дніпропетровська обл.;р-н Нікопольський;"N 47°37'12""";"E 34°33'36"""
П-2712;Роздорський;Rozdorskyi;ботанічна пам'ятка природи;місцевого значення;Дніпропетровська обл.;р-н Синельниківський;"N 48°15'30""";"E 35°41'52"""
П-2746;Урочище Паськове;Urochyshche Paskove;комплексна пам'ятка природи;загальнодержавного значення;Дніпропетровська обл.;р-н Верхньодніпровський;"N 48°42'30""";"E 34°4'1"""
П-2788;Парк Лазаря Глоби;Park Lazaria Hloby;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Дніпропетровська обл.;Дніпровська міськрада;"N 48°27'46""";"E 35°1'42"""
П-2793;Севастопольський парк;Sevastopolskyi park;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Дніпропетровська обл.;Дніпровська міськрада;"N 48°26'8""";"E 35°3'41"""
П-2936;"Урочище ""Лелія""";"Urochyshche ""leliia""";комплексна пам'ятка природи;загальнодержавного значення;Дніпропетровська обл.;р-н Царичанський;"N 49°0'2""";"E 34°29'5"""
П-302;"Криворізький ботанічний сад
НАН України";"Kryvorizkyi botanichnyi sad Nan
Ukrainy";ботанічний сад;загальнодержавного значення;Дніпропетровська обл.;Криворізька міськрада;"N 48°8'57""";"E 33°34'39"""
П-305;"Ботанічний сад
Дніпропетровського
національного університету";"Botanichnyi sad
Dnipropetrovskoho
natsionalnoho universytetu";ботанічний сад;загальнодержавного значення;Дніпропетровська обл.;Дніпровська міськрада;"N 48°26'9""";"E 35°2'34"""
П-3144;Саксагань;Saksahan;дендрологічний парк;місцевого значення;Дніпропетровська обл.;р-н Криворізький;"N 48°1'22""";"E 33°29'42"""
П-3145;"Старовинна груша на
Карнаватці";"Starovynna hrusha na
Karnavattsi";ботанічна пам'ятка природи;місцевого значення;Дніпропетровська обл.;Криворізька міськрада;"N 47°55'25""";"E 33°20'56"""
П-3213;Інгулецький степ;Inhuletskyi step;заказник ландшафтний;загальнодержавного значення;Дніпропетровська обл.;р-н Криворізький;"N 48°9'6""";"E 33°20'53"""
П-3223;Балка Крутенька;Balka Krutenka;заповідне урочище;місцевого значення;Дніпропетровська обл.;р-н Томаківський;"N 47°42'28""";"E 34°44'1"""
П-3300;Кільченський;Kilchenskyi;заказник ландшафтний;загальнодержавного значення;Дніпропетровська обл.;р-н Дніпровський;"N 48°36'36""";"E 35°4'7"""
П-3303;Дендрологічний парк;Dendrolohichnyi park;ботанічний сад;місцевого значення;Дніпропетровська обл.;р-н Криворізький;"N 47°48'22""";"E 33°30'42"""
П-3324;Балка Парна;Balka Parna;заказник лісовий;місцевого значення;Дніпропетровська обл.;р-н Верхньодніпровський;"N 48°43'59""";"E 34°4'43"""
П-3338;Сланцеві скелі;Slantsevi skeli;геологічна пам'ятка природи;місцевого значення;Дніпропетровська обл.;Криворізька міськрада;"N 47°56'21""";"E 33°23'18"""
П-336;Парк ім.Леніна;Park im.lenina;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Дніпропетровська обл.;Дніпровська міськрада;"N 48°29'0""";"E 34°56'17"""
