Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-19;Святі Гори;Sviati Hory;національний природний парк;загальнодержавного значення;Донецька обл.;"р-н Краснолиманський, р-
н Слов'янський";"N 49°0'9""";"E 37°44'31"""
П-21;Хомутівський степ;Khomutivskyi step;"відділення Українського степового
природного заповідника";загальнодержавного значення;Донецька обл.;р-н Новоазовський;"N 47°17'18""";"E 38°10'21"""
П-22;Кам'яні Могили;Kamiani Mohyly;"відділення Українського степового
природного заповідника";загальнодержавного значення;Донецька обл.;;"N 47°18'9""";"E 37°4'14"""
П-226;Азовська дача;Azovska dacha;заказник лісовий;місцевого значення;Донецька обл.;р-н Нікольський;"N 47°10'25""";"E 37°17'6"""
П-23;Крейдяна Флора;Kreidiana Flora;"відділення Українського степового
природного заповідника";загальнодержавного значення;Донецька обл.;"р-н Краснолиманський, р-
н Слов'янський";"N 48°52'23""";"E 37°53'10"""
П-24;Кальміуське відділення;Kalmiuske viddilennia;"відділення Українського степового
природного заповідника";загальнодержавного значення;Донецька обл.;р-н Тельманівський;"N 47°33'41""";"E 37°58'37"""
П-2633;Кучерів Яр;Kucheriv Yar;заповідне урочище;місцевого значення;Донецька обл.;р-н Добропільський;"N 48°28'1""";"E 37°17'9"""
П-2681;Мирне поле;Myrne pole;заповідне урочище;місцевого значення;Донецька обл.;р-н Олександрівський;"N 48°45'34""";"E 36°48'45"""
П-271;Соснові культури;Sosnovi kultury;комплексна пам'ятка природи;місцевого значення;Донецька обл.;р-н Мангушський;"N 46°58'57""";"E 37°17'7"""
П-2782;Дружківські закам'янілі дерева;Druzhkivski zakamianili dereva;геологічна пам'ятка природи;загальнодержавного значення;Донецька обл.;р-н Костянтинівський;"N 48°36'31""";"E 37°36'10"""
П-2832;Широкий ліс;Shyrokyi lis;заповідне урочище;місцевого значення;Донецька обл.;р-н Олександрівський;"N 48°46'52""";"E 36°52'23"""
П-3023;Обушок;Obushok;заказник ботанічний;місцевого значення;Донецька обл.;р-н Шахтарський;"N 47°59'9""";"E 38°25'6"""
П-3057;Круглик;Kruhlyk;заказник ентомологічний;місцевого значення;Донецька обл.;р-н Шахтарський;"N 48°14'17""";"E 38°34'34"""
П-3105;Чердакли;Cherdakly;ботанічна пам'ятка природи;місцевого значення;Донецька обл.;р-н Нікольський;"N 47°19'21""";"E 37°25'39"""
П-317;Маріупольська лісова дача;Mariupolska lisova dacha;заповідне урочище;місцевого значення;Донецька обл.;р-н Волноваський;"N 47°39'23""";"E 37°30'2"""
П-3179;Верхньосамарський;Verkhnosamarskyi;заказник ботанічний;місцевого значення;Донецька обл.;р-н Олександрівський;"N 48°42'51""";"E 36°49'15"""
П-3181;Конвалієва діброва;Konvaliieva dibrova;заказник ботанічний;місцевого значення;Донецька обл.;р-н Бахмутський;"N 48°55'49""";"E 38°2'57"""
П-3186;Щуча заводь;Shchucha zavod;заказник ландшафтний;місцевого значення;Донецька обл.;"р-н
Великоновосілківський";"N 48°2'48""";"E 36°46'45"""
П-3220;Степ Одрадівський;Step Odradivskyi;ботанічна пам'ятка природи;місцевого значення;Донецька обл.;р-н Бахмутський;"N 48°30'52""";"E 38°1'19"""
