Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1342;Шевченківський;Shevchenkivskyi;заказник орнітологічний;місцевого значення;Івано-Франківська обл.;р-н Долинський;"N 48°52'48""";"E 23°52'12"""
П-1430;Солотвинські дуби;Solotvynski duby;ботанічна пам'ятка природи;місцевого значення;Івано-Франківська обл.;р-н Богородчанський;"N 48°42'0""";"E 24°25'48"""
П-1537;Татри;Tatry;ботанічна пам'ятка природи;місцевого значення;Івано-Франківська обл.;р-н Тлумацький;"N 48°54'5""";"E 25°7'50"""
П-1539;Тис ягідний;Tys yahidnyi;ботанічна пам'ятка природи;місцевого значення;Івано-Франківська обл.;р-н Богородчанський;"N 48°39'0""";"E 24°20'49"""
П-1554;Цапове;Tsapove;заказник ландшафтний;місцевого значення;Івано-Франківська обл.;р-н Долинський;"N 48°49'12""";"E 23°40'12"""
П-1599;"Еталон смерекового
насадження";"Etalon smerekovoho
nasadzhennia";ботанічна пам'ятка природи;місцевого значення;Івано-Франківська обл.;р-н Верховинський;"N 47°51'0""";"E 24°54'0"""
П-1600;"Еталон смерекового
насадження";"Etalon smerekovoho
nasadzhennia";ботанічна пам'ятка природи;місцевого значення;Івано-Франківська обл.;р-н Верховинський;"N 47°51'0""";"E 24°55'48"""
П-1601;"Еталон смерекового
насадження";"Etalon smerekovoho
nasadzhennia";ботанічна пам'ятка природи;місцевого значення;Івано-Франківська обл.;р-н Верховинський;"N 47°51'0""";"E 24°55'58"""
П-164;Еталон ялицевого насадження;Etalon yalytsevoho nasadzhennia;ботанічна пам'ятка природи;місцевого значення;Івано-Франківська обл.;Болехівська міськрада;"N 49°6'38""";"E 23°47'35"""
П-1671;Кораловий корінь;Koralovyi korin;ботанічна пам'ятка природи;місцевого значення;Івано-Франківська обл.;р-н Рожнятівський;"N 48°43'48""";"E 23°57'10"""
П-1672;Кордон;Kordon;ботанічна пам'ятка природи;місцевого значення;Івано-Франківська обл.;р-н Надвірнянський;"N 48°37'1""";"E 24°40'48"""
П-1674;Котови;Kotovy;ботанічна пам'ятка природи;місцевого значення;Івано-Франківська обл.;р-н Рожнятівський;"N 48°51'10""";"E 24°4'12"""
