Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1009;Коханівський;Kokhanivskyi;заказник гідрологічний;місцевого значення;Харківська обл.;р-н Кегичівський;"N 49°18'35""";"E 35°53'21"""
П-1029;Балки;Balky;заказник ентомологічний;місцевого значення;Харківська обл.;р-н Нововодолазький;"N 49°47'52""";"E 35°45'18"""
П-1030;Бджолиний No2;Bdzholynyi No2;заказник ентомологічний;місцевого значення;Харківська обл.;р-н Сахновщинський;"N 49°6'15""";"E 35°58'16"""
П-1031;Берестовий;Berestovyi;заказник ентомологічний;місцевого значення;Харківська обл.;р-н Лозівський;"N 49°7'25""";"E 36°33'18"""
П-1032;Бесарабівський;Besarabivskyi;заказник ентомологічний;місцевого значення;Харківська обл.;р-н Кегичівський;"N 49°14'58""";"E 35°47'55"""
П-104;Харківський зоопарк;Kharkivskyi zoopark;зоопарк;загальнодержавного значення;Харківська обл.;Харківська міськрада;"N 49°59'54""";"E 36°13'22"""
П-1059;Бойневе;Boineve;заказник ентомологічний;місцевого значення;Харківська обл.;р-н Балаклійський;"N 49°20'37""";"E 37°1'37"""
П-1062;Вінники;Vinnyky;заказник ентомологічний;місцевого значення;Харківська обл.;р-н Нововодолазький;"N 49°37'51""";"E 35°39'58"""
П-1063;Варварівський;Varvarivskyi;заказник ентомологічний;місцевого значення;Харківська обл.;р-н Близнюківський;"N 48°39'6""";"E 36°33'37"""
П-1064;Василівський;Vasylivskyi;заказник ентомологічний;місцевого значення;Харківська обл.;р-н Вовчанський;"N 50°15'44""";"E 37°15'11"""
П-1065;Великоярузький;Velykoiaruzkyi;заказник ентомологічний;місцевого значення;Харківська обл.;р-н Дергачівський;"N 50°16'13""";"E 36°18'32"""
П-1066;Веселий;Veselyi;заказник ентомологічний;місцевого значення;Харківська обл.;р-н Шевченківський;"N 49°36'42""";"E 37°4'17"""
П-1067;Вшивий;Vshyvyi;заказник ентомологічний;місцевого значення;Харківська обл.;р-н Кегичівський;"N 49°19'53""";"E 35°45'7"""
П-1068;Гірчаківський;Hirchakivskyi;заказник ентомологічний;місцевого значення;Харківська обл.;р-н Красноградський;"N 49°39'29""";"E 35°25'57"""
П-1084;Рогозянський;Rohozianskyi;заказник гідрологічний;місцевого значення;Харківська обл.;р-н Золочівський;"N 50°17'3""";"E 35°51'13"""
П-1093;Добровільський;Dobrovilskyi;заказник ентомологічний;місцевого значення;Харківська обл.;р-н Близнюківський;"N 48°44'14""";"E 36°33'5"""
