Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1;"Асканія-Нова ім. Ф.Е. Фальц-
Фейна";Askaniіa-Nova im. F.E. Falts-Feina;біосферний заповідник;загальнодержавного значення;Херсонська обл.;р-н Чаплинський;"N 46°28'33""";"E 33°58'8"""
П-1510;Інгулець;Inhulets;заказник ландшафтний;місцевого значення;Херсонська обл.;"р-н
Великоолександрівський";"N 47°21'6""";"E 33°18'33"""
П-1667;Бехтерський дубовий гай;Bekhterskyi dubovyi hai;ботанічна пам'ятка природи;місцевого значення;Херсонська обл.;р-н Голопристанський;"N 46°14'10""";"E 32°19'31"""
П-1682;Федорівська печера;Fedorivska pechera;геологічна пам'ятка природи;місцевого значення;Херсонська обл.;р-н Білозерський;"N 46°49'18""";"E 32°49'36"""
П-1871;Бакайський жолоб;Bakaiskyi zholob;заказник загальнозоологічний;місцевого значення;Херсонська обл.;р-н Білозерський;"N 46°32'7""";"E 32°18'38"""
П-2078;Архангельський ліс;Arkhanhelskyi lis;заповідне урочище;місцевого значення;Херсонська обл.;р-н Високопільський;"N 47°27'38""";"E 33°25'53"""
П-208;Березові колки;Berezovi kolky;заказник лісовий;загальнодержавного значення;Херсонська обл.;р-н Голопристанський;"N 46°25'38""";"E 32°8'28"""
П-2093;Микільське поселення змій;Mykilske poselennia zmii;зоологічна пам'ятка природи;місцевого значення;Херсонська обл.;р-н Білозерський;"N 46°43'21""";"E 32°49'34"""
П-2196;Білозерські джерела;Bilozerski dzherela;гідрологічна пам'ятка природи;місцевого значення;Херсонська обл.;р-н Білозерський;"N 46°37'21""";"E 32°26'54"""
П-2242;Понятівське поселення змій;Poniativske poselennia zmii;зоологічна пам'ятка природи;місцевого значення;Херсонська обл.;р-н Білозерський;"N 46°43'52""";"E 32°54'14"""
П-2256;"Дендропарк
Нижньодніпровської НДС";"Dendropark Nyzhnodniprovskoi
Nds";"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Херсонська обл.;р-н Олешківський;"N 46°37'0""";"E 32°42'46"""
П-2396;оз. Гопри (частина);oz. Hopry (chastyna);гідрологічна пам'ятка природи;місцевого значення;Херсонська обл.;р-н Голопристанський;"N 46°32'37""";"E 32°35'20"""
П-2451;Парк с. Хрещенівка;Park s. Khreshchenivka;"парк-пам'ятка садово-паркового
мистецтварк";місцевого значення;Херсонська обл.;р-н Нововоронцовський;"N 47°23'15""";"E 33°49'6"""
