Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-102;Новоселицький парк;Novoselytskyi park;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Хмельницька обл.;"р-н
Старокостянтинівський";"N 49°37'54""";"E 27°15'19"""
П-1021;Радковицький;Radkovytskyi;заказник гідрологічний;місцевого значення;Хмельницька обл.;р-н Городоцький;"N 49°14'13""";"E 26°27'17"""
П-1026;Юхимовецький;Yukhymovetskyi;заказник гідрологічний;місцевого значення;Хмельницька обл.;р-н Волочиський;"N 49°30'6""";"E 26°36'55"""
П-1033;Бобровицький;Bobrovytskyi;заказник ентомологічний;місцевого значення;Хмельницька обл.;р-н Дунаєвецький;"N 48°47'45""";"E 27°1'47"""
П-1041;Великочернятинський;Velykocherniatynskyi;заказник гідрологічний;місцевого значення;Хмельницька обл.;"р-н
Старокостянтинівський";"N 49°46'48""";"E 27°3'31"""
П-1050;Купинський;Kupynskyi;заказник гідрологічний;місцевого значення;Хмельницька обл.;р-н Шепетівський;"N 50°14'4""";"E 27°13'51"""
П-107;"Кам'янець-Подільський
зоологічний парк";"Kamianets-Podilskyi zoolohichnyi
park";зоопарк;місцевого значення;Хмельницька обл.;"Кам'янець-Подільська
міськрада";"N 48°41'37""";"E 26°35'9"""
П-1103;Вишнопільський;Vyshnopilskyi;заказник гідрологічний;місцевого значення;Хмельницька обл.;"р-н
Старокостянтинівський";"N 49°53'48""";"E 27°33'58"""
П-1104;Вовчанський;Vovchanskyi;заказник гідрологічний;місцевого значення;Хмельницька обл.;р-н Деражнянський;"N 49°17'48""";"E 27°18'39"""
П-1106;Волицький;Volytskyi;заказник гідрологічний;місцевого значення;Хмельницька обл.;р-н Красилівський;"N 49°40'39""";"E 26°54'46"""
П-1107;Волиця;Volytsia;заказник гідрологічний;місцевого значення;Хмельницька обл.;р-н Теофіпольський;"N 49°51'37""";"E 26°35'24"""
П-112;Івахновецький;Ivakhnovetskyi;заказник ландшафтний;загальнодержавного значення;Хмельницька обл.;р-н Чемеровецький;"N 49°6'21""";"E 26°22'24"""
П-1122;Сахнівський;Sakhnivskyi;заказник гідрологічний;місцевого значення;Хмельницька обл.;р-н Ізяславський;"N 49°58'11""";"E 26°52'11"""
П-1136;Воронківський;Voronkivskyi;заказник гідрологічний;місцевого значення;Хмельницька обл.;"р-н
Старокостянтинівський";"N 49°43'18""";"E 27°8'11"""
П-115;Сокіл;Sokil;заказник ландшафтний;загальнодержавного значення;Хмельницька обл.;р-н Чемеровецький;"N 48°54'37""";"E 26°32'10"""
П-1179;Глібівський;Hlibivskyi;заказник гідрологічний;місцевого значення;Хмельницька обл.;р-н Новоушицький;"N 48°55'14""";"E 27°10'58"""
П-1181;М'якотівський;Miakotivskyi;заказник гідрологічний;місцевого значення;Хмельницька обл.;р-н Ізяславський;"N 50°12'16""";"E 26°25'15"""
П-1186;Мартинівський;Martynivskyi;заказник гідрологічний;місцевого значення;Хмельницька обл.;"р-н
Старокостянтинівський";"N 49°51'34""";"E 27°31'20"""
П-1196;Сохужинецький;Sokhuzhynetskyi;заказник гідрологічний;місцевого значення;Хмельницька обл.;р-н Ізяславський;"N 49°56'47""";"E 26°46'3"""
П-1197;Чорний ліс;Chornyi lis;заказник лісовий;місцевого значення;Хмельницька обл.;р-н Дунаєвецький;"N 48°50'33""";"E 26°53'31"""
П-1198;Чорний ліс;Chornyi lis;заказник лісовий;місцевого значення;Хмельницька обл.;р-н Ярмолинецький;"N 49°12'25""";"E 26°50'38"""
П-1205;Великоберезнянський;Velykobereznianskyi;заказник орнітологічний;місцевого значення;Хмельницька обл.;р-н Полонський;"N 50°2'0""";"E 27°23'43"""
П-1209;Гнилий ріг;Hnylyi rih;заказник гідрологічний;місцевого значення;Хмельницька обл.;р-н Ізяславський;"N 50°12'36""";"E 26°44'35"""
П-1214;Голубі озера;Holubi ozera;заказник гідрологічний;місцевого значення;Хмельницька обл.;р-н Білогірський;"N 49°59'18""";"E 26°25'7"""
П-1227;Ставищанський;Stavyshchanskyi;заказник гідрологічний;місцевого значення;Хмельницька обл.;р-н Білогірський;"N 50°3'15""";"E 26°16'5"""
П-1231;Старокостянтинівський;Starokostiantynivskyi;заказник гідрологічний;місцевого значення;Хмельницька обл.;"р-н
Старокостянтинівський";"N 49°38'17""";"E 27°16'14"""
П-1239;Кузьминський;Kuzmynskyi;заказник орнітологічний;місцевого значення;Хмельницька обл.;р-н Красилівський;"N 49°41'31""";"E 27°2'50"""
П-1245;Грабарківський;Hrabarkivskyi;заказник гідрологічний;місцевого значення;Хмельницька обл.;р-н Волочиський;"N 49°33'1""";"E 26°18'15"""
П-1248;Грузевицький;Hruzevytskyi;заказник гідрологічний;місцевого значення;Хмельницька обл.;р-н Хмельницький;"N 49°28'52""";"E 26°50'20"""
