Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1202;Аджамський;Adzhamskyi;заказник орнітологічний;місцевого значення;Кіровоградська обл.;р-н Кіровоградський;"N 48°33'45""";"E 32°32'57"""
П-1237;Заплава Малої Висі;Zaplava Maloi Vysi;заказник орнітологічний;місцевого значення;Кіровоградська обл.;р-н Маловисківський;"N 48°39'16""";"E 31°32'8"""
П-134;Онуфріївський парк;Onufriivskyi park;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Кіровоградська обл.;р-н Онуфріївський;"N 48°54'18""";"E 33°28'31"""
П-1343;Шмалієвський;Shmaliievskyi;заказник орнітологічний;місцевого значення;Кіровоградська обл.;р-н Долинський;"N 48°18'21""";"E 33°4'6"""
П-1418;Дивосил-зілля;Dyvosyl-zillia;ботанічна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Новомиргородський;"N 48°44'16""";"E 31°35'21"""
П-1479;Суховершок;Sukhovershok;заказник ландшафтний;місцевого значення;Кіровоградська обл.;р-н Онуфріївський;"N 48°51'53""";"E 33°25'39"""
П-1480;Там, де Ятрань круто в'ється;Tam, de Yatran kruto vietsia;заказник ландшафтний;місцевого значення;Кіровоградська обл.;р-н Голованівський;"N 48°28'31""";"E 30°32'21"""
П-1501;Степові кургани;Stepovi kurhany;ботанічна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Олександрівський;"N 48°58'34""";"E 32°16'2"""
П-1511;Інгульські крутосхили;Inhulski krutoskhyly;заказник ландшафтний;місцевого значення;Кіровоградська обл.;р-н Устинівський;"N 47°53'41""";"E 32°25'53"""
П-1520;Урочище сад;Urochyshche sad;заказник ландшафтний;місцевого значення;Кіровоградська обл.;р-н Долинський;"N 48°15'44""";"E 32°49'40"""
П-1538;Тернова балка;Ternova balka;ботанічна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Компаніївський;"N 48°18'17""";"E 32°16'3"""
П-1555;Чагар;Chahar;заказник ландшафтний;місцевого значення;Кіровоградська обл.;р-н Олександрівський;"N 48°55'59""";"E 32°23'23"""
П-1562;Дуби в Гуріївському лісництві;Duby v Huriivskomu lisnytstvi;ботанічна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Долинський;"N 48°8'0""";"E 33°4'39"""
П-1580;Булгаківська балка;Bulhakivska balka;заказник ландшафтний;місцевого значення;Кіровоградська обл.;р-н Бобринецький;"N 48°4'18""";"E 32°12'49"""
П-1603;Жовтий льон;Zhovtyi lon;ботанічна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Олександрівський;"N 49°1'4""";"E 32°20'21"""
П-1618;Витоки ріки Інгул;Vytoky riky Inhul;заказник ландшафтний;місцевого значення;Кіровоградська обл.;р-н Новомиргородський;"N 48°44'56""";"E 32°0'54"""
П-1619;Витоки ріки Малої Висі;Vytoky riky Maloi Vysi;заказник ландшафтний;місцевого значення;Кіровоградська обл.;р-н Маловисківський;"N 48°35'53""";"E 31°44'57"""
