Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-100;Олександрія;Oleksandriia;дендрологічний парк;загальнодержавного значення;Київська обл.;Білоцерківська міськрада;"N 49°48'33""";"E 30°4'10"""
П-128;Кагарлицький;Kaharlytskyi;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Київська обл.;р-н Кагарлицький;"N 49°51'32""";"E 30°49'32"""
П-175;Дзвінківський;Dzvinkivskyi;заказник лісовий;загальнодержавного значення;Київська обл.;р-н Васильківський;"N 50°17'31""";"E 30°8'14"""
П-1804;Кожанська балка;Kozhanska balka;заказник ландшафтний;місцевого значення;Київська обл.;р-н Фастівський;"N 49°57'9""";"E 29°44'37"""
П-181;Жорнівський;Zhornivskyi;заказник орнітологічний;загальнодержавного значення;Київська обл.;р-н Києво-Святошинський;"N 50°18'49""";"E 30°9'4"""
П-189;Дніпровсько-Деснянський;Dniprovsko-Desnianskyi;заказник ландшафтний;загальнодержавного значення;Київська обл.;р-н Вишгородський;"N 50°56'32""";"E 30°38'6"""
П-196;Ржищівський;Rzhyshchivskyi;заказник ландшафтний;загальнодержавного значення;Київська обл.;р-н Кагарлицький;"N 50°2'27""";"E 30°53'59"""
П-250;"Відслонення Богуславських
гранітів";"Vidslonennia Bohuslavskykh
hranitiv";геологічна пам'ятка природи;місцевого значення;Київська обл.;р-н Богуславський;"N 49°32'46""";"E 30°52'55"""
П-2547;Дзвінкова криниця;Dzvinkova krynytsia;гідрологічна пам'ятка природи;місцевого значення;Київська обл.;р-н Вишгородський;"N 50°38'21""";"E 30°26'34"""
П-2663;Урочище Мутвицьке;Urochyshche Mutvytske;заказник ландшафтний;загальнодержавного значення;Київська обл.;р-н Макарівський;"N 50°31'31""";"E 29°39'43"""
П-2664;Хутір Чубинського;Khutir Chubynskoho;заказник ландшафтний;загальнодержавного значення;Київська обл.;р-н Бориспільський;"N 50°23'27""";"E 30°53'9"""
П-2706;Урочище Бабка;Urochyshche Babka;ботанічна пам'ятка природи;загальнодержавного значення;Київська обл.;р-н Бородянський;"N 50°33'36""";"E 29°58'11"""
П-3024;Оврамівсько-Івашківський;Ovramivsko-Ivashkivskyi;заказник ботанічний;місцевого значення;Київська обл.;р-н Броварський;"N 50°27'8""";"E 31°9'19"""
