Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-228;Дубовий гай;Dubovyi hai;ботанічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Попаснянський;"N 48°41'26""";"E 38°31'11"""
П-246;Королівські скелі;Korolivski skeli;геологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Довжанський;"N 48°10'25""";"E 39°52'12"""
П-258;Золотівське джерело;Zolotivske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;Первомайська міськрада;"N 48°39'7""";"E 38°33'12"""
П-261;Нижній ставок;Nyzhnii stavok;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Сватівський;"N 49°19'1""";"E 37°57'44"""
П-266;Климівське джерело;Klymivske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Кремінський;"N 49°16'23""";"E 38°24'51"""
П-2946;Гришино;Hryshyno;ботанічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Станично-Луганський;"N 48°53'52""";"E 39°45'19"""
П-3017;Боково-Платово;Bokovo-Platovo;заказник ландшафтний;місцевого значення;Луганська обл.;Антрацитська міськрада;"N 48°7'32""";"E 39°3'12"""
П-3272;Міус;Mius;заказник ландшафтний;місцевого значення;Луганська обл.;р-н Перевальський;"N 48°15'56""";"E 38°35'52"""
П-3389;Гераськівський;Heraskivskyi;заказник загальнозоологічний;місцевого значення;Луганська обл.;р-н Марківський;"N 49°35'15""";"E 39°35'5"""
П-348;Червоноярівський;Chervonoiarivskyi;заказник ентомологічний;місцевого значення;Луганська обл.;р-н Слов'яносербський;"N 48°39'36""";"E 39°20'13"""
П-349;Острів;Ostriv;заказник загальнозоологічний;місцевого значення;Луганська обл.;р-н Станично-Луганський;"N 48°43'26""";"E 39°22'28"""
П-3500;Серебрянський;Serebrianskyi;заказник ботанічний;місцевого значення;Луганська обл.;р-н Кремінський;"N 48°57'18""";"E 38°8'8"""
П-3516;Нижньодуванське;Nyzhnoduvanske;заповідне урочище;місцевого значення;Луганська обл.;р-н Сватівський;"N 49°37'22""";"E 38°13'24"""
П-3517;Горіхове;Horikhove;заповідне урочище;місцевого значення;Луганська обл.;р-н Новоайдарський;"N 48°51'31""";"E 38°58'28"""
П-3537;Співаківська;Spivakivska;ботанічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Новоайдарський;"N 49°4'13""";"E 38°52'30"""
П-3538;Перевальський;Perevalskyi;заказник загальнозоологічний;місцевого значення;Луганська обл.;р-н Перевальський;"N 48°21'59""";"E 38°37'30"""
П-355;Шарів кут;Shariv kut;заказник ландшафтний;місцевого значення;Луганська обл.;р-н Станично-Луганський;"N 48°36'42""";"E 39°39'32"""
П-376;Біляєвське;Biliaievske;заповідне урочище;місцевого значення;Луганська обл.;р-н Слов'яносербський;"N 48°44'31""";"E 38°54'28"""
П-3888;Шамраєва дача;Shamraieva dacha;заповідне урочище;місцевого значення;Луганська обл.;р-н Новоайдарський;"N 48°50'26""";"E 38°41'56"""
П-3904;Курячий;Kuriachyi;заказник ботанічний;місцевого значення;Луганська обл.;р-н Свердловський;"N 48°9'51""";"E 39°39'11"""
