Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1024;Алея вікових лип і дубів;Aleia vikovykh lyp i dubiv;ботанічна пам'ятка природи;місцевого значення;Львівська обл.;р-н Жидачівський;"N 49°17'44""";"E 24°8'32"""
П-1034;Віковий бук;Vikovyi buk;ботанічна пам'ятка природи;місцевого значення;Львівська обл.;р-н Городоцький;"N 49°43'27""";"E 23°44'9"""
П-1083;Віковий дуб;Vikovyi dub;ботанічна пам'ятка природи;місцевого значення;Львівська обл.;р-н Сколівський;"N 49°2'6""";"E 23°31'1"""
П-1110;Моршинський;Morshynskyi;заказник ландшафтний;місцевого значення;Львівська обл.;р-н Стрийський;"N 49°9'43""";"E 23°55'2"""
П-1153;Алея вікових лип;Aleia vikovykh lyp;ботанічна пам'ятка природи;місцевого значення;Львівська обл.;р-н Старосамбірський;"N 49°31'24""";"E 22°56'15"""
П-1162;Вікова липа;Vikova lypa;ботанічна пам'ятка природи;місцевого значення;Львівська обл.;р-н Старосамбірський;"N 49°34'9""";"E 22°46'39"""
П-117;Стариці Дністра;Starytsi Dnistra;заказник ландшафтний;загальнодержавного значення;Львівська обл.;р-н Миколаївський;"N 49°28'15""";"E 23°59'35"""
П-1215;Розлуч;Rozluch;заказник ландшафтний;місцевого значення;Львівська обл.;р-н Турківський;"N 49°11'36""";"E 23°1'21"""
П-1224;Алея вікових лип;Aleia vikovykh lyp;ботанічна пам'ятка природи;місцевого значення;Львівська обл.;р-н Дрогобицький;"N 49°24'32""";"E 23°28'53"""
П-1232;Вікова липа;Vikova lypa;ботанічна пам'ятка природи;місцевого значення;Львівська обл.;р-н Городоцький;"N 49°46'40""";"E 23°38'49"""
П-1259;Парк XIX ст.;Park Xix st.;парк;місцевого значення;Львівська обл.;р-н Мостиський;"N 49°47'29""";"E 23°22'28"""
П-1294;Парк XIX ст.;Park Xix st.;парк;місцевого значення;Львівська обл.;р-н Золочівський;"N 49°37'55""";"E 24°56'39"""
П-1303;Дугласія;Duhlasiia;ботанічна пам'ятка природи;місцевого значення;Львівська обл.;р-н Сколівський;"N 49°8'36""";"E 23°29'18"""
П-1313;Чолгинський;Cholhynskyi;заказник орнітологічний;місцевого значення;Львівська обл.;р-н Яворівський;"N 49°54'26""";"E 23°28'34"""
П-135;Підгірцівський парк;Pidhirtsivskyi park;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Львівська обл.;р-н Стрийський;"N 49°15'12""";"E 23°55'10"""
П-1356;Романівський;Romanivskyi;заказник ландшафтний;місцевого значення;Львівська обл.;р-н Перемишлянський;"N 49°39'25""";"E 24°31'31"""
П-136;Підгорецький парк;Pidhoretskyi park;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Львівська обл.;р-н Бродівський;"N 49°56'38""";"E 24°59'12"""
П-1391;Федорівка;Fedorivka;заказник ландшафтний;місцевого значення;Львівська обл.;р-н Сокальський;"N 50°36'2""";"E 24°9'41"""
