Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-127;Зоряний;Zorianyi;гідрологічна пам'ятка природи;місцевого значення;Миколаївська обл.;р-н Веселинівський;"N 47°24'49""";"E 31°17'40"""
П-137;Низів'я Тилігульського лиману;Nyzivia Tylihulskoho lymanu;заказник орнітологічний;місцевого значення;Миколаївська обл.;р-н Березанський;"N 46°37'35""";"E 31°12'44"""
П-147;Балка Пенківська;Balka Penkivska;ботанічна пам'ятка природи;місцевого значення;Миколаївська обл.;р-н Казанківський;"N 47°51'16""";"E 32°50'22"""
П-205;Джерело с. Новопетрівка;Dzherelo s. Novopetrivka;гідрологічна пам'ятка природи;місцевого значення;Миколаївська обл.;р-н Новоодеський;"N 47°13'51""";"E 31°48'40"""
П-230;Луканівка;Lukanivka;ботанічна пам'ятка природи;місцевого значення;Миколаївська обл.;р-н Кривоозерський;"N 47°56'5""";"E 30°24'17"""
П-237;Пришиб;Pryshyb;ботанічна пам'ятка природи;місцевого значення;Миколаївська обл.;р-н Березнегуватський;"N 47°13'37""";"E 32°50'31"""
П-242;Протичанська скеля;Protychanska skelia;геологічна пам'ятка природи;місцевого значення;Миколаївська обл.;р-н Первомайський;"N 48°3'29""";"E 30°57'45"""
П-2704;Степок;Stepok;ботанічна пам'ятка природи;загальнодержавного значення;Миколаївська обл.;р-н Казанківський;"N 47°31'54""";"E 32°59'15"""
П-2720;Джерело м. Вознесенськ;Dzherelo m. Voznesensk;гідрологічна пам'ятка природи;місцевого значення;Миколаївська обл.;Вознесенська міськрада;"N 47°35'6""";"E 31°19'55"""
П-276;Василева пасіка;Vasyleva pasika;заповідне урочище;місцевого значення;Миколаївська обл.;р-н Вознесенський;"N 47°43'49""";"E 31°25'18"""
П-2797;Джерело мінеральної води;Dzherelo mineralnoi vody;гідрологічна пам'ятка природи;місцевого значення;Миколаївська обл.;р-н Снігурівський;"N 47°4'50""";"E 32°48'4"""
П-286;Балка Широка;Balka Shyroka;ботанічна пам'ятка природи;місцевого значення;Миколаївська обл.;р-н Єланецький;"N 47°41'17""";"E 31°58'32"""
П-2867;Парк ім. Шевченка;Park im. Shevchenka;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Миколаївська обл.;Вознесенський міськрада;"N 47°34'15""";"E 31°16'19"""
П-2907;Піонерський;Pionerskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Миколаївська обл.;Миколаївська міськрада;"N 46°54'37""";"E 32°2'11"""
П-2916;Парк ім. 1-го Травня;Park im. 1-ho Travnia;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Миколаївська обл.;Вознесенська міськрада;"N 47°34'23""";"E 31°16'42"""
П-2948;"Парк ім. 68 моряків-
десантників";Park im. 68 moriakiv-desantnykiv;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Миколаївська обл.;Миколаївська міськрада;"N 46°53'34""";"E 32°1'35"""
П-296;Джерело с. Ракове;Dzherelo s. Rakove;гідрологічна пам'ятка природи;місцевого значення;Миколаївська обл.;р-н Вознесенський;"N 47°31'12""";"E 31°25'56"""
П-3015;Миколаївський зоопарк;Mykolaivskyi zoopark;зоопарк;загальнодержавного значення;Миколаївська обл.;Миколаївська міськрада;"N 46°56'17""";"E 32°3'8"""
П-3055;Мартинівське;Martynivske;заказник лісовий;місцевого значення;Миколаївська обл.;р-н Вознесенський;"N 47°27'48""";"E 31°13'59"""
П-315;"Виступи граніту біля с. Кам'яно-
Костувате";"Vystupy hranitu bilia s. Kamiano-
Kostuvate";геологічна пам'ятка природи;місцевого значення;Миколаївська обл.;р-н Братський;"N 48°0'16""";"E 31°34'9"""
П-3189;Висунський;Vysunskyi;заказник ландшафтний;місцевого значення;Миколаївська обл.;р-н Березнегуватський;"N 47°16'31""";"E 32°48'4"""
