Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1095;Жовтневий;Zhovtnevyi;заказник ентомологічний;місцевого значення;Одеська обл.;р-н Болградський;"N 45°36'40""";"E 28°42'7"""
П-1099;Коритнівський;Korytnivskyi;заказник ентомологічний;місцевого значення;Одеська обл.;р-н Балтський;"N 47°58'50""";"E 29°44'21"""
П-129;Кардамичівський;Kardamychivskyi;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Одеська обл.;р-н Великомихайлівський;"N 46°57'15""";"E 29°54'32"""
П-1482;Тополине;Topolyne;заказник ландшафтний;місцевого значення;Одеська обл.;р-н Болградський;"N 45°36'48""";"E 28°37'32"""
П-1545;Бендзарівський ліс;Bendzarivskyi lis;заказник ландшафтний;місцевого значення;Одеська обл.;р-н Балтський;"N 47°54'5""";"E 29°40'0"""
П-1546;Березівський;Berezivskyi;заказник ландшафтний;місцевого значення;Одеська обл.;р-н Кодимський;"N 48°1'40""";"E 29°14'24"""
П-1585;Верхній ліс;Verkhnii lis;заказник ландшафтний;місцевого значення;Одеська обл.;р-н Іванівський;"N 46°49'19""";"E 30°32'49"""
П-1617;Виноградівка;Vynohradivka;заказник ландшафтний;місцевого значення;Одеська обл.;р-н Болградський;"N 45°37'59""";"E 28°34'53"""
П-1656;Діброва Могилевська;Dibrova Mohylevska;заказник ландшафтний;місцевого значення;Одеська обл.;р-н Тарутинський;"N 46°27'36""";"E 29°19'10"""
П-1657;Діброва болотного дуба;Dibrova bolotnoho duba;заказник ландшафтний;місцевого значення;Одеська обл.;р-н Біляївський;"N 46°31'37""";"E 29°57'21"""
П-1658;Дідрова Манзирська;Didrova Manzyrska;заказник ландшафтний;місцевого значення;Одеська обл.;р-н Тарутинський;"N 46°26'35""";"E 29°20'1"""
П-1690;Даничево;Danychevo;заказник ландшафтний;місцевого значення;Одеська обл.;р-н Балтський;"N 48°7'8""";"E 29°41'42"""
П-1727;Заводовський;Zavodovskyi;заказник ландшафтний;місцевого значення;Одеська обл.;р-н Березівський;"N 47°13'27""";"E 30°52'23"""
П-183;Петровський;Petrovskyi;заказник загальнозоологічний;загальнодержавного значення;Одеська обл.;р-н Лиманський;"N 46°57'27""";"E 30°56'36"""
П-1831;Чегодарівський;Chehodarivskyi;заказник ландшафтний;місцевого значення;Одеська обл.;р-н Ширяївський;"N 47°22'47""";"E 30°4'19"""
П-1846;Лиманський;Lymanskyi;заказник ландшафтний;місцевого значення;Одеська обл.;"р-н Білгород-
Дністровський";"N 46°14'21""";"E 30°9'44"""
П-1862;Новоіванівський;Novoivanivskyi;ботанічна пам'ятка природи;місцевого значення;Одеська обл.;р-н Арцизький;"N 45°54'11""";"E 29°5'52"""
П-1878;Лунг;Lunh;заказник ландшафтний;місцевого значення;Одеська обл.;р-н Ізмаїльський;"N 45°23'0""";"E 28°57'31"""
П-1938;Діброва Арцизська;Dibrova Artsyzska;ботанічна пам'ятка природи;місцевого значення;Одеська обл.;р-н Арцизький;"N 46°0'21""";"E 29°24'6"""
П-202;Староманзирський;Staromanzyrskyi;заказник ботанічний;загальнодержавного значення;Одеська обл.;р-н Тарутинський;"N 46°28'32""";"E 29°20'33"""
П-2036;"Червоноармійський
дендропарк";Chervonoarmiiskyi dendropark;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Одеська обл.;р-н Болградський;"N 45°49'31""";"E 28°48'34"""
П-216;Шептереди;Shepteredy;заказник ландшафтний;місцевого значення;Одеська обл.;р-н Захарівський;"N 47°19'13""";"E 29°39'59"""
П-2180;Гетьманівський дендропарк;Hetmanivskyi dendropark;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Одеська обл.;р-н Савранський;"N 48°3'49""";"E 29°59'48"""
П-2329;Коханівка;Kokhanivka;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Одеська обл.;р-н Ананьївський;"N 47°35'59""";"E 30°2'15"""
П-2356;Джерело Гайдамацька криниця;Dzherelo Haidamatska krynytsia;гідрологічна пам'ятка природи;місцевого значення;Одеська обл.;р-н Савранський;"N 48°6'6""";"E 30°0'0"""
П-2372;Мар'їн гай;Marin hai;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Одеська обл.;р-н Миколаївський;"N 47°30'31""";"E 30°27'59"""
П-2385;Джерело Зустріч;Dzherelo Zustrich;гідрологічна пам'ятка природи;місцевого значення;Одеська обл.;р-н Кодимський;"N 48°7'53""";"E 29°8'8"""
П-2386;Джерело Кішево;Dzherelo Kishevo;гідрологічна пам'ятка природи;місцевого значення;Одеська обл.;р-н Савранський;"N 48°13'46""";"E 29°55'58"""
П-2388;Джерело Канава;Dzherelo Kanava;гідрологічна пам'ятка природи;місцевого значення;Одеська обл.;р-н Кодимський;"N 48°4'3""";"E 28°58'45"""
П-2428;Джерело Огруд;Dzherelo Ohrud;гідрологічна пам'ятка природи;місцевого значення;Одеська обл.;р-н Савранський;"N 48°8'30""";"E 30°15'30"""
П-2466;Джерело Слободка;Dzherelo Slobodka;гідрологічна пам'ятка природи;місцевого значення;Одеська обл.;р-н Кодимський;"N 47°52'44""";"E 29°21'58"""
П-2487;"Парк дитячого санаторію
Хаджибей";"Park dytiachoho sanatoriiu
Khadzhybei";"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Одеська обл.;р-н Біляївський;"N 46°32'29""";"E 30°39'31"""
П-2534;Ракуловський парк;Rakulovskyi park;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Одеська обл.;р-н Балтський;"N 48°2'48""";"E 29°46'21"""
П-2953;Казковий;Kazkovyi;ботанічна пам'ятка природи;місцевого значення;Одеська обл.;Котовська міськрада;"N 47°44'41""";"E 29°32'59"""
П-3016;Одеський зоологічний парк;Odeskyi zoolohichnyi park;зоопарк;загальнодержавного значення;Одеська обл.;Одеська міськрада;"N 46°26'59""";"E 30°43'29"""
