Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1001;Буртівський;Burtivskyi;заказник гідрологічний;місцевого значення;Полтавська обл.;р-н Козельщинський;"N 49°18'48""";"E 33°42'13"""
П-1005;В'язівський;Viazivskyi;заказник гідрологічний;місцевого значення;Полтавська обл.;р-н Лубенський;"N 49°56'33""";"E 32°56'37"""
П-1008;Костюки;Kostiuky;заказник гідрологічний;місцевого значення;Полтавська обл.;р-н Хорольський;"N 49°44'6""";"E 33°18'44"""
П-1014;Криворудський;Kryvorudskyi;заказник гідрологічний;місцевого значення;Полтавська обл.;р-н Семенівський;"N 49°35'56""";"E 33°14'7"""
П-1027;Яблунівський;Yablunivskyi;заказник гідрологічний;місцевого значення;Полтавська обл.;р-н Оржицький;"N 49°57'37""";"E 32°32'57"""
П-1039;Великокручанський;Velykokruchanskyi;заказник гідрологічний;місцевого значення;Полтавська обл.;р-н Пирятинський;"N 50°11'10""";"E 32°34'56"""
П-1044;Крутий берег;Krutyi bereh;заказник гідрологічний;місцевого значення;Полтавська обл.;р-н Лубенський;"N 50°8'21""";"E 33°6'35"""
П-1047;Ксендзівський;Ksendzivskyi;заказник гідрологічний;місцевого значення;Полтавська обл.;р-н Козельщинський;"N 49°14'56""";"E 33°38'27"""
П-1052;Ревазівський;Revazivskyi;заказник гідрологічний;місцевого значення;Полтавська обл.;р-н Новосанжарський;"N 49°18'12""";"E 34°23'30"""
П-1086;Романівський;Romanivskyi;заказник гідрологічний;місцевого значення;Полтавська обл.;р-н Зіньківський;"N 50°4'57""";"E 34°4'26"""
П-1121;Сасинівський;Sasynivskyi;заказник гідрологічний;місцевого значення;Полтавська обл.;р-н Пирятинський;"N 50°18'4""";"E 32°22'48"""
П-113;Вільхівщинський;Vilkhivshchynskyi;заказник ландшафтний;загальнодержавного значення;Полтавська обл.;р-н Полтавський;"N 49°37'56""";"E 34°48'29"""
