Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1283;Дібрівський;Dibrivskyi;заказник гідрологічний;місцевого значення;Рівненська обл.;р-н Зарічненський;"N 51°44'4""";"E 26°2'25"""
П-1485;Урочище Каліжари;Urochyshche Kalizhary;заказник ландшафтний;місцевого значення;Рівненська обл.;р-н Сарненський;"N 51°4'10""";"E 26°24'55"""
П-1645;Урочище Пороховня;Urochyshche Porokhovnia;ботанічна пам'ятка природи;місцевого значення;Рівненська обл.;р-н Радивилівський;"N 50°3'17""";"E 25°20'4"""
П-1684;Хвощ великий;Khvoshch velykyi;ботанічна пам'ятка природи;місцевого значення;Рівненська обл.;р-н Рівненський;"N 50°42'30""";"E 26°17'10"""
П-169;Бущанський;Bushchanskyi;заказник ботанічний;загальнодержавного значення;Рівненська обл.;р-н Острозький;"N 50°17'31""";"E 26°15'44"""
П-1778;Вовкова;Vovkova;ботанічна пам'ятка природи;місцевого значення;Рівненська обл.;р-н Березнівський;"N 50°49'53""";"E 27°8'38"""
П-1840;Кузьмівський;Kuzmivskyi;заказник ландшафтний;місцевого значення;Рівненська обл.;р-н Сарненський;"N 51°11'14""";"E 26°29'2"""
П-186;Урочище Брище;Urochyshche Bryshche;заказник загальнозоологічний;загальнодержавного значення;Рівненська обл.;р-н Березнівський;"N 51°6'31""";"E 26°52'22"""
П-1866;Озеро Мале;Ozero Male;ботанічна пам'ятка природи;місцевого значення;Рівненська обл.;р-н Зарічненський;"N 51°44'14""";"E 26°1'56"""
П-1902;Острів;Ostriv;ботанічна пам'ятка природи;місцевого значення;Рівненська обл.;р-н Рівненський;"N 50°40'38""";"E 26°11'1"""
П-1994;Мутвицький;Mutvytskyi;заказник загальнозоологічний;місцевого значення;Рівненська обл.;р-н Зарічненський;"N 51°48'26""";"E 25°56'48"""
П-201;Сварицевицький;Svarytsevytskyi;заказник ботанічний;загальнодержавного значення;Рівненська обл.;р-н Дубровицький;"N 51°40'29""";"E 26°19'24"""
П-2023;Радивилівський дендропарк;Radyvylivskyi dendropark;комплексна пам'ятка природи;місцевого значення;Рівненська обл.;р-н Радивилівський;"N 50°8'33""";"E 25°16'29"""
П-203;Суський;Suskyi;заказник ботанічний;загальнодержавного значення;Рівненська обл.;р-н Костопільський;"N 50°48'10""";"E 26°7'28"""
П-210;Висоцький;Vysotskyi;заказник лісовий;загальнодержавного значення;Рівненська обл.;р-н Дубровицький;"N 51°39'50""";"E 26°40'17"""
П-212;Дібрівський;Dibrivskyi;заказник гідрологічний;загальнодержавного значення;Рівненська обл.;р-н Зарічненський;"N 51°45'43""";"E 26°7'37"""
