Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1042;Верхньосульський;Verkhnosulskyi;заказник гідрологічний;місцевого значення;Сумська обл.;р-н Білопільський;"N 50°50'22""";"E 34°11'31"""
П-1055;Ретивський;Retyvskyi;заказник гідрологічний;місцевого значення;Сумська обл.;р-н Кролевецький;"N 51°35'41""";"E 33°30'16"""
П-1060;Боромлянський;Boromlianskyi;заказник ентомологічний;місцевого значення;Сумська обл.;р-н Тростянецький;"N 50°38'23""";"E 35°1'20"""
П-1070;Верхньосульський-2;Verkhnosulskyi-2;заказник гідрологічний;місцевого значення;Сумська обл.;р-н Сумський;"N 50°50'58""";"E 34°29'0"""
П-1141;Галине болото;Halyne boloto;заказник гідрологічний;місцевого значення;Сумська обл.;р-н Лебединський;"N 50°41'29""";"E 34°43'54"""
П-1219;Миколаївський;Mykolaivskyi;заказник гідрологічний;місцевого значення;Сумська обл.;р-н Роменський;"N 50°47'24""";"E 33°26'39"""
П-1220;Миропільський;Myropilskyi;заказник гідрологічний;місцевого значення;Сумська обл.;р-н Краснопільський;"N 51°1'8""";"E 35°10'50"""
П-1247;Гружчанський;Hruzhchanskyi;заказник гідрологічний;місцевого значення;Сумська обл.;р-н Конотопський;"N 51°14'3""";"E 33°30'12"""
П-1290;Недригайлівський;Nedryhailivskyi;заказник гідрологічний;місцевого значення;Сумська обл.;р-н Недригайлівський;"N 50°50'20""";"E 33°46'29"""
П-130;Кияницький;Kyianytskyi;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Сумська обл.;р-н Сумський;"N 51°4'34""";"E 34°54'36"""
П-1302;Тернівський;Ternivskyi;заказник гідрологічний;місцевого значення;Сумська обл.;р-н Буринський;"N 51°3'33""";"E 33°51'1"""
П-1306;Ульянівський;Ulianivskyi;заказник орнітологічний;місцевого значення;Сумська обл.;р-н Білопільський;"N 50°59'56""";"E 34°13'43"""
П-1317;Дорошівський;Doroshivskyi;заказник гідрологічний;місцевого значення;Сумська обл.;р-н Ямпільський;"N 52°2'39""";"E 33°52'12"""
П-1346;Камінські піщаники;Kaminski pishchanyky;заказник геологічний;місцевого значення;Сумська обл.;р-н Кролевецький;"N 51°24'1""";"E 33°35'15"""
П-1392;Олександрійський;Oleksandriiskyi;заказник гідрологічний;місцевого значення;Сумська обл.;р-н Краснопільський;"N 51°4'16""";"E 35°18'31"""
П-1509;Єзучський;Yezuchskyi;заказник ландшафтний;місцевого значення;Сумська обл.;р-н Конотопський;"N 51°18'1""";"E 33°10'49"""
П-151;Андріяшівсько-Гудимівський;Andriiashivsko-Hudymivskyi;заказник гідрологічний;загальнодержавного значення;Сумська обл.;р-н Роменський;"N 50°34'46""";"E 33°19'43"""
П-1549;Битицький;Bytytskyi;заказник ландшафтний;місцевого значення;Сумська обл.;р-н Сумський;"N 51°0'18""";"E 34°59'34"""
П-1578;Бочечанський;Bochechanskyi;заказник ландшафтний;місцевого значення;Сумська обл.;р-н Конотопський;"N 51°19'58""";"E 33°24'17"""
П-1582;Вільшанківський;Vilshankivskyi;заказник ландшафтний;місцевого значення;Сумська обл.;р-н Сумський;"N 50°58'4""";"E 34°57'44"""
П-1586;Верхньоесманський;Verkhnoesmanskyi;заказник ландшафтний;місцевого значення;Сумська обл.;р-н Глухівський;"N 51°43'35""";"E 33°41'41"""
П-1655;Діброва;Dibrova;заказник ландшафтний;місцевого значення;Сумська обл.;р-н Шосткинський;"N 52°1'14""";"E 33°31'55"""
П-167;Банний яр;Bannyi yar;заказник ботанічний;загальнодержавного значення;Сумська обл.;р-н Сумський;"N 51°3'2""";"E 35°0'19"""
П-179;Урочище Великий бір;Urochyshche Velykyi bir;заказник лісовий;загальнодержавного значення;Сумська обл.;р-н Шосткинський;"N 51°48'55""";"E 33°9'51"""
П-182;Журавлиний;Zhuravlynyi;заказник орнітологічний;загальнодержавного значення;Сумська обл.;р-н Сумський;"N 50°44'3""";"E 34°44'30"""
П-1847;Лисиця;Lysytsia;заказник ландшафтний;місцевого значення;Сумська обл.;р-н Тростянецький;"N 50°40'22""";"E 34°58'45"""
П-1869;Байбачий;Baibachyi;заказник загальнозоологічний;місцевого значення;Сумська обл.;р-н Роменський;"N 50°41'27""";"E 33°27'46"""
П-1876;Бобровий;Bobrovyi;заказник загальнозоологічний;місцевого значення;Сумська обл.;р-н Білопільський;"N 51°15'20""";"E 34°14'33"""
П-1912;Вирівський;Vyrivskyi;заказник загальнозоологічний;місцевого значення;Сумська обл.;р-н Білопільський;"N 51°4'4""";"E 34°22'46"""
П-1918;Могрицький;Mohrytskyi;заказник ландшафтний;місцевого значення;Сумська обл.;р-н Сумський;"N 51°2'7""";"E 35°7'19"""
П-1920;Монастирський ліс;Monastyrskyi lis;заказник ландшафтний;місцевого значення;Сумська обл.;р-н Путивльський;"N 51°19'41""";"E 34°7'13"""
П-1952;Золотарівський;Zolotarivskyi;заказник загальнозоологічний;місцевого значення;Сумська обл.;р-н Сумський;"N 51°9'4""";"E 34°49'35"""
П-1954;Кочубеївський;Kochubeivskyi;заказник загальнозоологічний;місцевого значення;Сумська обл.;р-н Кролевецький;"N 51°35'0""";"E 33°27'2"""
П-2033;Хотінський;Khotinskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Сумська обл.;р-н Сумський;"N 51°4'59""";"E 34°47'16"""
П-2073;Шкуратівський;Shkurativskyi;дендрологічний парк;місцевого значення;Сумська обл.;р-н Білопільський;"N 51°7'48""";"E 34°11'25"""
П-2075;Ярославецький;Yaroslavetskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Сумська обл.;р-н Кролевецький;"N 51°32'56""";"E 33°39'30"""
П-2112;Білогриве;Bilohryve;заповідне урочище;місцевого значення;Сумська обл.;р-н Кролевецький;"N 51°40'35""";"E 33°26'47"""
П-2144;Великобобрицький;Velykobobrytskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Сумська обл.;р-н Краснопільський;"N 50°46'23""";"E 35°1'13"""
П-2166;Озеро Журавлине;Ozero Zhuravlyne;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Сумський;"N 50°50'43""";"E 35°0'53"""
П-2176;Воздвиженський;Vozdvyzhenskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Сумська обл.;р-н Ямпільський;"N 51°51'43""";"E 33°52'14"""
П-2177;Волокитинський;Volokytynskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Сумська обл.;р-н Путивльський;"N 51°27'22""";"E 33°48'34"""
П-2194;Шпилі Полтавського ярусу;Shpyli Poltavskoho yarusu;геологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Сумський;"N 50°47'17""";"E 34°40'21"""
П-2203;Озеро Червоне;Ozero Chervone;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Путивльський;"N 51°15'3""";"E 33°57'45"""
П-2210;Панська криниця;Panska krynytsia;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Середино-Будський;"N 52°14'9""";"E 33°23'1"""
П-2245;Річківська криниця;Richkivska krynytsia;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Білопільський;"N 51°7'17""";"E 34°27'37"""
П-2248;Сім джерел;Sim dzherel;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Глухівський;"N 51°32'37""";"E 34°9'38"""
П-2259;Веселе;Vesele;заповідне урочище;місцевого значення;Сумська обл.;р-н Тростянецький;"N 50°28'2""";"E 34°59'37"""
П-2279;Сварківські джерела;Svarkivski dzherela;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Глухівський;"N 51°37'5""";"E 34°1'0"""
П-2285;Синя криниця;Synia krynytsia;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Ямпільський;"N 51°56'1""";"E 33°57'0"""
П-2293;Камінський;Kaminskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Сумська обл.;р-н Кролевецький;"N 51°24'41""";"E 33°35'32"""
П-2309;Джерело в селі Руднєве;Dzherelo v seli Rudnieve;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Путивльський;"N 51°24'41""";"E 34°1'21"""
