Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-124;Вишнівецький парк;Vyshnivetskyi park;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Тернопільська обл.;р-н Збаразький;"N 49°53'52""";"E 25°44'6"""
П-155;Більче-Золотецький парк;Bilche-Zolotetskyi park;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Тернопільська обл.;р-н Борщівський;"N 48°46'45""";"E 25°53'2"""
П-157;Касперівський;Kasperivskyi;заказник ландшафтний;загальнодержавного значення;Тернопільська обл.;р-н Борщівський;"N 48°47'45""";"E 25°50'44"""
П-1673;Косівський ясен;Kosivskyi yasen;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Чортківський;"N 49°5'4""";"E 25°39'10"""
П-174;Голицький;Holytskyi;заказник ботанічний;загальнодержавного значення;Тернопільська обл.;р-н Бережанський;"N 49°24'15""";"E 24°50'36"""
П-177;Суразька дача;Surazka dacha;заказник лісовий;загальнодержавного значення;Тернопільська обл.;р-н Шумський;"N 50°11'10""";"E 26°9'5"""
П-2018;Дерево Міцкевича;Derevo Mitskevycha;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Гусятинський;"N 49°20'27""";"E 26°0'48"""
П-2052;Куропатницьке джерело;Kuropatnytske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Бережанський;"N 49°30'6""";"E 24°59'56"""
П-2094;Миролюбівське джерело;Myroliubivske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Тернопільський;"N 49°25'34""";"E 25°34'43"""
П-2205;Озерце Безодня;Ozertse Bezodnia;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Тернопільський;"N 49°25'37""";"E 25°32'45"""
П-2207;Осталецьке джерело;Ostaletske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Теребовлянський;"N 49°22'38""";"E 25°42'38"""
П-2208;Острівське джерело;Ostrivske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Тернопільський;"N 49°29'5""";"E 25°34'44"""
П-2209;Підгаєцьке джерело;Pidhaietske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Підгаєцький;"N 49°16'5""";"E 25°8'24"""
П-2240;Передмірське джерело;Peredmirske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Лановецький;"N 49°53'43""";"E 25°53'40"""
П-2247;Романівське джерело;Romanivske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Теребовлянський;"N 49°12'32""";"E 25°33'54"""
П-225;Довгівська липа;Dovhivska lypa;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Теребовлянський;"N 49°13'3""";"E 25°45'30"""
П-2271;Виток річки Нараївка;Vytok richky Naraivka;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Бережанський;"N 49°32'31""";"E 24°45'24"""
П-2277;Гутянські джерела;Hutianski dzherela;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Бережанський;"N 49°30'0""";"E 24°46'16"""
П-2289;"Залишки старовинного парку в
с. Млиниська";"Zalyshky starovynnoho parku v s.
Mlynyska";парк;місцевого значення;Тернопільська обл.;р-н Теребовлянський;"N 49°11'48""";"E 25°46'43"""
П-229;Луб'янківська дубина;Lubiankivska dubyna;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Збаразький;"N 49°40'29""";"E 25°54'31"""
П-2290;"Залишки старовинного парку в
с.Бережанка";"Zalyshky starovynnoho parku v
s.berezhanka";парк;місцевого значення;Тернопільська обл.;р-н Лановецький;"N 49°49'54""";"E 26°0'28"""
П-2312;Джерела в Лозах;Dzherela v Lozakh;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Бережанський;"N 49°18'46""";"E 24°53'26"""
П-2320;Сороцьке джерело;Sorotske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Теребовлянський;"N 49°22'58""";"E 25°50'40"""
П-2324;Сущинські джерела;Sushchynski dzherela;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Теребовлянський;"N 49°22'35""";"E 25°44'56"""
П-2326;Тростянецькі джерела;Trostianetski dzherela;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Бережанський;"N 49°20'19""";"E 24°54'49"""
П-233;Урочище Олексюки;Urochyshche Oleksiuky;заказник ботанічний;місцевого значення;Тернопільська обл.;р-н Кременецький;"N 50°9'32""";"E 25°34'56"""
П-234;Марковецька бучина;Markovetska buchyna;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Монастириський;"N 49°9'20""";"E 25°3'27"""
