Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1007;Великоглушанський;Velykohlushanskyi;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Любешівський;"N 51°51'2""";"E 24°58'31"""
П-1010;Краєвид;Kraievyd;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Луцький;"N 50°50'36""";"E 25°15'38"""
П-1018;Пулемецький;Pulemetskyi;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Шацький;"N 51°32'20""";"E 23°43'19"""
П-1019;Річицький;Richytskyi;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Ратнівський;"N 51°46'6""";"E 24°39'46"""
П-1040;Великообзирський;Velykoobzyrskyi;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Камінь-Каширський;"N 51°30'15""";"E 25°4'58"""
П-1057;Рогнізненський;Rohniznenskyi;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Любешівський;"N 51°54'55""";"E 25°8'33"""
П-1072;Ветлівський;Vetlivskyi;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Любешівський;"N 51°52'12""";"E 25°7'52"""
П-1102;Вижівський;Vyzhivskyi;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Старовижівський;"N 51°26'17""";"E 24°28'57"""
П-1123;Світлий;Svitlyi;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Маневицький;"N 51°14'7""";"E 25°20'50"""
П-1125;Седлищенський;Sedlyshchenskyi;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Любешівський;"N 51°39'54""";"E 25°23'32"""
П-1138;Гірківський;Hirkivskyi;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Любешівський;"N 51°52'26""";"E 25°12'57"""
П-1139;Гірницьке болото;Hirnytske boloto;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Ратнівський;"N 51°51'45""";"E 24°47'32"""
