Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1476;Біла та Чорна Тиса;Bila ta Chorna Tysa;заказник іхтіологічний;місцевого значення;Закарпатська обл.;р-н Рахівський;"N 48°18'13""";"E 24°16'10"""
П-1507;Усть-Чорна;Ust-Chorna;заказник іхтіологічний;місцевого значення;Закарпатська обл.;р-н Тячівський;"N 48°19'20""";"E 24°3'11"""
П-161;"Ботанічний сад Ужгородського
державного університету";"Botanichnyi sad Uzhhorodskoho
derzhavnoho universytetu";ботанічний сад;загальнодержавного значення;Закарпатська обл.;Ужгородська міськрада;"N 48°36'37""";"E 22°17'14"""
П-173;Гладинський;Hladynskyi;заказник ботанічний;загальнодержавного значення;Закарпатська обл.;р-н Тячівський;"N 48°22'25""";"E 24°6'0"""
П-184;Річанський;Richanskyi;заказник загальнозоологічний;загальнодержавного значення;Закарпатська обл.;р-н Іршавський;"N 48°25'9""";"E 23°23'21"""
П-185;Тур'є Полянський;Turie Polianskyi;заказник загальнозоологічний;загальнодержавного значення;Закарпатська обл.;р-н Перечинський;"N 48°46'9""";"E 22°51'25"""
П-221;Бузок угорський;Buzok uhorskyi;ботанічна пам'ятка природи;місцевого значення;Закарпатська обл.;р-н Воловецький;"N 48°45'39""";"E 22°57'13"""
П-263;Лилики;Lylyky;зоологічна пам'ятка природи;місцевого значення;Закарпатська обл.;р-н Ужгородський;"N 48°33'56""";"E 22°26'0"""
П-29;Зачарований Край;Zacharovanyi Krai;національний природний парк;загальнодержавного значення;Закарпатська обл.;р-н Іршавський;"N 48°21'10""";"E 23°4'25"""
П-30;Синевир;Synevyr;національний природний парк;загальнодержавного значення;Закарпатська обл.;р-н Міжгірський;"N 48°31'9""";"E 23°42'38"""
П-3005;Мочар;Mochar;заповідне урочище;місцевого значення;Закарпатська обл.;р-н Тячівський;"N 48°4'4""";"E 23°26'54"""
П-31;Ужанський;Uzhanskyi;національний природний парк;загальнодержавного значення;Закарпатська обл.;р-н Великоберезнянський;"N 48°54'23""";"E 22°51'21"""
П-3109;Деренів;Dereniv;заповідне урочище;місцевого значення;Закарпатська обл.;р-н Мукачівський;"N 48°30'55""";"E 22°53'26"""
П-3210;Потік Оса;Potik Osa;заказник загальнозоологічний;загальнодержавного значення;Закарпатська обл.;р-н Воловецький;"N 48°38'40""";"E 23°9'26"""
П-3543;Говерлянка;Hoverlianka;заказник ботанічний;місцевого значення;Закарпатська обл.;р-н Рахівський;"N 48°3'58""";"E 24°30'13"""
П-3544;Голиця;Holytsia;заказник ботанічний;місцевого значення;Закарпатська обл.;р-н Воловецький;"N 48°45'59""";"E 23°7'13"""
П-3546;Гора Біганська;Hora Bihanska;заповідне урочище;місцевого значення;Закарпатська обл.;р-н Берегівський;"N 48°15'2""";"E 22°31'14"""
П-3573;Голаня;Holania;заказник ботанічний;місцевого значення;Закарпатська обл.;р-н Великоберезнянський;"N 48°58'36""";"E 22°37'8"""
П-362;Карпатський;Karpatskyi;біосферний заповідник;загальнодержавного значення;Закарпатська обл.;"р-н Виноградівський, р-н
Рахівський, р-н
Тячівський, р-н Хустський";"N 48°8'22""";"E 24°9'42"""
П-3628;Брадульський;Bradulskyi;заказник ландшафтний;загальнодержавного значення;Закарпатська обл.;р-н Тячівський;"N 48°32'38""";"E 23°54'2"""
П-3807;Арніка;Arnika;заказник ботанічний;місцевого значення;Закарпатська обл.;р-н Рахівський;"N 48°2'2""";"E 24°3'26"""
П-3808;Аршична;Arshychna;заказник ботанічний;місцевого значення;Закарпатська обл.;р-н Тячівський;"N 48°27'8""";"E 24°3'39"""
П-3855;Грабовець;Hrabovets;заказник ландшафтний;місцевого значення;Закарпатська обл.;р-н Міжгірський;"N 48°34'47""";"E 23°28'36"""
