Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-111;Радіонівський;Radyvonivskyi;заказник лісовий;загальнодержавного значення;Запорізька обл.;р-н Якимівський;"N 46°40'27""";"E 35°16'29"""
П-118;Старобербянський;Staroberbianskyi;заказник ландшафтний;загальнодержавного значення;Запорізька обл.;р-н Мелітопольський;"N 46°55'12""";"E 35°29'2"""
П-1451;Ставок із степовими ділянками;Stavok iz stepovymy diliankamy;заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Новомиколаївський;"N 47°51'0""";"E 35°56'0"""
П-150;Молочний лиман;Molochnyi lyman;заказник гідрологічний;загальнодержавного значення;Запорізька обл.;р-н Приазовський;"N 46°35'44""";"E 35°20'32"""
П-1523;Фогельрейх;Fohelreikh;заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Більмацький;"N 47°24'30""";"E 36°48'22"""
П-1541;Балка Мар'янівська;Balka Marianivska;заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Новомиколаївський;"N 47°56'0""";"E 35°55'12"""
П-1542;Балка Терсянська;Balka Tersianska;заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Новомиколаївський;"N 47°52'29""";"E 35°54'3"""
П-1543;Балка Червоногорівська;Balka Chervonohorivska;заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Новомиколаївський;"N 48°1'57""";"E 35°52'1"""
П-1551;"Хвойно-листяний ліс з
степовою ділянкою і струмком";"Khvoino-lystianyi lis z stepovoiu
diliankoiu i strumkom";заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Новомиколаївський;"N 47°49'34""";"E 36°10'42"""
П-2483;Балка Роднинська;Balka Rodnynska;комплексна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Новомиколаївський;"N 47°55'11""";"E 35°44'31"""
П-2634;"Ліс в поймі колишньої річки
Великий Утлюк";"Lis v poimi kolyshnoi richky
Velykyi Utliuk";заповідне урочище;місцевого значення;Запорізька обл.;р-н Веселівський;"N 46°58'18""";"E 35°3'27"""
П-2666;Балка Бальчанська;Balka Balchanska;ботанічна пам'ятка природи;загальнодержавного значення;Запорізька обл.;р-н Вільнянський;"N 48°6'49""";"E 35°4'4"""
П-2668;Балка Россоховата;Balka Rossokhovata;ботанічна пам'ятка природи;загальнодержавного значення;Запорізька обл.;р-н Вільнянський;"N 48°6'55""";"E 35°8'11"""
П-2675;"Вікове дерево клену
гостролистого";"Vikove derevo klenu
hostrolystoho";ботанічна пам'ятка природи;місцевого значення;Запорізька обл.;Бердянська міськрада;"N 46°48'24""";"E 36°44'28"""
П-272;"Стара прісноводна криниця з
цілиною";"Stara prisnovodna krynytsia z
tsilynoiu";комплексна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Бердянський;"N 47°5'18""";"E 37°0'30"""
П-2748;Урочище Пристіни;Urochyshche Prystiny;ботанічна пам'ятка природи;загальнодержавного значення;Запорізька обл.;р-н Запорізький;"N 47°41'24""";"E 35°19'2"""
П-2781;Гранітні скелі;Hranitni skeli;геологічна пам'ятка природи;загальнодержавного значення;Запорізька обл.;р-н Бердянський;"N 47°1'1""";"E 36°51'33"""
П-2794;Балочка лугова;Balochka luhova;ботанічна пам'ятка природи;місцевого значення;Запорізька обл.;Бердянська міськрада;"N 46°51'32""";"E 36°41'31"""
П-2870;"Скеля Кристал і скеля
Кварцитова";Skelia Krystal i skelia Kvartsytova;геологічна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Бердянський;"N 46°59'57""";"E 36°52'7"""
П-2873;Вигін Чабанка;Vyhin Chabanka;заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Оріхівський;"N 47°38'3""";"E 35°51'1"""
П-2902;Верхів'я Утлюцького лиману;Verkhivia Utliutskoho lymanu;комплексна пам'ятка природи;загальнодержавного значення;Запорізька обл.;р-н Якимівський;"N 46°30'43""";"E 35°11'27"""
П-2954;Парк енергетиків;Park enerhetykiv;парк;місцевого значення;Запорізька обл.;Запорізька міськрада;"N 47°52'15""";"E 35°4'49"""
П-3059;Цілинна балка;Tsilynna balka;заказник ентомологічний;місцевого значення;Запорізька обл.;р-н Великобілозерський;"N 47°15'23""";"E 34°44'26"""
П-3060;Цілинна ділянка вздовж балки;Tsilynna dilianka vzdovzh balky;заказник ентомологічний;місцевого значення;Запорізька обл.;р-н Токмацький;"N 47°19'18""";"E 35°48'57"""
П-3061;Цілинна ділянка;Tsilynna dilianka;заказник ентомологічний;місцевого значення;Запорізька обл.;р-н Бердянський;"N 46°55'41""";"E 36°38'40"""
П-3062;"Цілинна ділянка в поймі р.
Молочна";"Tsilynna dilianka v poimi r.
Molochna";заказник ентомологічний;місцевого значення;Запорізька обл.;р-н Мелітопольський;"N 46°52'26""";"E 35°25'49"""
П-3063;Цілинна ділянка в степу;Tsilynna dilianka v stepu;заказник ентомологічний;місцевого значення;Запорізька обл.;р-н Веселівський;"N 47°1'49""";"E 34°35'38"""
