Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-103;Новочорторийський;Novochortoryiskyi;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Житомирська обл.;р-н Любарський;"N 50°1'27""";"E 27°41'45"""
П-110;Поясківський;Poiaskivskyi;заказник лісовий;загальнодержавного значення;Житомирська обл.;р-н Олевський;"N 51°20'18""";"E 27°54'6"""
П-1108;Волосне;Volosne;заказник гідрологічний;місцевого значення;Житомирська обл.;р-н Коростенський;"N 50°48'52""";"E 28°30'43"""
П-1144;Галове;Halove;заказник гідрологічний;місцевого значення;Житомирська обл.;р-н Малинський;"N 50°49'16""";"E 29°28'13"""
П-1174;Галове болото;Halove boloto;заказник гідрологічний;місцевого значення;Житомирська обл.;р-н Коростишівський;"N 50°18'23""";"E 29°7'56"""
П-122;Верхівнянський;Verkhivnianskyi;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Житомирська обл.;р-н Ружинський;"N 49°48'35""";"E 29°19'17"""
П-1221;Мисловичі;Myslovychi;заказник гідрологічний;місцевого значення;Житомирська обл.;р-н Коростенський;"N 50°51'57""";"E 28°17'4"""
П-1253;Можарівський;Mozharivskyi;заказник гідрологічний;місцевого значення;Житомирська обл.;р-н Овруцький;"N 51°24'24""";"E 28°27'42"""
П-126;Городницький;Horodnytskyi;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Житомирська обл.;р-н Новоград-Волинський;"N 50°49'29""";"E 27°18'10"""
П-1274;Мусієвка;Musiievka;заказник орнітологічний;місцевого значення;Житомирська обл.;р-н Ружинський;"N 49°51'19""";"E 29°20'59"""
П-1297;Сукачове;Sukachove;заказник гідрологічний;місцевого значення;Житомирська обл.;р-н Коростенський;"N 50°50'13""";"E 28°32'13"""
П-1300;Сущанські ставки;Sushchanski stavky;заказник гідрологічний;місцевого значення;Житомирська обл.;р-н Попільнянський;"N 50°4'29""";"E 29°36'12"""
П-143;Івницький;Ivnytskyi;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Житомирська обл.;р-н Андрушівський;"N 50°8'39""";"E 29°2'11"""
П-1442;Токовище;Tokovyshche;заказник загальнозоологічний;місцевого значення;Житомирська обл.;р-н Овруцький;"N 51°25'11""";"E 28°16'16"""
П-1471;Чернеча;Chernecha;заказник загальнозоологічний;місцевого значення;Житомирська обл.;р-н Любарський;"N 49°58'8""";"E 27°48'14"""
П-1475;Щабель;Shchabel;заказник загальнозоологічний;місцевого значення;Житомирська обл.;р-н Коростенський;"N 50°50'17""";"E 28°27'6"""
П-1623;Гамарня;Hamarnia;заказник ландшафтний;місцевого значення;Житомирська обл.;р-н Малинський;"N 50°46'50""";"E 29°10'59"""
П-178;Туганівський;Tuhanivskyi;заказник лісовий;загальнодержавного значення;Житомирська обл.;р-н Новоград-Волинський;"N 50°31'9""";"E 27°24'10"""
П-1872;Барвенкове;Barvenkove;заказник загальнозоологічний;місцевого значення;Житомирська обл.;р-н Коростенський;"N 50°49'43""";"E 28°21'50"""
