Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-13686;Баландинська;Balandynska;балка;Черкаська обл., Кіровоградська обл.;;"N 48° 13’ 46""";"E 31° 56’ 30"""
Ф-530;Вікнина;Viknyna;річка;Черкаська обл., Кіровоградська обл.;;"N 48° 19’ 32""";"E 29° 52’ 37"""
Ф-5797;Колодисте;Kolodyste;урочище;Черкаська обл.;р-н Уманський;"N 48° 27’ 35""";"E 30° 6’ 26"""
Ф-529;Ятрань;Yatran;річка;Черкаська обл., Кіровоградська обл.;;"N 48° 28’ 55""";"E 30° 45’ 0"""
Ф-5786;Херсонка-Вовводка;Khersonka-Vovvodka;урочище;Черкаська обл.;р-н Уманський;"N 48° 31’ 2""";"E 30° 1’ 25"""
Ф-5792;Окопане;Okopane;урочище;Черкаська обл., Кіровоградська обл.;;"N 48° 32’ 10""";"E 30° 22’ 48"""
Ф-39956;Городниця;Horodnytsia;ліс;Черкаська обл.;р-н Уманський;"N 48° 32’ 23""";"E 30° 11’ 21"""
Ф-5776;Велике;Velyke;урочище;Черкаська обл.;р-н Уманський;"N 48° 32’ 41""";"E 30° 1’ 18"""
Ф-5770;Жупани;Zhupany;урочище;Черкаська обл.;р-н Уманський;"N 48° 33’ 40""";"E 30° 7’ 0"""
Ф-37977;Великий;Velykyi;ліс;Черкаська обл.;р-н Уманський;"N 48° 35’ 28""";"E 29° 58’ 25"""
Ф-44938;Монах;Monakh;річка;Черкаська обл.;р-н Уманський;"N 48° 35’ 28""";"E 30° 34’ 6"""
Ф-37668;Гайдамака;Haidamaka;ліс;Черкаська обл.;р-н Уманський;"N 48° 35’ 42""";"E 30° 9’ 16"""
Ф-37667;Ташлицький;Tashlytskyi;ліс;Черкаська обл.;р-н Уманський;"N 48° 35’ 46""";"E 29° 58’ 2"""
Ф-39957;Циваневий;Tsyvanevyi;ліс;Черкаська обл.;р-н Уманський;"N 48° 35’ 53""";"E 30° 21’ 31"""
Ф-32527;Погорільська Дача;Pohorilska Dacha;урочище;Черкаська обл.;р-н Уманський;"N 48° 36’ 21""";"E 30° 0’ 18"""
Ф-30258;Чагри;Chahry;балка;Черкаська обл.;р-н Уманський;"N 48° 37’ 46""";"E 30° 21’ 27"""
Ф-1376;Журбинка;Zhurbynka;річка;Черкаська обл.;;"N 48° 38’ 2""";"E 30° 17’ 18"""
Ф-37669;Громівський;Hromivskyi;ліс;Черкаська обл.;р-н Уманський;"N 48° 38’ 30""";"E 30° 13’ 10"""
Ф-2667;Бабанка;Babanka;річка;Черкаська обл.;;"N 48° 38’ 41""";"E 30° 25’ 40"""
Ф-18396;Видумки;Vydumky;балка;Черкаська обл.;р-н Уманський;"N 48° 39’ 17""";"E 30° 28’ 55"""
Ф-2657;Уманка;Umanka;річка;Черкаська обл.;;"N 48° 39’ 23""";"E 30° 22’ 2"""
Ф-28790;Південне;Pivdenne;урочище;Черкаська обл.;р-н Уманський;"N 48° 39’ 32""";"E 30° 16’ 11"""
Ф-39950;Погорільська Дача;Pohorilska Dacha;ліс;Черкаська обл.;р-н Христинівський;"N 48° 39’ 44""";"E 29° 58’ 15"""
Ф-28789;Південне;Pivdenne;урочище;Черкаська обл.;р-н Уманський;"N 48° 39’ 49""";"E 30° 13’ 59"""
Ф-31649;Поповські;Popovski;курган;Черкаська обл.;р-н Уманський;"N 48° 40’ 24""";"E 30° 19’ 57"""
Ф-5915;Услярки;Usliarky;урочище;Черкаська обл.;р-н Уманський;"N 48° 40’ 38""";"E 30° 10’ 27"""
Ф-5905;Синицько-Паланськів;Synytsko-Palanskiv;урочище;Черкаська обл.;р-н Уманський;"N 48° 43’ 15""";"E 30° 4’ 27"""
Ф-34405;Красногірське;Krasnohirske;джерело;Черкаська обл.;р-н Шполянський;"N 48° 43’ 41""";"E 31° 20’ 23"""
Ф-2653;Товмач;Tovmach;річка;Черкаська обл.;;"N 48° 43’ 42""";"E 31° 20’ 39"""
Ф-2662;Паланка;Palanka;річка;Черкаська обл.;;"N 48° 44’ 13""";"E 30° 13’ 30"""
Ф-34395;Розбійна Балка;Rozbiina Balka;річка;Черкаська обл.;р-н Катеринопільський;"N 48° 44’ 48""";"E 31° 9’ 36"""
Ф-2517;Тікич;Tikych;річка;Черкаська обл.;;"N 48° 44’ 50""";"E 30° 53’ 30"""
Ф-34457;Карпів Яр;Karpiv Yar;річка;Черкаська обл.;р-н Катеринопільський;"N 48° 44’ 9""";"E 31° 4’ 36"""
Ф-24759;Матвіїв Хутір;Matviiv Khutir;урочище;Черкаська обл.;р-н Уманський;"N 48° 45’ 14""";"E 30° 28’ 37"""
Ф-32536;Чубарівка;Chubarivka;балка;Черкаська обл.;р-н Уманський;"N 48° 45’ 21""";"E 30° 30’ 5"""
Ф-13678;Миколаївська;Mykolaivska;балка;Черкаська обл.;р-н Катеринопільський;"N 48° 45’ 33""";"E 31° 7’ 32"""
Ф-45195;Вільшанка;Vilshanka;річка;Черкаська обл.;р-н Катеринопільський;"N 48° 45’ 41""";"E 30° 58’ 39"""
Ф-32909;Христачеве;Khrystacheve;урочище;Черкаська обл.;р-н Катеринопільський;"N 48° 45’ 45""";"E 30° 56’ 20"""
Ф-32411;Янів Кут;Yaniv Kut;урочище;Черкаська обл.;р-н Христинівський;"N 48° 45’ 46""";"E 29° 52’ 19"""
Ф-24530;Морласове;Morlasove;урочище;Черкаська обл.;р-н Уманський;"N 48° 45’ 7""";"E 30° 2’ 30"""
Ф-5897;Шелест;Shelest;урочище;Черкаська обл.;р-н Уманський;"N 48° 46’ 0""";"E 30° 5’ 48"""
Ф-32254;Шпиль;Shpyl;балка;Черкаська обл.;р-н Уманський;"N 48° 46’ 33""";"E 30° 18’ 36"""
Ф-25496;Могили-Розкопані;Mohyly-Rozkopani;курган;Черкаська обл.;р-н Тальнівський;"N 48° 46’ 38""";"E 30° 51’ 40"""
Ф-5939;Білогрудівська Дача;Bilohrudivska Dacha;урочище;Черкаська обл.;р-н Уманський;"N 48° 46’ 56""";"E 30° 17’ 27"""
Ф-5927;Кавказ;Kavkaz;урочище;Черкаська обл.;р-н Уманський;"N 48° 46’ 8""";"E 30° 28’ 46"""
Ф-17669;Григорів Хутір;Hryhoriv Khutir;урочище;Черкаська обл.;р-н Христинівський;"N 48° 47’ 10""";"E 29° 48’ 20"""
