Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-10020;Поруб;Porub;урочище;Чернігівська обл.;р-н Семенівський;"N 51° 59’ 35""";"E 32° 41’ 51"""
Ф-10022;Московка;Moskovka;урочище;Чернігівська обл.;р-н Семенівський;"N 51° 59’ 55""";"E 32° 45’ 0"""
Ф-10026;Заболоття;Zabolottia;урочище;Чернігівська обл.;р-н Новгород-Сіверський;"N 51° 59’ 5""";"E 32° 51’ 59"""
Ф-10029;Табурище;Taburyshche;урочище;Чернігівська обл.;р-н Новгород-Сіверський;"N 51° 58’ 55""";"E 32° 59’ 28"""
Ф-10036;Петровщина;Petrovshchyna;урочище;Чернігівська обл.;р-н Новгород-Сіверський;"N 51° 57’ 55""";"E 32° 41’ 50"""
Ф-10037;Довидково Болото;Dovydkovo Boloto;урочище;Чернігівська обл.;р-н Новгород-Сіверський;"N 51° 57’ 33""";"E 32° 44’ 50"""
Ф-10040;Полянське;Polianske;урочище;Чернігівська обл.;р-н Новгород-Сіверський;"N 51° 57’ 55""";"E 32° 52’ 30"""
Ф-10042;Синявське;Syniavske;урочище;Чернігівська обл.;р-н Новгород-Сіверський;"N 51° 54’ 34""";"E 32° 53’ 50"""
Ф-10047;Скопів Низ;Skopiv Nyz;урочище;Чернігівська обл.;р-н Новгород-Сіверський;"N 51° 52’ 30""";"E 32° 57’ 50"""
Ф-10049;Лосканський Бір;Loskanskyi Bir;урочище;Чернігівська обл.;р-н Новгород-Сіверський;"N 51° 50’ 25""";"E 32° 56’ 39"""
Ф-10054;Славин;Slavyn;урочище;Чернігівська обл.;р-н Корюківський;"N 51° 54’ 56""";"E 32° 36’ 30"""
Ф-10055;Бобрик;Bpbryk;урочище;Чернігівська обл.;р-н Корюківський;"N 51° 54’ 45""";"E 32° 40’ 33"""
Ф-10109;Довге;Dovhe;урочище;Чернігівська обл.;р-н Корюківський;"N 51° 52’ 57""";"E 32° 31’ 55"""
Ф-10113;Рядченкова;Riadchenkova;урочище;Чернігівська обл.;р-н Корюківський;"N 51° 50’ 3""";"E 32° 32’ 30"""
Ф-10117;Ліс Банківський;Lis Bankivskyi;урочище;Чернігівська обл.;р-н Корюківський;"N 51° 48’ 6""";"E 32° 31’ 50"""
Ф-10119;Жуклянські Дачі;Zhuklianski Dachi;урочище;Чернігівська обл.;р-н Корюківський;"N 51° 48’ 50""";"E 32° 36’ 35"""
Ф-10123;Залліся;Zallisia;урочище;Чернігівська обл.;р-н Корюківський;"N 51° 49’ 20""";"E 32° 42’ 30"""
Ф-10124;Макаровщина;Makarovshchyna;урочище;Чернігівська обл.;р-н Сосницький;"N 51° 55’ 50""";"E 32° 52’ 30"""
Ф-10141;Шаболтасівськй Ліс;Shaboltasivskyi Lis;урочище;Чернігівська обл.;р-н Сосницький;"N 51° 49’ 30""";"E 32° 51’ 0"""
Ф-10166;Гарбузовщина;Harbuzovshchyna;урочище;Чернігівська обл.;р-н Сосницький;"N 51° 47’ 45""";"E 32° 43’ 40"""
Ф-10168;Степановщина;Stepanovshchyna;урочище;Чернігівська обл.;р-н Сосницький;"N 51° 46’ 37""";"E 32° 38’ 40"""
Ф-10171;Зеленковщина;Zelenkovshchyna;урочище;Чернігівська обл.;р-н Сосницький;"N 51° 45’ 56""";"E 32° 43’ 49"""
Ф-10174;Топило;Topylo;урочище;Чернігівська обл.;р-н Сосницький;"N 51° 41’ 0""";"E 32° 36’ 0"""
Ф-10177;Бабка;Babka;урочище;Чернігівська обл.;р-н Сосницький;"N 51° 40’ 50""";"E 32° 31’ 32"""
Ф-10178;Лосинци;Losyntsy;урочище;Чернігівська обл.;р-н Сосницький;"N 51° 40’ 45""";"E 32° 39’ 51"""
Ф-10183;Ховтунове;Khovtunove;урочище;Чернігівська обл.;р-н Коропський;"N 51° 45’ 0""";"E 32° 54’ 20"""
Ф-10184;Осьмаківські Дачі;Osmakivski Dachi;урочище;Чернігівська обл.;р-н Коропський;"N 51° 42’ 35""";"E 32° 43’ 55"""
Ф-10186;Ведмеже;Vedmezhe;урочище;Чернігівська обл.;р-н Коропський;"N 51° 41’ 35""";"E 32° 56’ 20"""
Ф-10187;Максимовщина;Maksymovshchyna;урочище;Чернігівська обл.;р-н Коропський;"N 51° 41’ 0""";"E 32° 58’ 45"""
Ф-10188;Євреївщина;Yevreivshchyna;урочище;Чернігівська обл.;р-н Коропський;"N 51° 40’ 20""";"E 32° 43’ 30"""
Ф-10190;Оболонська Дача;Obolonska Dacha;урочище;Чернігівська обл.;р-н Коропський;"N 51° 40’ 40""";"E 32° 48’ 20"""
Ф-10221;Дурновська Дача;Durnovska Dacha;урочище;Чернігівська обл.;р-н Ріпкинський;"N 51° 38’ 45""";"E 30° 40’ 0"""
Ф-10224;Дурняки;Durniaky;урочище;Чернігівська обл.;р-н Ріпкинський;"N 51° 39’ 40""";"E 30° 38’ 53"""
Ф-10225;Греків Хвойник;Hrekiv Khvoinyk;урочище;Чернігівська обл.;р-н Ріпкинський;"N 51° 35’ 55""";"E 30° 38’ 0"""
Ф-10227;Руднянська Дача;Rudnianska Dacha;урочище;Чернігівська обл.;р-н Ріпкинський;"N 51° 36’ 5""";"E 30° 45’ 4"""
