Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-10001;Байрак;Bairak;урочище;Харківська обл.;р-н Краснокутський;"N 49° 51’ 25""";"E 35° 7’ 11"""
Ф-10003;Хмільове;Khmilove;урочище;Харківська обл.;р-н Коломацький;"N 49° 54’ 30""";"E 35° 22’ 20"""
Ф-10005;Лан;Lan;урочище;Харківська обл.;р-н Коломацький;"N 49° 52’ 0""";"E 35° 18’ 0"""
Ф-10007;Крашаницине;Krashanytsyne;урочище;Харківська обл.;р-н Коломацький;"N 49° 50’ 10""";"E 35° 26’ 30"""
Ф-10027;Куцівка;Kutsivka;урочище;Харківська обл.;р-н Коломацький;"N 49° 46’ 42""";"E 35° 17’ 50"""
Ф-10030;Молодецьке;Molodetske;урочище;Харківська обл.;р-н Вовчанський;"N 49° 46’ 40""";"E 35° 29’ 0"""
Ф-10032;Кругле;Kruhle;урочище;Харківська обл.;р-н Коломацький;"N 49° 44’ 11""";"E 35° 20’ 30"""
Ф-10041;Дігтярка;Dihtiarka;урочище;Харківська обл.;р-н Вовчанський;"N 49° 44’ 25""";"E 35° 24’ 0"""
Ф-10063;Лахтина;Lakhtyna;урочище;Харківська обл.;р-н Харківський;"N 49° 54’ 30""";"E 35° 58’ 50"""
Ф-10067;Пожари;Pozhary;урочище;Харківська обл.;р-н Харківський;"N 49° 53’ 50""";"E 35° 56’ 20"""
Ф-10073;Дерезувате;Derezuvate;урочище;Харківська обл.;р-н Харківський;"N 49° 53’ 50""";"E 35° 59’ 10"""
Ф-10080;Довгий Яр;Dovhyi Yar;урочище;Харківська обл.;р-н Вовчанський;"N 49° 52’ 20""";"E 35° 47’ 25"""
Ф-10084;Городище;Horodyshche;урочище;Харківська обл.;р-н Вовчанський;"N 49° 52’ 40""";"E 35° 50’ 42"""
Ф-10086;Капонівка;Kaponivka;урочище;Харківська обл.;"р-н Нововодолазький , р-н
Харківський";"N 49° 50’ 55""";"E 35° 59’ 10"""
