Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-4215;Боршутин;Borshutyn;гора;Луганська обл.;р-н Верховинський;"N 47° 53’ 50""";"E 24° 40’ 35"""
Ф-40483;Сухий;Sukhyi;ліс;Луганська обл.;р-н Сватівський;"N 49° 25’ 4""";"E 37° 53’ 1"""
Ф-39810;Розсоковитий;Rozsokovytyi;ліс;Луганська обл.;р-н Кремінський;"N 49° 14’ 23""";"E 37° 53’ 52"""
Ф-7472;Стадний Яр;Stadnyi Yar;балка;Луганська обл.;р-н Кремінський;"N 49° 14’ 40""";"E 37° 53’ 9"""
Ф-40333;Західний;Zakhidnyi;ліс;Луганська обл.;р-н Кремінський;"N 49° 13’ 48""";"E 37° 54’ 1"""
Ф-9561;Староолександрівка;Starooleksandrivka;урочище;Луганська обл., Харківська обл.;;"N 49° 23’ 30""";"E 37° 54’ 40"""
Ф-40334;Нескоромний;Neskoromnyi;ліс;Луганська обл.;р-н Кремінський;"N 49° 16’ 17""";"E 37° 55’ 13"""
Ф-40489;Жолобки;Zholobky;ліс;Луганська обл.;р-н Сватівський;"N 49° 21’ 28""";"E 37° 55’ 16"""
Ф-40838;Щепний;Shchepnyi;ліс;Луганська обл.;р-н Кремінський;"N 49° 12’ 53""";"E 37° 55’ 23"""
Ф-7473;Ровчаки;Rovchaky;балка;Луганська обл.;р-н Кремінський;"N 49° 11’ 0""";"E 37° 55’ 32"""
Ф-40843;Войтенків;Voitenkiv;ліс;Луганська обл.;р-н Кремінський;"N 49° 12’ 33""";"E 37° 55’ 44"""
Ф-40840;Ломуватий;Lomuvatyi;ліс;Луганська обл.;р-н Кремінський;"N 49° 15’ 31""";"E 37° 57’ 0"""
Ф-9563;Нижньоєгорівка;Nyzhnoiehorivka;урочище;Луганська обл.;р-н Сватівський;"N 49° 19’ 15""";"E 37° 57’ 0"""
Ф-40997;Вербин;Verbyn;ліс;Луганська обл.;р-н Кремінський;"N 49° 12’ 1""";"E 37° 57’ 20"""
Ф-40638;Попів;Popiv;ліс;Луганська обл.;р-н Сватівський;"N 49° 32’ 51""";"E 37° 57’ 25"""
Ф-40487;Попова;Popova;ліс;Луганська обл.;р-н Сватівський;"N 49° 26’ 22""";"E 37° 57’ 31"""
Ф-17043;Борове;Borove;урочище;Луганська обл.;р-н Кремінський;"N 49° 16’ 32""";"E 37° 58’ 2"""
Ф-25347;Мирна Долина;Myrna Dolyna;урочище;Луганська обл.;р-н Сватівський;"N 49° 33’ 42""";"E 37° 58’ 21"""
Ф-40567;Західний;Zakhidnyi;ліс;Луганська обл.;р-н Сватівський;"N 49° 24’ 52""";"E 37° 58’ 37"""
Ф-40634;Круглий;Kruhlyi;ліс;Луганська обл.;р-н Сватівський;"N 49° 32’ 38""";"E 37° 58’ 47"""
Ф-656;Текуч;Tekuch;річка, що пересихає;Луганська обл.;;"N 49° 12’ 18""";"E 37° 58’ 49"""
Ф-29130;Ольгівка;Olhivka;урочище;Луганська обл.;р-н Кремінський;"N 49° 15’ 42""";"E 37° 59’ 12"""
Ф-40846;Великий;Velykyi;ліс;Луганська обл.;р-н Сватівський;"N 49° 18’ 36""";"E 37° 59’ 16"""
Ф-6618;Жабин Яр;Zhabyn Yar;балка;Луганська обл.;р-н Сватівський;"N 49° 29’ 14""";"E 37° 59’ 17"""
Ф-17859;Валодарівка;Valodarivka;урочище;Луганська обл.;р-н Сватівський;"N 49° 23’ 34""";"E 37° 59’ 4"""
Ф-30188;Силкин Яр;Sylkyn Yar;балка;Луганська обл.;р-н Троїцький;"N 49° 45’ 29""";"E 38° 0’ 55"""
Ф-8783;Одарівка;Odarivka;урочище;Луганська обл.;р-н Троїцький;"N 49° 46’ 0""";"E 38° 1’ 10"""
Ф-542;Уразова;Urazova;річка;Луганська обл.;;"N 50° 4’ 40""";"E 38° 1’ 10"""
Ф-17531;Грузинівка;Hruzynivka;балка;Луганська обл.;р-н Троїцький;"N 49° 43’ 17""";"E 38° 1’ 15"""
Ф-35424;Топчіївська;Topchiivska;балка;Луганська обл.;р-н Троїцький;"N 49° 42’ 43""";"E 38° 1’ 16"""
Ф-18050;Гриценків Яр;Hrytsenkiv Yar;балка;Луганська обл.;р-н Сватівський;"N 49° 42’ 2""";"E 38° 1’ 30"""
Ф-7437;Журавка;Zhuravka;балка;Луганська обл.;р-н Кремінський;"N 49° 8’ 58""";"E 38° 1’ 33"""
Ф-17281;Гончарівський Яр;Honcharivskyi Yar;балка;Луганська обл.;р-н Троїцький;"N 49° 45’ 36""";"E 38° 1’ 40"""
Ф-26450;Лавриків Яр;Lavrykiv Yar;балка;Луганська обл.;р-н Сватівський;"N 49° 22’ 17""";"E 38° 1’ 42"""
Ф-9022;Новомар'ївка;Novomarivka;урочище;Луганська обл.;р-н Сватівський;"N 49° 34’ 30""";"E 38° 1’ 50"""
Ф-40486;Росоховатий;Rosokhovatyi;ліс;Луганська обл.;р-н Сватівський;"N 49° 40’ 26""";"E 38° 10’ 0"""
