Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-11814;Стародубове;Starodubove;урочище;Сумська обл.;р-н Середино-Будський;"N 52° 14’ 30""";"E 33° 41’ 0"""
Ф-11864;Вільниця;Vilnytsia;урочище;Сумська обл.;р-н Середино-Будський;"N 52° 13’ 40""";"E 33° 33’ 40"""
Ф-11866;Дуболісся;Dubolissia;урочище;Сумська обл.;р-н Середино-Будський;"N 52° 13’ 0""";"E 33° 48’ 0"""
Ф-11869;Велике Болото;Velyke Boloto;урочище;Сумська обл.;р-н Середино-Будський;"N 52° 13’ 0""";"E 33° 31’ 50"""
Ф-11872;Ясна Поляна;Yasna Poliana;урочище;Сумська обл.;р-н Середино-Будський;"N 52° 12’ 0""";"E 33° 45’ 50"""
Ф-11874;Липів Ріг;Lypiv Rih;урочище;Сумська обл.;р-н Середино-Будський;"N 52° 11’ 55""";"E 33° 58’ 40"""
Ф-11875;Михайлівщина;Myhailivshchyna;урочище;Сумська обл.;р-н Середино-Будський;"N 52° 11’ 28""";"E 33° 40’ 30"""
Ф-11876;Швайківщина;Shvaikivshchyna;урочище;Сумська обл.;р-н Середино-Будський;"N 52° 11’ 48""";"E 33° 43’ 30"""
Ф-11902;Дібрівне;Dibrivne;урочище;Сумська обл.;р-н Ямпільський;"N 52° 6’ 30""";"E 33° 47’ 0"""
Ф-11913;Махове;Makhove;урочище;Сумська обл.;р-н Середино-Будський;"N 52° 5’ 40""";"E 33° 51’ 10"""
Ф-11916;Новопокровське;Novopokrovske;урочище;Сумська обл.;р-н Ямпільський;"N 52° 3’ 40""";"E 33° 47’ 30"""
Ф-11917;Дубровне;Dubrovne;урочище;Сумська обл.;р-н Ямпільський;"N 52° 2’ 0""";"E 33° 34’ 220"""
Ф-11926;Редьків Бір;Redkiv Bir;урочище;Сумська обл.;р-н Шосткинський;"N 51° 57’ 30""";"E 33° 26’ 53"""
Ф-11954;Кіровська Дача;Kirovska Dacha;урочище;Сумська обл.;р-н Шосткинський;"N 51° 55’ 26""";"E 33° 28’ 30"""
Ф-11956;Милютин Ліс;Myliutyn Lis;урочище;Сумська обл.;р-н Шосткинський;"N 51° 52’ 45""";"E 33° 24’ 30"""
Ф-11958;Глибокий Колодязь;Hlybokyi Kolodiaz;урочище;Сумська обл.;р-н Шосткинський;"N 51° 48’ 50""";"E 33° 9’ 30"""
Ф-11960;Великий Бір;Velykyi Bir;урочище;Сумська обл.;р-н Шосткинський;"N 51° 49’ 20""";"E 33° 11’ 50"""
Ф-11964;В'юнище;Viunyshche;урочище;Сумська обл.;р-н Шосткинський;"N 51° 47’ 50""";"E 33° 23’ 41"""
Ф-11966;Велике Болото;Velyke Boloto;урочище;Сумська обл.;р-н Шосткинський;"N 51° 47’ 40""";"E 33° 16’ 20"""
Ф-11967;Ситників Клин;Sytnykiv Klyn;урочище;Сумська обл.;р-н Ямпільський;"N 51° 59’ 40""";"E 33° 38’ 40"""
Ф-11970;Кремлянська Дача;Kremlianska Dacha;урочище;Сумська обл.;р-н Ямпільський;"N 51° 59’ 30""";"E 33° 48’ 10"""
Ф-11973;Хуторище;Khutoryshche;урочище;Сумська обл.;р-н Шосткинський;"N 51° 58’ 55""";"E 33° 32’ 18"""
Ф-11975;Криві Річки;Kryvi Richky;урочище;Сумська обл.;р-н Ямпільський;"N 51° 58’ 48""";"E 33° 58’ 40"""
Ф-11978;Пурисів Зруб;Purysiv Zrub;урочище;Сумська обл.;р-н Ямпільський;"N 51° 57’ 35""";"E 33° 40’ 0"""
