Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-10011	Широка	Shyroka	балка	Дніпропетровська обл.	р-н Новомосковський	"N 48° 31’ 25"""	"E 35° 30’ 15"""
Ф-10018	Полущина	Polushchyna	балка	Дніпропетровська обл.	р-н Новомосковський	"N 48° 32’ 25"""	"E 35° 25’ 35"""
Ф-10024	Глиняна	Hlyniana	балка	Дніпропетровська обл.	р-н Синельниківський	"N 48° 31’ 20"""	"E 35° 23’ 30"""
Ф-10028	Ткачева	Tkacheva	балка	Дніпропетровська обл.	р-н Синельниківський	"N 48° 27’ 30"""	"E 35° 24’ 5"""
Ф-10033	Чернеча	Chernecha	балка	Дніпропетровська обл.	р-н Синельниківський	"N 48° 28’ 47"""	"E 35° 16’ 40"""
Ф-10046	Осипова	Osypova	балка	Дніпропетровська обл.	р-н Дніпропетровський	"N 48° 27’ 8"""	"E 35° 17’ 12"""
Ф-10052	Береснювата	Beresniuvata	балка	Дніпропетровська обл.	р-н Новомосковський	"N 48° 25’ 52"""	"E 35° 19’ 34"""
Ф-1006	Каховське	Kakhovske	водосховище	"Дніпропетровська обл., Херсонська обл.,
Запорізька обл."		"N 47° 29’ 25"""	"E 34° 15’ 40"""
Ф-10061	Широка	Styroka	балка	Дніпропетровська обл.	р-н Синельниківський	"N 48° 23’ 47"""	"E 35° 25’ 0"""
Ф-10069	Широка	Shyroka	балка	Дніпропетровська обл.	р-н Синельниківський	"N 48° 20’ 33"""	"E 35° 23’ 50"""
Ф-10076	Попасна	popasna	балка	Дніпропетровська обл.	р-н Дніпропетровський	"N 48° 23’ 50"""	"E 35° 11’ 35"""
Ф-1008	Томаківка	Tomakivka	річка	Дніпропетровська обл., Запорізька обл.		"N 47° 37’ 50"""	"E 34° 35’ 40"""
Ф-10090	Попова	Popova	балка	Дніпропетровська обл.	р-н Дніпропетровський	"N 48° 22’ 25"""	"E 35° 13’ 55"""
Ф-10092	Пасіка	Pasika	балка	Дніпропетровська обл.	р-н Дніпропетровський	"N 48° 20’ 14"""	"E 35° 13’ 30"""
Ф-1010	Кам'янка	Kamianka	річка	Дніпропетровська обл.		"N 47° 58’ 30"""	"E 36° 32’ 15"""
Ф-10136	Розсолувата	Rozsoluvata	балка	Дніпропетровська обл.	р-н Дніпропетровський	"N 48° 23’ 53"""	"E 34° 41’ 55"""
Ф-10139	Кирпична	Kyrpychna	балка	Дніпропетровська обл.	р-н Дніпропетровський	"N 48° 20’ 37"""	"E 34° 51’ 10"""
Ф-10142	Бузинувата	Buzynuvata	балка	Дніпропетровська обл.	р-н Дніпропетровський	"N 48° 22’ 28"""	"E 34° 56’ 35"""
Ф-10146	Мамаєва	Mamaieva	балка	Дніпропетровська обл.	р-н Верхньодніпровський	"N 48° 39’ 24"""	"E 34° 4’ 5"""
Ф-10159	Широка	Shyroka	балка	Дніпропетровська обл.	р-н Верхньодніпровський	"N 48° 35’ 20"""	"E 34° 2’ 25"""
Ф-10160	Чаплинська	Chaplynska	балка	Дніпропетровська обл.	р-н Верхньодніпровський	"N 48° 36’ 26"""	"E 34° 7’ 48"""
Ф-10162	Самсонівська	Samsonivska	балка	Дніпропетровська обл.	р-н Верхньодніпровський	"N 48° 37’ 46"""	"E 34° 14’ 47"""
Ф-10167	Стюща	Stiushcha	балка	Дніпропетровська обл.	р-н Верхньодніпровський	"N 48° 37’ 45"""	"E 34° 14’ 46"""
Ф-10170	Одойкова	Odoikova	балка	Дніпропетровська обл.	р-н Верхньодніпровський	"N 48° 33’ 18"""	"E 34° 8’ 2"""
Ф-10180	Рибкіна	Rybkina	балка	Дніпропетровська обл.	р-н Верхньодніпровський	"N 48° 31’ 4"""	"E 34° 10’ 25"""
Ф-10182	Сербіна	Serbina	балка	Дніпропетровська обл.	р-н Верхньодніпровський	"N 48° 29’ 26"""	"E 34° 11’ 15"""
Ф-10193	Широка	Shyroka	балка	Дніпропетровська обл.	р-н Криничанський	"N 48° 24’ 10"""	"E 34° 3’ 17"""
Ф-10196	Вовча	Vovcha	балка	Дніпропетровська обл.	р-н Криничанський	"N 48° 24’ 50"""	"E 34° 8’ 45"""
Ф-10233	Слиницька	Slynytska	балка	Дніпропетровська обл.	р-н Покровський	"N 47° 58’ 53"""	"E 36° 6’ 30"""
Ф-10235	Зайцева	Zaitseva	балка	Дніпропетровська обл.	р-н Покровський	"N 47° 52’ 48"""	"E 36° 8’ 30"""
Ф-10236	Криничувата	Krynychuvata	балка	Дніпропетровська обл.	р-н Покровський	"N 47° 51’ 44"""	"E 36° 9’ 15"""
Ф-10241	Широкая	Shyroka	балка	Дніпропетровська обл.	р-н Покровський	"N 47° 51’ 22"""	"E 36° 9’ 31"""
Ф-10246	Злодійка	Zlodiika	балка	Дніпропетровська обл.	р-н Покровський	"N 47° 59’ 8"""	"E 36° 21’ 30"""
Ф-10247	Ляшева	Liasheva	балка	Дніпропетровська обл.	р-н Покровський	"N 47° 58’ 25"""	"E 36° 24’ 23"""
Ф-10249	Молодецька	Molodetska	балка	Дніпропетровська обл.	р-н Покровський	"N 47° 59’ 15"""	"E 36° 27’ 5"""
Ф-10250	Скотовата	Skotovata	балка	Дніпропетровська обл.	р-н Покровський	"N 47° 56’ 20"""	"E 36° 25’ 42"""
Ф-10251	Гадюча	Hadiucha	балка	Дніпропетровська обл.	р-н Покровський	"N 47° 54’ 37"""	"E 36° 13’ 10"""
Ф-10257	Вербова	Verbova	балка	Дніпропетровська обл.	р-н Покровський	"N 47° 52’ 50"""	"E 36° 17’ 5"""
Ф-10258	Крута	Kruta	балка	Дніпропетровська обл.	р-н Покровський	"N 47° 52’ 30"""	"E 36° 20’ 35"""
Ф-10261	Калинова	Kalynova	балка	Дніпропетровська обл.	р-н Покровський	"N 47° 51’ 50"""	"E 36° 24’ 25"""
Ф-10269	П'яна	Piana	балка	Дніпропетровська обл.	р-н Покровський	"N 47° 59’ 42"""	"E 36° 31’ 12"""
Ф-10273	Кисла	Kysla	балка	Дніпропетровська обл.	р-н Верхньодніпровський	"N 48° 51’ 10"""	"E 33° 55’ 40"""
Ф-10277	Глибока	Hlyboka	балка	Дніпропетровська обл.	р-н Верхньодніпровський	"N 48° 48’ 33"""	"E 33° 53’ 15"""
Ф-10289	Грабовий Ліс	Hrabovyi Lis	балка	Дніпропетровська обл.	"р-н Верхньодніпровський, р-н
П'ятихатський"	"N 48° 44’ 55"""	"E 33° 55’ 10"""
