Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-13790	Крива коса	Kryva kosa	коса	Донецька обл.		"N 47° 2’ 21"""	"E 38° 6’ 44"""
Ф-13793	Ляпіна	Liapina	острів	Донецька обл.		"N 47° 4’ 39"""	"E 37° 40’ 59"""
Ф-13795	Білосарайська коса	Bilosaraiska kosa	коса	Донецька обл.		"N 46° 53’ 6"""	"E 37° 19’ 22"""
Ф-14975	Могила-Довга	Mohyla-Dovha	курган	Донецька обл.	Старобешівський р-н	"N 47° 37’ 5"""	"E 37° 58’ 18"""
Ф-14976	Могила-Чорна	Mohyla-Chorna	курган	Донецька обл.	Старобешівський р-н	"N 47° 37’ 20"""	"E 37° 53’ 59"""
Ф-14977	Могила-Полкова	Mohyla-Polkova	курган	Донецька обл.	Волноваський р-н	"N 47° 23’ 30"""	"E 37° 27’ 50"""
Ф-14978	Могила-Дюр-Маяк	Mohyla-Diur-maiak	курган	Донецька обл.	Волноваський р-н	"N 47° 31’ 3"""	"E 37° 46’ 12"""
Ф-14979	Могила-Чумацька	Mohyla-Chumatska	курган	Донецька обл.	Волноваський р-н	"N 47° 37’ 40"""	"E 37° 46’ 50"""
Ф-14980	Могила-Харгалик	Mohyla-Kharhalyk	курган	Донецька обл.	Волноваський р-н	"N 47° 25’ 14"""	"E 37° 45’ 44"""
Ф-14981	Гуляєва	Huliaieva	гора	Донецька обл.	Старобешівський р-н	"N 47° 39’ 41"""	"E 38° 15’ 5"""
Ф-14982	Могила-Старий Крим	Mohyla-Staryi Krym	курган	Донецька обл.	Нікольський р-н	"N 47° 13’ 13"""	"E 37° 26’ 32"""
Ф-14983	Могила-Кара-Оба	Mohyla-Kara-oba	курган	Донецька обл.	Великоновосілківський р-н	"N 47° 54’ 50"""	"E 37° 4’ 3"""
Ф-14984	Холодний Бугор	Kholodnyi Buhor	курган	Донецька обл.	Амвросіївський р-н	"N 47° 56’ 15"""	"E 38° 21’ 10"""
Ф-15056	Богдан	Bohdan	гора	Донецька обл.	Нікольський р-н	"N 47° 10’ 14"""	"E 36° 55’ 33"""
Ф-15707	Абрикосове	Abrykosove	урочище	Донецька обл.	р-н Старобешівський	"N 47° 31’ 31"""	"E 38° 0’ 38"""
Ф-15876	Аджи-Павлу	Adzhy-Pavlu	балка	Донецька обл.	р-н Волноваський	"N 47° 29’ 45"""	"E 37° 48’ 29"""
Ф-15929	Анадольська	Anadolska	балка	Донецька обл.	р-н Волноваський	"N 47° 26’ 6"""	"E 37° 36’ 56"""
Ф-15961	Бабай-Тарама	Babai-Tarama	балка	Донецька обл.	р-н Волноваський	"N 47° 26’ 32"""	"E 37° 47’ 58"""
Ф-15965	Бабакова	Babakova	балка	Донецька обл.	р-н Бойківський	"N 47° 26’ 51"""	"E 38° 3’ 51"""
Ф-15966	Бабакова	Babakova	балка	Донецька обл.	р-н Амвросіївський	"N 47° 46’ 8"""	"E 38° 23’ 26"""
Ф-15967	Бабакова	Babakova	балка	Донецька обл.	р-н Олександрівський	"N 48° 47’ 37"""	"E 37° 5’ 7"""
Ф-16005	Бадери	Badery	урочище	Донецька обл.	р-н Амвросіївський	"N 47° 52’ 9"""	"E 38° 9’ 30"""
Ф-16006	Бадери	Badery	балка	Донецька обл.	р-н Амвросіївський	"N 47° 52’ 19"""	"E 38° 8’ 48"""
Ф-16045	Армянська	Armianska	балка	Донецька обл.	Сніжнянська міськрада	"N 47° 58’ 38"""	"E 38° 50’ 17"""
Ф-16083	Ах-Таш	Akh-Tash	балка	Донецька обл.	р-н Волноваський	"N 47° 33’ 22"""	"E 37° 47’ 37"""
Ф-16085	Ач-Пал-Тамара	Ach-Pal-tamara	балка	Донецька обл.	р-н Волноваський	"N 47° 30’ 17"""	"E 37° 46’ 52"""
Ф-16102	Барабар-Тамара	Barabar-Tamara	балка	Донецька обл.	р-н Бойківський	"N 47° 31’ 30"""	"E 37° 50’ 44"""
Ф-16113	Байрачек	Bairachek	балка	Донецька обл.	р-н Бахмутський	"N 48° 15’ 45"""	"E 38° 24’ 11"""
Ф-16140	Баліна	Balina	балка	Донецька обл.	р-н Волноваський	"N 47° 39’ 41"""	"E 37° 42’ 21"""
Ф-16176	Баранів Яр	Baraniv Yar	балка	Донецька обл.	р-н Амвросіївський	"N 47° 40’ 34"""	"E 38° 35’ 29"""
Ф-16193	Байн-Даг	Bain-Dah	урочище	Донецька обл.	р-н Волноваський	"N 47° 34’ 30"""	"E 37° 45’ 40"""
Ф-16218	Баєчівський Яр	Baiechivskyi Yar	балка	Донецька обл.	р-н Бахмутський	"N 48° 42’ 51"""	"E 38° 9’ 21"""
Ф-16241	Байиндаги	Baiyndahy	балка	Донецька обл.	р-н Волноваський	"N 47° 34’ 24"""	"E 37° 44’ 40"""
Ф-16306	Бездіткова	Bezditkova	балка	Донецька обл.	Сніжнянська міськрада	"N 47° 56’ 35"""	"E 38° 51’ 4"""
Ф-16309	Безіменна	Bezimenna	балка	Донецька обл.	р-н Новоазовський	"N 47° 8’ 6"""	"E 37° 57’ 9"""
Ф-16332	Березина	Berezyna	балка	Донецька обл.	р-н Добропільський	"N 48° 21’ 19"""	"E 37° 0’ 35"""
Ф-16337	Баранцевий Яр	Barantsevyi Yar	балка	Донецька обл.	р-н Добропільський	"N 48° 27’ 23"""	"E 36° 54’ 37"""
Ф-16360	Барсукова	Barsukova	балка	Донецька обл.	р-н Волноваський	"N 47° 40’ 33"""	"E 37° 33’ 26"""
Ф-16441	Березова	Berezova	балка	Донецька обл.	р-н Бахмутський	"N 48° 21’ 53"""	"E 38° 23’ 29"""
Ф-16475	Берестова	Berestova	балка	Донецька обл.	р-н Мар'їнський	"N 47° 47’ 25"""	"E 37° 11’ 4"""
Ф-16476	Берестова	Berestova	балка	Донецька обл.	р-н Добропільський	"N 48° 25’ 46"""	"E 37° 5’ 16"""
Ф-16478	Берестова	Berestova	балка	Донецька обл.	р-н Костянтинівський	"N 48° 31’ 23"""	"E 37° 30’ 15"""
Ф-16479	Берестова	Berestova	балка	Донецька обл.	р-н Покровський	"N 48° 20’ 45"""	"E 36° 48’ 56"""
Ф-16491	Берестовата	Berestovata	балка	Донецька обл.	Краматорська міськрада	"N 48° 43’ 38"""	"E 37° 27’ 28"""
Ф-16501	Берестяний Яр	Berestianyi Yar	балка	Донецька обл.	р-н Лиманський	"N 49° 6’ 16"""	"E 38° 1’ 29"""
Ф-16572	Бирюча	Byriucha	балка	Донецька обл.	р-н Бойківський	"N 47° 28’ 21"""	"E 38° 9’ 59"""
Ф-16573	Бирюча	Byriucha	балка	Донецька обл.	р-н Шахтарський	"N 47° 59’ 27"""	"E 38° 36’ 33"""
Ф-16574	Бирюча	Byriucha	балка	Донецька обл.	р-н Волноваський	"N 47° 40’ 37"""	"E 37° 32’ 7"""
Ф-16599	Бичків Яр	Bychkiv Yar	балка	Донецька обл.	р-н Бахмутський	"N 48° 38’ 1"""	"E 38° 5’ 33"""
Ф-16618	Берестова	Berestova	балка	Донецька обл.	р-н Великоновосілківський	"N 47° 53’ 38"""	"E 36° 38’ 17"""
Ф-16619	Берестова	Berestova	балка	Донецька обл.	р-н Великоновосілківський	"N 47° 51’ 48"""	"E 36° 43’ 53"""
Ф-16632	Білий Яр	Bilyi Yar	балка	Донецька обл.	р-н Олександрівський	"N 48° 40’ 39"""	"E 37° 0’ 10"""
Ф-16665	Бершевський Яр	Bershevskyi Yar	балка	Донецька обл.	р-н Бахмутський	"N 48° 30’ 49"""	"E 38° 6’ 41"""
Ф-16730	Богдан	Bohdan	гора	Донецька обл.	р-н Нікольський	"N 47° 10’ 14"""	"E 36° 55’ 33"""
Ф-16755	Біюк-Сас-Хулак	Biiuk-Sas-khulak	балка	Донецька обл.	р-н Бойківський	"N 47° 33’ 43"""	"E 37° 51’ 37"""
Ф-16797	Бішперовка	Bishperovka	балка	Донецька обл.	р-н Амвросіївський	"N 47° 46’ 21"""	"E 38° 47’ 27"""
Ф-16807	Біла	Bila	балка	Донецька обл.	р-н Амвросіївський	"N 47° 49’ 27"""	"E 38° 30’ 2"""
Ф-16977	Борисова	Borysova	балка	Донецька обл.	р-н Шахтарський	"N 47° 56’ 19"""	"E 38° 58’ 48"""
Ф-17018	Бугаєвка	Buhaievka	балка	Донецька обл.	р-н Амвросіївський	"N 47° 52’ 58"""	"E 38° 20’ 2"""
Ф-17019	Бугазька	Buhazka	балка	Донецька обл.	р-н Волноваський	"N 47° 38’ 54"""	"E 37° 35’ 0"""
Ф-17158	Громова	Hromova	балка	Донецька обл.	р-н Олександрівський	"N 48° 43’ 50"""	"E 37° 3’ 33"""
Ф-17191	Вербова	Verbova	балка	Донецька обл.	р-н Волноваський	"N 47° 19’ 29"""	"E 37° 44’ 20"""
Ф-17198	Гірки	Hirky	балка	Донецька обл.	р-н Добропільський	"N 48° 29’ 32"""	"E 36° 57’ 37"""
Ф-17200	Гірське	Hirske	урочище	Донецька обл.	р-н Костянтинівський	"N 48° 26’ 48"""	"E 37° 27’ 2"""
Ф-17214	Громова	Hromova	балка	Донецька обл.	р-н Шахтарський	"N 48° 8’ 31"""	"E 38° 13’ 23"""
Ф-17227	Дешева	Desheva	балка	Донецька обл.	р-н Волноваський	"N 47° 14’ 23"""	"E 37° 48’ 17"""
Ф-17236	Глиняна	Hlyniana	балка	Донецька обл.	р-н Мар'їнський	"N 47° 54’ 7"""	"E 37° 19’ 16"""
