Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-14539	Казарка	Kazarka	річка	Івано-Франківська обл.	р-н Рожнятівський	"N 0° 0’ 0"""	"E 0° 0’ 0"" "
Ф-34313	Ворохта-Путильське	Vorokhta-Putylske	гори	Івано-Франківська обл., Чернівецька обл.		"N 0° 0’ 0"""	"E 0° 0’ 0"" "
Ф-14458	Солоний	Solonyi	потік	Івано-Франківська обл.	р-н Надвірнянський	"N 48° 32’ 26"""	"E 24° 35’ 24"""
Ф-14447	Куратулець	Karatulets	потік	Івано-Франківська обл.		"N 46° 20’ 45"""	"E 24° 42’ 38"""
Ф-34290	Майданське низькогір'я	Maidanske nyzkohiria	гори	Івано-Франківська обл.		"N 46° 54’ 0"""	"E 24° 23’ 10"""
Ф-7289	Підзамчиське	Pidzamchyske	урочище	Івано-Франківська обл.	р-н Рогатинський	"N 47° 27’ 0"""	"E 24° 39’ 12"""
Ф-38475	Фата Банулуі	Fata Banului	перевал	Івано-Франківська обл.	р-н Верховинський	"N 47° 43’ 33"""	"E 24° 53’ 4"""
Ф-14376	Боєронка	Boieronka	потік	Івано-Франківська обл.	р-н Верховинський	"N 47° 44’ 10"""	"E 24° 54’ 25"""
Ф-36603	Гнатася	Hnatasia	полонина	Івано-Франківська обл.	р-н Верховинський	"N 47° 44’ 10"""	"E 24° 53’ 36"""
Ф-36601	Баюрівка	Baiurivka	урочище	Івано-Франківська обл.	р-н Верховинський	"N 47° 44’ 20"""	"E 24° 55’ 5"""
Ф-36602	Ґропа	Gropa	полонина	Івано-Франківська обл.	р-н Верховинський	"N 47° 44’ 21"""	"E 24° 53’ 45"""
Ф-37878	Чолакин	Cholakyn	гора	Івано-Франківська обл.	р-н Верховинський	"N 47° 44’ 42"""	"E 24° 54’ 25"""
Ф-4237	Гнатася	Hnatasia	гора	Івано-Франківська обл.	р-н Верховинський	"N 47° 44’ 48"""	"E 24° 53’ 0"""
