Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-13485	Лисий	Lysyi	острів	Херсонська обл.		"N 45° 55’ 6"""	"E 34° 46’ 38"""
Ф-13488	Комиші	Komyshi	острів	Херсонська обл.		"N 45° 56’ 6"""	"E 34° 45’ 27"""
Ф-13492	Верблюдка	Verbliudka	острів	Херсонська обл.		"N 45° 59’ 32"""	"E 34° 26’ 41"""
Ф-13496	Семенівський Кут	Semenivskyi Kut	півострів	Херсонська обл.		"N 46° 4’ 2"""	"E 34° 43’ 49"""
Ф-13497	Чонгарський	Chonharskyi	півострів	Херсонська обл.		"N 46° 3’ 20"""	"E 34° 30’ 32"""
Ф-13499	Кутара	Kutara	мис	Херсонська обл.		"N 46° 7’ 8"""	"E 34° 2’ 51"""
Ф-13503	Зеленовський	Zelenovskyi	острів	Херсонська обл.		"N 46° 10’ 51"""	"E 34° 8’ 29"""
Ф-13505	Чурюк	Churiuk	острів	Херсонська обл.		"N 46° 6’ 4"""	"E 34° 11’ 16"""
Ф-13511	Китай	Kytai	острів	Херсонська обл.		"N 46° 3’ 38"""	"E 34° 20’ 27"""
Ф-13513	Куюктук	Kuiuktuk	острів	Херсонська обл.		"N 46° 5’ 42"""	"E 34° 25’ 7"""
Ф-13516	Кізіярський	Kiziiarskyi	мис	Херсонська обл.		"N 46° 8’ 12"""	"E 35° 1’ 52"""
Ф-13521	Бирючий Острів	Byriuchyi Ostriv	коса	Херсонська обл.		"N 46° 7’ 51"""	"E 35° 6’ 27"""
Ф-13527	Мала коса	Mala Kosa	коса	Херсонська обл.		"N 46° 4’ 54"""	"E 33° 31’ 51"""
Ф-13529	Ад	Ad	півострів	Херсонська обл.		"N 46° 13’ 14"""	"E 33° 43’ 19"""
Ф-13531	Східний Ріг	Ckhidnyi Rih	півострів	Херсонська обл.		"N 46° 12’ 57"""	"E 33° 44’ 25"""
Ф-13539	Кумбатин	Kumbatyn	мис	Херсонська обл.		"N 46° 7’ 38"""	"E 33° 8’ 20"""
Ф-13543	Синя коса	Synia kosa	коса	Херсонська обл.		"N 46° 1’ 42"""	"E 33° 2’ 0"""
Ф-13559	Каланчакські	Kalanchakski	острови	Херсонська обл.		"N 46° 4’ 38"""	"E 33° 12’ 12"""
Ф-13561	Карадай	Karadai	півострів	Херсонська обл.		"N 46° 6’ 57"""	"E 33° 12’ 21"""
Ф-13564	Делгелтип	Delheltyp	мис	Херсонська обл.		"N 46° 6’ 26"""	"E 33° 3’ 2"""
Ф-13567	Устричні	Ustrychni	острови	Херсонська обл.		"N 46° 4’ 32"""	"E 33° 18’ 7"""
Ф-13570	Джарилгач	Dzharylhach	острів	Херсонська обл.		"N 46° 1’ 31"""	"E 32° 53’ 14"""
Ф-13577	Левкіна	Levkina	коса	Херсонська обл.		"N 46° 2’ 3"""	"E 32° 47’ 4"""
Ф-13578	Дурилова	Durylova	коса	Херсонська обл.		"N 46° 3’ 2"""	"E 32° 50’ 22"""
Ф-13580	Мілка коса	Milka kosa	коса	Херсонська обл.		"N 46° 3’ 33"""	"E 32° 51’ 59"""
Ф-13581	Глибока коса	Hlyboka kosa	коса	Херсонська обл.		"N 46° 2’ 44"""	"E 32° 56’ 35"""
Ф-13583	Медвежа	Medvezha	коса	Херсонська обл.		"N 46° 1’ 47"""	"E 32° 59’ 29"""
Ф-13585	Свиняча	Svyniacha	коса	Херсонська обл.		"N 46° 6’ 59"""	"E 32° 47’ 40"""
Ф-13590	Тендрівська Коса	Tendrivska Kosa	острів	Херсонська обл.		"N 46° 11’ 38"""	"E 31° 52’ 46"""
Ф-13596	Білі Кучугури	Bili Kuchuhury	коса	Херсонська обл.		"N 46° 14’ 36"""	"E 31° 39’ 2"""
Ф-13598	Майборорода	Maiboroda	острів	Херсонська обл.		"N 46° 13’ 4"""	"E 31° 44’ 43"""
Ф-13601	Смолений	Smolenyi	острів	Херсонська обл.		"N 46° 12’ 8"""	"E 31° 58’ 21"""
Ф-13604	Сибірські острови	Sybirski ostrovy	острови	Херсонська обл.		"N 46° 15’ 51"""	"E 31° 49’ 38"""
Ф-13606	Великий	Velykyi	мис	Херсонська обл.		"N 46° 15’ 58"""	"E 31° 46’ 54"""
Ф-13611	Середній	Serednii	мис	Херсонська обл.		"N 46° 17’ 52"""	"E 31° 45’ 27"""
Ф-13612	Орлов	Orlov	острів	Херсонська обл.		"N 46° 16’ 18"""	"E 31° 44’ 2"""
Ф-13613	Ягорлицький Кут	Yahorlytskyi Kut	півострів	Херсонська обл.		"N 46° 18’ 32"""	"E 31° 50’ 50"""
Ф-13614	Ягорлицькі	Yahorlytski	острови	Херсонська обл.		"N 46° 18’ 48"""	"E 31° 45’ 47"""
Ф-13624	Великий Потьомкін	Velykyi Potomkin	острів	Херсонська обл.		"N 46° 34’ 32"""	"E 32° 31’ 58"""
Ф-13626	Карантинний	Karantynnyi	острів	Херсонська обл.		"N 46° 36’ 10"""	"E 32° 30’ 44"""
Ф-13627	Круглик	Kruhlyk	острів	Херсонська обл.		"N 46° 35’ 58"""	"E 32° 36’ 50"""
Ф-13814	Бубликова	Bublykova	мис	Херсонська обл.		"N 46° 36’ 49"""	"E 32° 3’ 28"""
Ф-13816	Станілав	Stanislav	мис	Херсонська обл.		"N 46° 33’ 28"""	"E 32° 8’ 28"""
Ф-13817	Борщевий	Borshchevyi	острів	Херсонська обл.		"N 46° 33’ 14"""	"E 32° 23’ 4"""
Ф-13818	Білогрудий	Bilihrudyi	острів	Херсонська обл.		"N 46° 32’ 4"""	"E 32° 27’ 51"""
Ф-13820	Толока	Toloka	острів	Херсонська обл.		"N 46° 29’ 23"""	"E 32° 21’ 54"""
Ф-13823	Гапський	Hapskyi	острів	Херсонська обл.		"N 46° 29’ 43"""	"E 32° 21’ 18"""
Ф-13825	Великий Соколін	Velykyi Sokolin	острів	Херсонська обл.		"N 46° 29’ 50"""	"E 32° 16’ 37"""
Ф-13828	Бакайський	Bakaiskyi	острів	Херсонська обл.		"N 46° 30’ 28"""	"E 32° 19’ 1"""
Ф-13831	Великий	Velykyi	острів	Херсонська обл.		"N 46° 31’ 38"""	"E 32° 19’ 33"""
Ф-13835	Забіч	Zabich	острів	Херсонська обл.		"N 46° 32’ 40"""	"E 32° 18’ 56"""
Ф-13836	Тендер	Tender	острів	Херсонська обл.		"N 46° 28’ 56"""	"E 32° 16’ 47"""
Ф-13839	Янушев	Yanushev	острів	Херсонська обл.		"N 46° 29’ 51"""	"E 32° 9’ 46"""
Ф-13840	Вербки	Verbky	острови	Херсонська обл.		"N 46° 30’ 19"""	"E 32° 6’ 21"""
Ф-13841	Великий	Velykyi	острів	Херсонська обл.		"N 46° 23’ 51"""	"E 32° 2’ 40"""
Ф-13843	Кінський	Kinskyi	острів	Херсонська обл.		"N 46° 23’ 18"""	"E 32° 2’ 0"""
Ф-13925	Ушкальський	Ushkalskyi	мис	Херсонська обл.		"N 47° 25’ 27"""	"E 34° 8’ 58"""
Ф-13927	Бабине	Babyne	мис	Херсонська обл.		"N 47° 25’ 20"""	"E 34° 4’ 11"""
