Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-10	Цецилія	Tsetsyliia	річка	Київська обл.		"N 49° 23’ 10"""	"E 30° 24’ 35"""
Ф-11	Раківка	Rakivka	річка	Київська обл.		"N 50° 8’ 10"""	"E 30° 29’ 50"""
Ф-12	Бугаївка	Buhaivka	річка	Київська обл.		"N 50° 8’ 20"""	"E 30° 27’ 20"""
Ф-12349	Хорватка	Khorvatka	балка	Київська обл.	р-н Васильківський	"N 50° 8’ 10"""	"E 30° 19’ 45"""
Ф-12428	Писарська	Pysarska	гора	Київська обл.	р-н Бориспільський	"N 50° 11’ 20"""	"E 30° 56’ 25"""
Ф-12433	Конюшина	Koniushyna	балка	Київська обл.	р-н Обухівський	"N 50° 10’ 30"""	"E 30° 31’ 25"""
Ф-12457	Трьохмогилля	Trokhmohyllia	гора	Київська обл.	р-н Переяслав-Хмельницький	"N 50° 9’ 17"""	"E 31° 27’ 30"""
Ф-12469	Дібровка	Dibrovka	балка	Київська обл.	р-н Переяслав-Хмельницький	"N 50° 0’ 55"""	"E 31° 46’ 12"""
Ф-12487	Безіменна	Bezimenna	річка	Київська обл.		"N 49° 50’ 15"""	"E 30° 40’ 0"""
Ф-12519	Гадючий Яр	Hadyuchyy Yar	балка	Київська обл.	"р-н Рокитнянський, р-н
Миронівський"	"N 49° 44’ 30"""	"E 30° 42’ 30"""
Ф-12521	Вовчий Яр	Vovchyi Yar	балка	Київська обл.	р-н Рокитнянський	"N 49° 42’ 35"""	"E 30° 41’ 45"""
Ф-12529	Рєпіна	Riepina	балка	Київська обл.	р-н Кагарлицький	"N 49° 56’ 45"""	"E 31° 4’ 50"""
Ф-12543	Березова	Berezova	балка	Київська обл.	р-н Кагарлицький	"N 49° 56’ 30"""	"E 31° 11’ 0"""
Ф-12552	Дубравка	Dubravka	балка	Київська обл.	р-н Переяслав-Хмельницький	"N 49° 59’ 40"""	"E 31° 45’ 23"""
Ф-12567	Калита	Kalyta	балка	Київська обл.	р-н Переяслав-Хмельницький	"N 49° 58’ 55"""	"E 31° 52’ 0"""
