Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-14639	Коростівець	Korostivets	потік	Львівська обл.	р-н Сколівський	"N 49° 20’ 0"""	"E 23° 10’ 33"""
Ф-2365	Сян	Sian	річка	Львівська обл.		"N 50° 44’ 14"""	"E 21° 50’ 43"""
Ф-32521	Савинський Ліс	Savynskyi Lis	урочище	Львівська обл.	р-н Старосамбірський	"N 49° 31’ 48"""	"E 22° 39’ 48"""
Ф-26408	Лопушанка	Lopushanka	урочище	Львівська обл.	р-н Старосамбірський	"N 49° 30’ 28"""	"E 22° 41’ 30"""
Ф-31324	Смольниця	Smolnytsia	урочище	Львівська обл.	р-н Старосамбірський	"N 49° 28’ 57"""	"E 22° 42’ 30"""
Ф-14720	Балита	Balyta	гора	Львівська обл.	Турківський р-н	"N 49° 10’ 24"""	"E 22° 43’ 10"""
Ф-16139	Балита	Balyta	гора	Львівська обл.	р-н Турківський	"N 49° 10’ 24"""	"E 22° 43’ 10"""
Ф-12233	Катинський Ліс	Katynskyi Lis	урочище	Львівська обл.	р-н Старосамбірський	"N 49° 31’ 45"""	"E 22° 43’ 20"""
Ф-20724	Клуня	Klunia	урочище	Львівська обл.	р-н Турківський	"N 49° 13’ 59"""	"E 22° 43’ 29"""
Ф-1877	Рудавка	Rudavka	потік	Львівська обл.		"N 49° 28’ 35"""	"E 22° 43’ 40"""
Ф-14257	Воронюв	Voroniuv	гора	Львівська обл.	р-н Старосамбірський	"N 49° 29’ 28"""	"E 22° 43’ 40"""
Ф-14252	Воронюв	Voroniyv	гора	Львівська обл.	р-н Старосамбірський	"N 49° 29’ 26"""	"E 22° 43’ 42"""
Ф-14250	Кичера	Kychera	гора	Львівська обл.	р-н Старосамбірський	"N 49° 32’ 50"""	"E 22° 43’ 50"""
Ф-14919	Глинянка	Hlynianka	гора	Львівська обл.	Старосамбірський р-н	"N 49° 35’ 29"""	"E 22° 44’ 16"""
