Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-1000	Градешка	Hradeshka	озеро	Одеська обл.		"N 45° 20’ 20"""	"E 28° 32’ 10"""
Ф-10000	Бугай	Buhai	балка	Одеська обл.	р-н Фрунзівський	"N 47° 13’ 40"""	"E 29° 46’ 20"""
Ф-10004	Малороша	Malorosha	балка	Одеська обл.	р-н Фрунзівський	"N 47° 13’ 45"""	"E 29° 54’ 40"""
Ф-10010	Комарівська	Komarivska	балка	Одеська обл.	р-н Фрунзівський	"N 47° 12’ 34"""	"E 29° 34’ 50"""
Ф-1002	Карасулак	Karasulak	річка	Одеська обл.		"N 45° 30’ 50"""	"E 28° 39’ 30"""
Ф-10038	Великий Гладиш	Velykyi Hladysh	балка	Одеська обл.	р-н Фрунзівський	"N 47° 12’ 55"""	"E 29° 37’ 12"""
Ф-1004	Великий Катлабуг	Velykyi Katlabuh	річка	Одеська обл.		"N 45° 35’ 42"""	"E 28° 57’ 40"""
Ф-10043	Лекарова	Lekarova	балка	Одеська обл.	р-н Фрунзівський	"N 47° 12’ 20"""	"E 29° 40’ 45"""
Ф-10050	Погріб	Pohrib	балка	Одеська обл.	р-н Великомихайлівський	"N 47° 9’ 55"""	"E 29° 54’ 45"""
Ф-10057	Лиса	Lysa	гора	Одеська обл.	р-н Ширяївський	"N 47° 10’ 42"""	"E 29° 52’ 15"""
Ф-10059	Лисяча	Lysiacha	гора	Одеська обл.	р-н Великомихайлівський	"N 47° 8’ 35"""	"E 29° 40’ 0"""
Ф-10065	Палатні Корчі	Palatni Korchi	балка	Одеська обл.	р-н Великомихайлівський	"N 47° 7’ 15"""	"E 29° 40’ 20"""
Ф-10071	Фрасине	Frasyne	балка	Одеська обл.	р-н Великомихайлівський	"N 47° 7’ 50"""	"E 29° 43’ 40"""
Ф-10077	Комарівська	Komarivska	балка	Одеська обл.	р-н Великомихайлівський	"N 47° 6’ 30"""	"E 29° 36’ 20"""
Ф-10085	Водяна	Vodiana	балка	Одеська обл.	р-н Великомихайлівський	"N 47° 6’ 43"""	"E 29° 52’ 40"""
Ф-10093	Фрасине	Frasyne	балка	Одеська обл.	р-н Великомихайлівський	"N 47° 5’ 30"""	"E 29° 46’ 32"""
Ф-10100	Тятранська	Tyatranska	балка	Одеська обл.	р-н Великомихайлівський	"N 47° 3’ 55"""	"E 29° 54’ 15"""
Ф-1011	Катлабуг	Katlabuh	озеро	Одеська обл.		"N 45° 29’ 40"""	"E 28° 58’ 50"""
Ф-10114	Фонд	Fond	балка	Одеська обл.	р-н Великомихайлівський	"N 47° 1’ 40"""	"E 29° 56’ 25"""
Ф-10116	Юркова	Yurkova	балка	Одеська обл.	р-н Великомихайлівський	"N 47° 1’ 15"""	"E 29° 51’ 5"""
Ф-10121	Платонівська	Platonivska	балка	Одеська обл.	р-н Великомихайлівський	"N 47° 1’ 50"""	"E 29° 44’ 40"""
Ф-10126	Скидська	Skydska	балка	Одеська обл.	р-н Великомихайлівський	"N 47° 2’ 35"""	"E 29° 40’ 53"""
Ф-10127	Гострий Курган	Гострий Курган	балка	Одеська обл.	р-н Великомихайлівський	"N 47° 0’ 24"""	"E 29° 36’ 25"""
Ф-1013	Кислицький	Kyslytskyi	рукав	Одеська обл.		"N 45° 26’ 45"""	"E 29° 14’ 10"""
Ф-10133	Везнова	Veznova	балка	Одеська обл.	р-н Миколаївський	"N 47° 19’ 20"""	"E 30° 24’ 13"""
Ф-10144	Дубова	Dubova	балка	Одеська обл.	р-н Миколаївський	"N 47° 17’ 50"""	"E 30° 27’ 40"""
Ф-10147	Українка	Ukrayinka	балка	Одеська обл.	р-н Ширяївський	"N 47° 17’ 15"""	"E 30° 5’ 50"""
Ф-1016	Китай	Kytai	озеро	Одеська обл.		"N 45° 34’ 45"""	"E 29° 11’ 40"""
Ф-10164	Глибока	Hlyboka	балка	Одеська обл.	р-н Великомихайлівський	"N 47° 13’ 54"""	"E 30° 2’ 5"""
Ф-1019	Гасанська	Hasanska	затока	Одеська обл.		"N 45° 28’ 5"""	"E 29° 3’ 10"""
Ф-10191	Сухачевського	Sukhachevskoho	балка	Одеська обл.	р-н Великомихайлівський	"N 47° 12’ 24"""	"E 30° 6’ 40"""
Ф-10192	Тарасова	Tarasova	балка	Одеська обл.	р-н Великомихайлівський	"N 47° 12’ 33"""	"E 30° 2’ 30"""
Ф-10195	Новоградовська	Novohradovska	балка	Одеська обл.	р-н Ширяївський	"N 47° 12’ 50"""	"E 30° 13’ 25"""
Ф-10199	Таргар	Tarhar	балка	Одеська обл.	р-н Ширяївський	"N 47° 12’ 12"""	"E 30° 26’ 5"""
Ф-10200	Басовая	Basova	балка	Одеська обл.	р-н Іванівський	"N 47° 5’ 15"""	"E 30° 19’ 33"""
Ф-10205	Курсаківська	Kursakivska	балка	Одеська обл.	р-н Іванівський	"N 47° 3’ 5"""	"E 30° 25’ 35"""
Ф-1021	Дракуля	Drakulia	річка, що пересихає	Одеська обл.		"N 45° 31’ 50"""	"E 29° 28’ 40"""
Ф-10211	Малаховська	Malakhovska	балка	Одеська обл.	р-н Іванівський	"N 47° 0’ 15"""	"E 30° 21’ 45"""
Ф-10232	Шмаляна	Shmaliana	балка	Одеська обл.	р-н Березівський	"N 47° 18’ 15"""	"E 30° 43’ 20"""
Ф-10234	Сліпуха	Slipukha	балка	Одеська обл.	р-н Березівський	"N 47° 16’ 50"""	"E 30° 48’ 50"""
Ф-10242	Павлова	Pavlova	балка	Одеська обл.	р-н Березівський	"N 47° 15’ 35"""	"E 30° 33’ 40"""
Ф-10244	Дурний Хутір	Durnyi Khutir	балка	Одеська обл.	р-н Березівський	"N 47° 14’ 15"""	"E 30° 53’ 25"""
Ф-10248	Чигринська	Chyhrynska	балка	Одеська обл.	р-н Березівський	"N 47° 11’ 53"""	"E 30° 48’ 45"""
Ф-10252	Долина	Dolyna	балка	Одеська обл.	р-н Березівський	"N 47° 4’ 24"""	"E 30° 44’ 0"""
Ф-10255	Глибока	Hlyboka	балка	Одеська обл.	р-н Іванівський	"N 47° 1’ 5"""	"E 30° 35’ 20"""
Ф-1026	Степове Гирло	Stepove Hyrlo	рукав	Одеська обл.		"N 45° 26’ 10"""	"E 29° 15’ 35"""
Ф-10266	Фрунзе	Frunze	балка	Одеська обл.	р-н Березівський	"N 47° 10’ 25"""	"E 31° 3’ 20"""
Ф-10268	Фрунзе	Frunze	балка	Одеська обл.	р-н Березівський	"N 47° 9’ 43"""	"E 31° 5’ 30"""
Ф-10270	Царега	Tsareha	балка	Одеська обл.	р-н Березівський	"N 47° 7’ 50"""	"E 31° 12’ 50"""
Ф-10274	Костенкова	Kostenkova	балка	Одеська обл.	р-н Березівський	"N 47° 9’ 25"""	"E 31° 13’ 30"""
Ф-10278	Середня	Serednia	балка	Одеська обл.	р-н Березівський	"N 47° 3’ 55"""	"E 31° 5’ 55"""
Ф-1028	Грабовський лиман	Hrabovskyi lyman	лиман	Одеська обл.		"N 45° 33’ 13"""	"E 29° 29’ 33"""
Ф-10308	Журавльова	Zhuravlova	балка	Одеська обл.	р-н Ананьївський	"N 47° 3’ 25"""	"E 31° 4’ 45"""
Ф-10311	Фонтан	Fontan	балка	Одеська обл.	р-н Березівський	"N 47° 2’ 20"""	"E 31° 7’ 30"""
Ф-10316	Попів	Popiv	балка	Одеська обл.	р-н Березівський	"N 47° 1’ 40"""	"E 31° 6’ 0"""
Ф-10318	Сухинянська	Sukhynianska	балка	Одеська обл.	р-н Березівський	"N 47° 2’ 55"""	"E 31° 12’ 20"""
Ф-10342	Дундова	Dundova	балка	Одеська обл.	р-н Роздільнянський	"N 46° 50’ 45"""	"E 29° 54’ 10"""
Ф-10360	Свиняча	Svyniacha	балка	Одеська обл.	р-н Великомихайлівський	"N 46° 57’ 25"""	"E 30° 8’ 10"""
Ф-10362	Ротова	Rotova	балка	Одеська обл.	р-н Іванівський	"N 46° 57’ 45"""	"E 30° 24’ 45"""
Ф-10364	Наріжня	Narizhnia	балка	Одеська обл.	р-н Іванівський	"N 46° 55’ 35"""	"E 30° 26’ 25"""
Ф-10366	Макітра	Makitra	балка	Одеська обл.	р-н Роздільнянський	"N 46° 54’ 15"""	"E 30° 13’ 45"""
