Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-9039	Кирилівське	Kyrylivske	урочище	Полтавська обл.	р-н Пирятинський	"N 50° 18’ 41"""	"E 32° 10’ 21"""
Ф-39089	Перевод	Perevod	болото	Полтавська обл.	р-н Пирятинський	"N 50° 20’ 35"""	"E 32° 15’ 31"""
Ф-25320	Могила-Золота	Mohyla-Zolota	курган	Полтавська обл.	р-н Пирятинський	"N 50° 21’ 31"""	"E 32° 17’ 24"""
Ф-24616	Могила-Башкірка	Mohyla-Bashkirka	курган	Полтавська обл.	р-н Гребінківський	"N 50° 6’ 15"""	"E 32° 18’ 0"""
Ф-25493	Могили-Густі	Mohyly-Husti	курган	Полтавська обл.	р-н Пирятинський	"N 50° 20’ 36"""	"E 32° 18’ 50"""
Ф-17588	Горбанівське	Horbanivske	урочище	Полтавська обл.	р-н Гребінківський	"N 50° 12’ 48"""	"E 32° 18’ 53"""
Ф-25120	Могила-Хорунжого	Mohyla-Khorunzhoho	курган	Полтавська обл.	р-н Пирятинський	"N 50° 21’ 55"""	"E 32° 19’ 32"""
Ф-26955	Пологи	Polohy	урочище	Полтавська обл.	р-н Гребінківський	"N 50° 13’ 43"""	"E 32° 20’ 49"""
Ф-26953	Пологе	Polohe	урочище	Полтавська обл.	р-н Гребінківський	"N 50° 10’ 26"""	"E 32° 21’ 37"""
Ф-31096	Сухе Озеро	Sukhe Ozero	урочище	Полтавська обл.	р-н Пирятинський	"N 50° 20’ 13"""	"E 32° 22’ 17"""
Ф-21412	Густі Могили	Husti Mohyly	курган	Полтавська обл.	р-н Пирятинський	"N 50° 23’ 55"""	"E 32° 23’ 23"""
Ф-25380	Мацакова Могила	Matsakova Mohyla	курган	Полтавська обл.	р-н Пирятинський	"N 50° 23’ 19"""	"E 32° 23’ 42"""
Ф-9048	Журавка	Zhuravka	урочище	Полтавська обл.	р-н Гребінківський	"N 50° 2’ 59"""	"E 32° 25’ 28"""
Ф-35531	Мосохи	Mosokhy	урочище	Полтавська обл.	"р-н Гребінківський, р-н
Пирятинський"	"N 50° 12’ 55"""	"E 32° 27’ 13"""
Ф-26432	Кути Кротовскі	Kuty Krotovski	урочище	Полтавська обл.	р-н Пирятинський	"N 50° 23’ 24"""	"E 32° 28’ 54"""
Ф-9043	Крицького	Krytskoho	урочище	Полтавська обл.	р-н Гребінківський	"N 50° 5’ 3"""	"E 32° 29’ 33"""
Ф-3672	Перевід	Perevid	озеро	Полтавська обл.		"N 50° 16’ 0"""	"E 32° 30’ 38"""
Ф-32600	Шаблієвська	Shabliievska	балка	Полтавська обл.	р-н Оржицький	"N 49° 53’ 30"""	"E 32° 31’ 29"""
Ф-22579	Кошелівщина	Koshelivshchyna	урочище	Полтавська обл.	р-н Пирятинський	"N 50° 15’ 28"""	"E 32° 32’ 55"""
Ф-9276	Кендин Сад	Kendyn Sad	урочище	Полтавська обл.	р-н Оржицький	"N 49° 47’ 52"""	"E 32° 33’ 24"""
Ф-9303	Половецьке	Polovetske	урочище	Полтавська обл.	р-н Оржицький	"N 49° 53’ 56"""	"E 32° 33’ 41"""
Ф-21390	Довгий Яр	Dovhyi Yar	балка	Полтавська обл.	р-н Гребінківський	"N 50° 2’ 3"""	"E 32° 33’ 53"""
Ф-30223	Сахновик	Sakhnovyk	балка	Полтавська обл.	р-н Пирятинський	"N 50° 19’ 25"""	"E 32° 33’ 56"""
Ф-3671	Дике	Dyke	озеро	Полтавська обл.		"N 50° 13’ 27"""	"E 32° 34’ 1"""
Ф-26765	Лубенська	Lubenska	курган	Полтавська обл.	р-н Оржицький	"N 49° 57’ 45"""	"E 32° 34’ 29"""
Ф-16371	Басова	Basova	балка	Полтавська обл.	р-н Пирятинський	"N 50° 19’ 33"""	"E 32° 35’ 41"""
Ф-22234	Лиса	Lysa	балка	Полтавська обл.	р-н Пирятинський	"N 50° 18’ 23"""	"E 32° 36’ 18"""
Ф-13893	Вереміївський	Veremiivskyi	острів	Полтавська обл.		"N 49° 21’ 18"""	"E 32° 36’ 21"""
Ф-18822	Великі Солонці	Velyki Solontsi	урочище	Полтавська обл.	р-н Пирятинський	"N 50° 15’ 1"""	"E 32° 36’ 34"""
Ф-3669	Рокита	Rokyta	озеро	Полтавська обл.		"N 50° 9’ 0"""	"E 32° 37’ 4"""
Ф-30821	Ракета	Raketa	урочище	Полтавська обл.	р-н Пирятинський	"N 50° 9’ 2"""	"E 32° 37’ 47"""
Ф-19447	Ведмеже	Vedmezhe	урочище	Полтавська обл.	р-н Пирятинський	"N 50° 16’ 32"""	"E 32° 37’ 8"""
Ф-3670	Плесо	Pleso	озеро	Полтавська обл.		"N 50° 12’ 34"""	"E 32° 38’ 26"""
Ф-22455	Корніївський Садок	Korniivskyi Sadok	урочище	Полтавська обл.	р-н Лубенський	"N 50° 7’ 28"""	"E 32° 38’ 43"""
Ф-35533	Ярошева Долина	Yarosheva Dolyna	урочище	Полтавська обл.	р-н Лубенський, р-н Пирятинський	"N 50° 8’ 22"""	"E 32° 38’ 46"""
Ф-20616	Діброва	Dibrova	урочище	Полтавська обл.	р-н Пирятинський	"N 50° 14’ 46"""	"E 32° 38’ 58"""
Ф-9974	Коржові Могили	Korzhovi Mohyly	урочище	Полтавська обл.	р-н Котелевський	"N 49° 46’ 22"""	"E 32° 39’ 13"""
Ф-7427	Швебська	Shvebska	балка	Полтавська обл.	р-н Пирятинський	"N 50° 21’ 12"""	"E 32° 39’ 30"""
Ф-9051	Богданова Долина	Bohdanova Dolyna	урочище	Полтавська обл.	р-н Пирятинський	"N 50° 16’ 36"""	"E 32° 39’ 39"""
Ф-35532	Тимошеве Озеро	Tymosheve Ozero	урочище	Полтавська обл.	р-н Лубенський, р-н Пирятинський	"N 50° 9’ 43"""	"E 32° 39’ 39"""
Ф-30754	Скориніне	Skorynine	урочище	Полтавська обл.	р-н Лубенський	"N 50° 6’ 58"""	"E 32° 40’ 20"""
Ф-30892	Раків Хутір	Rakiv Khutir	урочище	Полтавська обл.	р-н Лубенський	"N 50° 7’ 38"""	"E 32° 41’ 51"""
Ф-30891	Раків Березняк	Rakiv Berezniak	урочище	Полтавська обл.	р-н Лубенський	"N 50° 9’ 29"""	"E 32° 42’ 2"""
Ф-9049	Гнилоуз	Hnylouz	урочище	Полтавська обл.	р-н Пирятинський	"N 50° 18’ 30"""	"E 32° 42’ 22"""
Ф-27558	Одаменкове	Odamenkove	урочище	Полтавська обл.	р-н Чорнухинський	"N 50° 12’ 26"""	"E 32° 42’ 30"""
Ф-466	Відпільна	Vidpilna	річка	Полтавська обл.		"N 49° 41’ 22"""	"E 32° 42’ 40"""
Ф-16383	Батарея	Batareia	курган	Полтавська обл.	р-н Оржицький	"N 49° 43’ 24"""	"E 32° 42’ 40"""
Ф-13896	Жовнин	Zhovnyn	острів	Полтавська обл.		"N 49° 20’ 5"""	"E 32° 42’ 44"""
Ф-13900	Галицький	Halytskyi	острів	Полтавська обл.		"N 49° 25’ 56"""	"E 32° 42’ 56"""
Ф-27800	Руга	Ruha	урочище	Полтавська обл.	р-н Лубенський	"N 50° 9’ 3"""	"E 32° 42’ 6"""
Ф-27621	Острів	Ostriv	урочище	Полтавська обл.	р-н Лубенський	"N 50° 9’ 28"""	"E 32° 43’ 20"""
Ф-477	Борис	Borys	рукав	Полтавська обл.		"N 49° 38’ 42"""	"E 32° 43’ 35"""
Ф-511	В'язівець	Viazivets	річка	Полтавська обл.		"N 50° 0’ 10"""	"E 32° 43’ 40"""
Ф-9445	Драчки	Drachky	урочище	Полтавська обл.	р-н Семенівський	"N 49° 36’ 38"""	"E 32° 43’ 41"""
Ф-17185	Вербички	Verbychky	урочище	Полтавська обл.	р-н Лубенський	"N 50° 7’ 42"""	"E 32° 43’ 53"""
Ф-3657	Бистра	Bystra	річка	Полтавська обл.		"N 49° 44’ 33"""	"E 32° 44’ 0"""
Ф-19396	Гадючиха	Hadiuchykha	урочище	Полтавська обл.	р-н Пирятинський	"N 50° 15’ 49"""	"E 32° 44’ 17"""
Ф-13903	Кулішівський	Kulishivskyi	острів	Полтавська обл.		"N 49° 26’ 39"""	"E 32° 44’ 46"""
