Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-10014	Круглий Єльник	Kruhlyi Yelnyk	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 28’ 51"""	"E 27° 13’ 31"""
Ф-10017	Козакове	Kozakove	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 27’ 47"""	"E 27° 8’ 40"""
Ф-10031	Камінь	Kamin	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 27’ 12"""	"E 27° 16’ 47"""
Ф-10039	Різки	Rizky	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 26’ 4"""	"E 27° 0’ 23"""
Ф-10048	Язвинки	Yazvynky	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 26’ 28"""	"E 27° 3’ 2"""
Ф-10060	Підберезенко	Pidberezenko	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 26’ 6"""	"E 27° 9’ 11"""
Ф-10064	Мушинське Гало	Mushynske Halo	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 26’ 44"""	"E 27° 28’ 19"""
Ф-10068	Камінь	Kamin	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 25’ 39"""	"E 27° 4’ 17"""
Ф-10074	Лядо	Liado	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 25’ 18"""	"E 27° 9’ 56"""
Ф-10089	Уріччя	Urichchia	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 25’ 0"""	"E 27° 26’ 17"""
Ф-10095	Татиння	Tatynnia	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 25’ 10"""	"E 27° 13’ 19"""
Ф-10098	Зелене	Zelene	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 25’ 31"""	"E 27° 24’ 32"""
Ф-10103	Мединь	Medyn	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 22’ 44"""	"E 27° 13’ 1"""
Ф-10104	Пеньки	Penky	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 23’ 6"""	"E 27° 26’ 35"""
Ф-10105	Святі Гірки	Sviati Hirky	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 22’ 8"""	"E 27° 2’ 21"""
Ф-10106	Закружжя	Zakruzhzhia	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 22’ 1"""	"E 27° 6’ 42"""
Ф-10161	Ботвіни	Botviny	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 21’ 38"""	"E 27° 19’ 18"""
Ф-10169	Казенний Ліс	Kazennyi Lis	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 21’ 39"""	"E 27° 21’ 37"""
Ф-10176	Дзіниха	Dzinykha	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 22’ 12"""	"E 27° 24’ 41"""
Ф-10185	Заєльне	Zaielne	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 39’ 1"""	"E 27° 15’ 34"""
Ф-10194	Підгалище	Pidhalyshche	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 22’ 18"""	"E 27° 29’ 17"""
Ф-10197	Митро-Островок	Mytro-Ostrovok	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 20’ 39"""	"E 27° 5’ 27"""
Ф-10202	Кобила	Kobyla	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 20’ 34"""	"E 27° 17’ 4"""
Ф-10206	Довге	Dovhe	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 20’ 57"""	"E 27° 29’ 32"""
Ф-10207	Волоскова Гора	Voloskova Hora	урочище	Рівненська обл.	р-н Сарненський	"N 51° 18’ 19"""	"E 26° 40’ 31"""
Ф-10210	Лядина	Liadyna	урочище	Рівненська обл.	р-н Сарненський	"N 51° 18’ 41"""	"E 26° 42’ 6"""
Ф-10212	Клетнє	Kletnie	урочище	Рівненська обл.	р-н Сарненський	"N 51° 17’ 11"""	"E 26° 36’ 39"""
Ф-10214	Малин Лісок	Malyn Lisok	урочище	Рівненська обл.	р-н Рокитнівський, р-н Сарненський	"N 51° 17’ 59"""	"E 26° 59’ 7"""
Ф-10217	Мале Перехрестя	Male Perekhrestia	урочище	Рівненська обл.		"N 51° 15’ 56"""	"E 26° 50’ 8"""
Ф-10220	Веприк	Vepryk	урочище	Рівненська обл.	р-н Сарненський	"N 51° 13’ 58"""	"E 26° 30’ 41"""
Ф-10226	Непрецька Гірка	Nepretska Hirka	урочище	Рівненська обл.	р-н Сарненський	"N 51° 13’ 47"""	"E 26° 50’ 43"""
Ф-10276	Цюзева Гора	Tsiuzeva Hora	урочище	Рівненська обл.	р-н Сарненський	"N 51° 10’ 55"""	"E 26° 40’ 11"""
Ф-10279	Маслів Брід	Masliv Brid	урочище	Рівненська обл.	р-н Сарненський	"N 51° 11’ 21"""	"E 26° 50’ 42"""
Ф-10284	Качай-Болото	Kachai-Boloto	урочище	Рівненська обл.	р-н Березнівський	"N 51° 9’ 20"""	"E 26° 31’ 23"""
Ф-10286	Будки	Budky	урочище	Рівненська обл.	р-н Сарненський	"N 51° 8’ 37"""	"E 26° 41’ 50"""
Ф-10294	Столбцова Нива	Stolbtsova Nyva	урочище	Рівненська обл.	р-н Сарненський	"N 51° 9’ 6"""	"E 26° 50’ 42"""
Ф-10301	Половиця	Polovytsia	урочище	Рівненська обл.	р-н Березнівський	"N 51° 7’ 37"""	"E 26° 30’ 47"""
Ф-10312	Одри	Odry	урочище	Рівненська обл.	р-н Березнівський	"N 51° 7’ 41"""	"E 26° 37’ 45"""
Ф-10315	Тиненські Гори	Tynenski Hory	урочище	Рівненська обл.	р-н Сарненський, р-н Березнівський	"N 51° 7’ 41"""	"E 26° 52’ 54"""
Ф-10321	Струпин	Strupyn	урочище	Рівненська обл.	р-н Березнівський	"N 51° 7’ 43"""	"E 26° 57’ 49"""
Ф-10327	Іванове	Ivanove	урочище	Рівненська обл.	р-н Березнівський	"N 51° 7’ 19"""	"E 26° 49’ 4"""
Ф-10336	Ведмеже	Vedmezhe	урочище	Рівненська обл.	р-н Березнівський	"N 51° 6’ 46"""	"E 26° 49’ 18"""
Ф-10338	Видрі	Vydri	урочище	Рівненська обл.	р-н Березнівський	"N 51° 5’ 59"""	"E 26° 38’ 50"""
Ф-10341	Рудневське	Rudnevske	урочище	Рівненська обл.	р-н Березнівський	"N 51° 6’ 8"""	"E 26° 54’ 41"""
Ф-10349	Сосине	Sosyne	урочище	Рівненська обл.	р-н Березнівський	"N 51° 4’ 18"""	"E 26° 53’ 45"""
Ф-10358	Чорторий	Chortoryi	урочище	Рівненська обл.	р-н Березнівський	"N 51° 4’ 23"""	"E 26° 56’ 41"""
Ф-10361	Струга	Struha	урочище	Рівненська обл.	р-н Березнівський	"N 51° 4’ 3"""	"E 26° 49’ 0"""
Ф-10365	Порубиха	Porubykha	урочище	Рівненська обл.	р-н Березнівський	"N 51° 2’ 51"""	"E 26° 50’ 57"""
Ф-10368	Дике Гало	Dyke Halo	урочище	Рівненська обл.	р-н Березнівський	"N 51° 1’ 38"""	"E 26° 38’ 35"""
Ф-10375	Вобра	Vobra	урочище	Рівненська обл.	р-н Березнівський	"N 51° 1’ 0"""	"E 26° 42’ 22"""
