Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-19307	Виднареве	Vydnareve	урочище	Тернопільська обл.	р-н Бережанський	"N 49° 28’ 44"""	"E 24° 44’ 10"""
Ф-28386	Піщане	Pishchane	урочище	Тернопільська обл.	р-н Бережанський	"N 49° 27’ 30"""	"E 24° 45’ 17"""
Ф-16070	Атаманчиків Кут	Atamanchykiv Kut	урочище	Тернопільська обл.	р-н Бережанський	"N 49° 33’ 14"""	"E 24° 45’ 32"""
Ф-30291	Сварливець	Svarlyvets	урочище	Тернопільська обл.	р-н Бережанський	"N 49° 29’ 7"""	"E 24° 45’ 33"""
Ф-2886	Бибелька	Bybelka	річка	Тернопільська обл., Івано-Франківська обл.		"N 49° 6’ 45"""	"E 24° 45’ 35"""
Ф-12173	Шкребівська	Shkrebivska	гора	Тернопільська обл.	р-н Бережанський	"N 49° 31’ 45"""	"E 24° 45’ 40"""
Ф-37604	Гильківка	Hylkivka	ліс	Тернопільська обл.	р-н Бережанський	"N 49° 34’ 0"""	"E 24° 45’ 54"""
Ф-32351	Шкляна Гута	Shkliana Huta	урочище	Тернопільська обл.	р-н Бережанський	"N 49° 29’ 15"""	"E 24° 46’ 20"""
Ф-15287	Голодний Горб	Holodnyi Horb	гора	Тернопільська обл.	Бережанський р-н	"N 49° 34’ 17"""	"E 24° 46’ 48"""
Ф-21032	Голодний Горб	Holodnyi Horb	гора	Тернопільська обл.	р-н Бережанський	"N 49° 34’ 17"""	"E 24° 46’ 48"""
Ф-16608	Берейкове	Bereikove	урочище	Тернопільська обл.	р-н Бережанський	"N 49° 33’ 4"""	"E 24° 46’ 51"""
Ф-15289	Івахова	Ivakhova	гора	Тернопільська обл.	Бережанський р-н	"N 49° 33’ 20"""	"E 24° 47’ 54"""
Ф-24150	Івахова	Ivakhova	гора	Тернопільська обл.	р-н Бережанський	"N 49° 33’ 20"""	"E 24° 47’ 54"""
Ф-23719	Колдубинське	Koldubynske	урочище	Тернопільська обл.	р-н Бережанський	"N 49° 29’ 6"""	"E 24° 48’ 15"""
Ф-15290	Висока	Vysoka	гора	Тернопільська обл.	Бережанський р-н	"N 49° 30’ 18"""	"E 24° 48’ 29"""
Ф-19106	Висока	Vysoka	гора	Тернопільська обл.	р-н Бережанський	"N 49° 30’ 18"""	"E 24° 48’ 29"""
Ф-15288	Шкребівська	Shkrebivska	гора	Тернопільська обл.	Бережанський р-н	"N 49° 31’ 40"""	"E 24° 48’ 35"""
Ф-32397	Шкребівська	Shkrebivska	гора	Тернопільська обл.	р-н Бережанський	"N 49° 31’ 40"""	"E 24° 48’ 35"""
Ф-12176	Липа	Lypa	гора	Тернопільська обл.	р-н Бережанський	"N 49° 28’ 26"""	"E 24° 48’ 51"""
Ф-21277	Дубник	Dubnyk	урочище	Тернопільська обл.	р-н Бережанський	"N 49° 34’ 13"""	"E 24° 49’ 16"""
Ф-18932	Вивси	Vyvsy	урочище	Тернопільська обл.	р-н Бережанський	"N 49° 31’ 2"""	"E 24° 49’ 29"""
Ф-21336	Грабник	Hrabnyk	урочище	Тернопільська обл.	р-н Бережанський	"N 49° 27’ 47"""	"E 24° 49’ 33"""
