Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-1149	Утлюцький лиман	Utliutskyi lyman	лиман	Запорізька обл., Херсонська обл.		"N 46° 12’ 0"""	"E 35° 5’ 0"""
Ф-13522	Федотова коса	Fedotova kosa	коса	Запорізька обл., Херсонська обл.		"N 46° 15’ 28"""	"E 35° 16’ 18"""
Ф-13765	Пересип	Peresyp	острів	Запорізька обл.		"N 46° 21’ 26"""	"E 35° 7’ 18"""
Ф-34004	Кирилівське	Kyrylivske	озеро	Запорізька обл.	р-н Якимівський	"N 46° 21’ 3"""	"E 35° 20’ 18"""
Ф-32709	Перший Солончак	Pershyi Solonchak	балка	Запорізька обл.	р-н Якимівський	"N 46° 21’ 31"""	"E 35° 18’ 22"""
Ф-20332	Калмицька	Kalmytska	балка	Запорізька обл.	р-н Якимівський	"N 46° 21’ 42"""	"E 35° 16’ 20"""
Ф-1135	Солоне	Solone	озеро	Запорізька обл.		"N 46° 21’ 5"""	"E 35° 4’ 31"""
Ф-46002	Солоне	Solone	солоне озеро	Запорізька обл.	р-н Якимівський	"N 46° 21’ 57"""	"E 35° 7’ 57"""
Ф-46001	Камчатка	Kamchatka	півострів	Запорізька обл.	р-н Якимівський	"N 46° 22’ 22"""	"E 35° 7’ 1"""
Ф-1133	"Утлюцький Лиман (озеро
Сиваш)"	"Utliutskyi Lyman (ozero
Syvash)"	озеро	Запорізька обл.		"N 46° 22’ 52"""	"E 35° 6’ 30"""
Ф-33881	Болградський Сивашик	Bolhradskyi Syvash	лиман	Запорізька обл.		"N 46° 23’ 20"""	"E 35° 3’ 1"""
Ф-45979	Солоне	Solone	озеро, що пересихає	Запорізька обл.	р-н Якимівський	"N 46° 24’ 20"""	"E 35° 7’ 40"""
Ф-16647	Біловськ	Bilovsk	урочище	Запорізька обл.	р-н Якимівський	"N 46° 24’ 21"""	"E 35° 9’ 8"""
Ф-28222	Пересип	Peresyp	урочище	Запорізька обл.	р-н Якимівський	"N 46° 24’ 30"""	"E 35° 24’ 19"""
Ф-45510	Атманай	Atmanai	річка	Запорізька обл.	р-н Якимівський	"N 46° 24’ 53"""	"E 35° 6’ 32"""
Ф-31420	П'ятихатки	Piatykhatky	урочище	Запорізька обл.	р-н Якимівський	"N 46° 25’ 56"""	"E 35° 8’ 50"""
Ф-7941	Костюкове	Kostiukove	урочище	Запорізька обл.	р-н Якимівський	"N 46° 25’ 8"""	"E 35° 11’ 51"""
Ф-1137	Молочний Лиман	Molochnyi Lyman	озеро	Запорізька обл.		"N 46° 26’ 0"""	"E 35° 26’ 30"""
Ф-7939	Горбаток	Horbatok	урочище	Запорізька обл.	р-н Якимівський	"N 46° 26’ 30"""	"E 35° 10’ 51"""
Ф-20524	Євстратівка	Yevstrativka	урочище	Запорізька обл.	р-н Якимівський	"N 46° 27’ 25"""	"E 35° 5’ 37"""
Ф-7938	Кубек	Kubek	урочище	Запорізька обл.	р-н Приазовський	"N 46° 28’ 2"""	"E 35° 26’ 30"""
Ф-32208	Ястребівка	Yastrebivka	урочище	Запорізька обл.	р-н Якимівський	"N 46° 28’ 22"""	"E 35° 5’ 29"""
Ф-30597	Стрылка	Strыlka	урочище	Запорізька обл.	р-н Приазовський	"N 46° 29’ 31"""	"E 35° 23’ 11"""
Ф-33922	Дзендзик	Dzendzyk	мис	Запорізька обл.		"N 46° 29’ 53"""	"E 36° 6’ 41"""
Ф-13761	Дзензик	Dzenzyk	мис	Запорізька обл.		"N 46° 29’ 55"""	"E 36° 6’ 40"""
Ф-2732	Великий Утлюк	Velykyi Utliuk	річка	Запорізька обл.		"N 46° 29’ 59"""	"E 35° 10’ 0"""
Ф-8336	Камкарі	Kamkari	урочище	Запорізька обл.	р-н Приморський	"N 46° 30’ 20"""	"E 36° 14’ 30"""
Ф-33940	Молочне	Molochne	солоне озеро	Запорізька обл.		"N 46° 30’ 3"""	"E 35° 24’ 7"""
Ф-2733	Малий Утлюк	Malyi Utliuk	річка	Запорізька обл.		"N 46° 30’ 35"""	"E 35° 11’ 40"""
Ф-8339	Солодкі Лимани	Solodki Lymany	урочище	Запорізька обл.	р-н Приморський	"N 46° 31’ 0"""	"E 36° 13’ 30"""
Ф-7982	Краснодар	Krasnodar	урочище	Запорізька обл.	р-н Якимівський	"N 46° 31’ 25"""	"E 34° 58’ 20"""
Ф-33925	Круглий лиман	Kruhlyi lyman	лиман	Запорізька обл.	р-н Приморський	"N 46° 31’ 7"""	"E 36° 9’ 52"""
Ф-13759	Коса Крива	Kosa Kryva	коса	Запорізька обл.		"N 46° 32’ 20"""	"E 36° 12’ 13"""
Ф-33923	Кривий лиман	Kryvyi lyman	лиман	Запорізька обл.	р-н Приморський	"N 46° 32’ 34"""	"E 36° 12’ 29"""
Ф-30132	Сонячне	Soniachne	урочище	Запорізька обл.	р-н Приазовський	"N 46° 32’ 51"""	"E 35° 35’ 54"""
Ф-7980	Загальне	Zahalne	урочище	Запорізька обл.	р-н Якимівський	"N 46° 32’ 58"""	"E 34° 56’ 0"""
Ф-32060	Червоний Колодязь	Chervonyi Kolodiaz	урочище	Запорізька обл.	р-н Якимівський	"N 46° 33’ 16"""	"E 35° 11’ 37"""
Ф-7977	Іскрівка	Iskrivka	урочище	Запорізька обл.	р-н Якимівський	"N 46° 33’ 31"""	"E 34° 59’ 11"""
Ф-7936	Баги	Bahy	урочище	Запорізька обл.	р-н Приазовський	"N 46° 33’ 48"""	"E 35° 25’ 1"""
Ф-13758	Великий	Velykyi	острів	Запорізька обл.		"N 46° 33’ 51"""	"E 36° 13’ 27"""
Ф-7975	Виноградне	Vynohradne	урочище	Запорізька обл.	р-н Якимівський	"N 46° 34’ 10"""	"E 34° 53’ 35"""
Ф-24861	Межеве	Mezheve	урочище	Запорізька обл.	р-н Якимівський	"N 46° 34’ 35"""	"E 34° 46’ 43"""
Ф-13753	Камишаний	Kamyshanyi	острів	Запорізька обл.		"N 46° 34’ 40"""	"E 36° 14’ 39"""
Ф-31242	Середнє	Serednie	урочище	Запорізька обл.	р-н Якимівський	"N 46° 34’ 56"""	"E 34° 48’ 15"""
Ф-13756	Пасленний	Paslennyi	острів	Запорізька обл.		"N 46° 34’ 8"""	"E 36° 14’ 10"""
Ф-18017	Вишневе	Vyshneve	урочище	Запорізька обл.	р-н Якимівський	"N 46° 34’ 9"""	"E 34° 48’ 25"""
