Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-4588	Дубовий Острів	Dubovyi Ostriv	урочище	Житомирська обл.	р-н Радомишльський	"N 50° 36’ 0"""	"E 29° 5’ 50"""
Ф-326	Березанка	Berezanka	річка	Житомирська обл., Київська обл.		"N 49° 34’ 38"""	"E 29° 54’ 59"""
Ф-6314	Артемин Яр	Artemyn Yar	урочище	Житомирська обл.	р-н Ружинський	"N 49° 38’ 28"""	"E 29° 17’ 20"""
Ф-32497	Велика Руда	Velyka Ruda	балка	Житомирська обл.	р-н Ружинський	"N 49° 39’ 22"""	"E 29° 1’ 2"""
Ф-30356	Самгородське	Samhorodske	урочище	Житомирська обл.	р-н Ружинський	"N 49° 40’ 16"""	"E 29° 28’ 0"""
Ф-4506	Орільське	Orilske	урочище	Житомирська обл.	р-н Ружинський	"N 49° 40’ 40"""	"E 29° 24’ 41"""
Ф-39967	Шпиль	Shpyl	ліс	Житомирська обл.	р-н Ружинський	"N 49° 40’ 55"""	"E 29° 19’ 8"""
Ф-30735	Поруб	Porub	урочище	Житомирська обл.	р-н Ружинський	"N 49° 41’ 18"""	"E 29° 8’ 20"""
Ф-341	Ситна	Sytna	річка	Житомирська обл.		"N 49° 41’ 21"""	"E 29° 2’ 4"""
Ф-4504	Ружинський Ліс	Ryzhunskyi Lis	урочище	Житомирська обл.	р-н Ружинський	"N 49° 41’ 49"""	"E 29° 13’ 52"""
Ф-39397	Ружинський	Ruzhynskyi	ліс	Житомирська обл.	р-н Ружинський	"N 49° 41’ 9"""	"E 29° 13’ 43"""
Ф-21555	Гедзів Яр	Hedziv Yar	урочище	Житомирська обл.	р-н Ружинський	"N 49° 42’ 31"""	"E 29° 5’ 7"""
Ф-31857	Яр Вершина	Yar Vershyna	балка	Житомирська обл.	р-н Ружинський	"N 49° 42’ 53"""	"E 29° 1’ 55"""
Ф-4502	Гилів	Hyliv	урочище	Житомирська обл.	р-н Ружинський	"N 49° 43’ 10"""	"E 29° 4’ 0"""
Ф-39395	Дубовий Хутір	Dubovyi Khutir	ліс	Житомирська обл.	р-н Ружинський	"N 49° 43’ 13"""	"E 29° 16’ 19"""
Ф-27522	Попів Яр	Popiv Yar	урочище	Житомирська обл.	р-н Ружинський	"N 49° 43’ 27"""	"E 29° 6’ 14"""
Ф-18105	Воронячий Яр	Voroniachyi Yar	балка	Житомирська обл.	р-н Ружинський	"N 49° 43’ 3"""	"E 29° 8’ 11"""
Ф-20536	Загір'я	Zahiria	урочище	Житомирська обл.	р-н Ружинський	"N 49° 44’ 31"""	"E 29° 24’ 18"""
Ф-32563	Катеринів Яр	Kateryniv Yar	балка	Житомирська обл.	р-н Ружинський	"N 49° 44’ 34"""	"E 29° 8’ 54"""
Ф-18055	Гричиного Хутора	Hrychynoho Khutora	яр	Житомирська обл.	р-н Ружинський	"N 49° 44’ 37"""	"E 29° 20’ 8"""
Ф-32093	Яр Середня Руда	Yar Serednia Ruda	балка	Житомирська обл.	р-н Ружинський	"N 49° 44’ 42"""	"E 29° 0’ 28"""
Ф-32148	Яри	Yary	урочище	Житомирська обл.	р-н Ружинський	"N 49° 45’ 35"""	"E 29° 15’ 57"""
Ф-16348	Баришів Яр	Baryshiv Yar	балка	Житомирська обл.	р-н Ружинський	"N 49° 45’ 42"""	"E 29° 1’ 5"""
Ф-4498	Карабчиєве	Karabchyieve	урочище	Житомирська обл.	р-н Ружинський	"N 49° 45’ 45"""	"E 29° 23’ 40"""
Ф-12757	Шуляків Яр	Shuliakiv Yar	балка	Житомирська обл.	р-н Ружинський	"N 49° 45’ 50"""	"E 29° 12’ 45"""
Ф-22918	Ляшин Яр	Liashyn Yar	урочище	Житомирська обл.	р-н Ружинський	"N 49° 45’ 52"""	"E 29° 9’ 28"""
Ф-23384	Коберників Яр	Kobernykiv Yar	балка	Житомирська обл.	р-н Ружинський	"N 49° 46’ 12"""	"E 29° 9’ 19"""
Ф-4494	Шуляків Яр	Shuliakiv Yar	урочище	Житомирська обл.	р-н Ружинський	"N 49° 46’ 15"""	"E 29° 12’ 30"""
Ф-21861	Герасимів Яр	Herasymiv Yar	балка	Житомирська обл.	р-н Ружинський	"N 49° 46’ 20"""	"E 29° 3’ 47"""
Ф-12756	Манішевський Яр	Manishevskyi Yar	балка	Житомирська обл.	р-н Ружинський	"N 49° 46’ 40"""	"E 29° 5’ 10"""
Ф-17386	Глибокий Яр	Hlybokyi Yar	балка	Житомирська обл.	р-н Ружинський	"N 49° 46’ 41"""	"E 29° 1’ 35"""
Ф-28105	Пилипчиків Яр	Pylypchykiv Yar	балка	Житомирська обл.	р-н Ружинський	"N 49° 46’ 44"""	"E 29° 12’ 10"""
Ф-18751	Бурячки	Buriachky	урочище	Житомирська обл.	р-н Ружинський	"N 49° 46’ 48"""	"E 29° 15’ 14"""
Ф-4487	Манишевський Яр	Manyshevskyi Yar	урочище	Житомирська обл.	р-н Ружинський	"N 49° 46’ 50"""	"E 29° 5’ 30"""
Ф-4490	Королиха	Korolykha	урочище	Житомирська обл.	р-н Ружинський	"N 49° 46’ 50"""	"E 29° 18’ 20"""
Ф-32358	Ярки	Yarky	урочище	Житомирська обл.	р-н Ружинський	"N 49° 47’ 10"""	"E 29° 15’ 48"""
Ф-29211	Панасів Яр	Panasiv Yar	урочище	Житомирська обл.	р-н Ружинський	"N 49° 47’ 2"""	"E 29° 2’ 38"""
Ф-27523	Попів Яр	Popiv Yar	урочище	Житомирська обл.	р-н Ружинський	"N 49° 47’ 30"""	"E 29° 0’ 54"""
Ф-160	Постіл	Postil	річка	Житомирська обл.		"N 49° 47’ 43"""	"E 29° 22’ 10"""
Ф-4489	Панскій Яр	Panskyi Yar	урочище	Житомирська обл.	р-н Ружинський	"N 49° 47’ 5"""	"E 29° 7’ 59"""
Ф-39394	Вербівський	Verbivskyi	ліс	Житомирська обл.	р-н Ружинський	"N 49° 48’ 23"""	"E 29° 25’ 0"""
Ф-33592	Таборський Яр	Taborskyi Yar	ущелина	Житомирська обл.	р-н Ружинський	"N 49° 48’ 33"""	"E 29° 4’ 45"""
Ф-23742	Коломийський Яр	Kolomyiskyi Yar	урочище	Житомирська обл.	р-н Ружинський	"N 49° 48’ 35"""	"E 29° 6’ 1"""
Ф-24002	Кислий Яр	Kyslyi Yar	балка	Житомирська обл.	р-н Ружинський	"N 49° 48’ 41"""	"E 29° 12’ 44"""
Ф-39393	Паволочський	Pavolochskyi	ліс	Житомирська обл.	р-н Попільнянський	"N 49° 48’ 55"""	"E 29° 27’ 7"""
Ф-31349	Попови	Popovy	урочище	Житомирська обл.	р-н Ружинський	"N 49° 49’ 10"""	"E 29° 15’ 52"""
Ф-26383	Макагони	Makahony	урочище	Житомирська обл.	р-н Ружинський	"N 49° 49’ 13"""	"E 29° 20’ 30"""
Ф-21384	Довгий Яр	Dovhyi Yar	балка	Житомирська обл.	р-н Ружинський	"N 49° 49’ 43"""	"E 29° 13’ 39"""
Ф-21048	Жуків Яр	Zhukiv Yar	балка	Житомирська обл.	р-н Ружинський	"N 49° 49’ 49"""	"E 29° 10’ 32"""
Ф-32094	Яр Суцького	Yar Sutskoho	балка	Житомирська обл.	р-н Ружинський	"N 49° 49’ 50"""	"E 29° 5’ 47"""
Ф-23891	Кручений Яр	Kruchenyi Yar	ущелина	Житомирська обл.	р-н Ружинський	"N 49° 49’ 52"""	"E 29° 3’ 10"""
Ф-27521	Попів Яр	Popiv Yar	урочище	Житомирська обл.	р-н Ружинський	"N 49° 49’ 7"""	"E 29° 9’ 1"""
Ф-18949	Гаданка	Hadanka	балка	Житомирська обл.	р-н Бердичівський	"N 49° 50’ 15"""	"E 28° 34’ 13"""
Ф-30024	Терехова	Terekhova	балка	Житомирська обл.	р-н Бердичівський	"N 49° 50’ 16"""	"E 28° 34’ 58"""
Ф-21578	Житомирський Яр	Zhytomyrskyi Yar	урочище	Житомирська обл.	р-н Попільнянський	"N 49° 50’ 33"""	"E 29° 18’ 49"""
Ф-4520	Хутір	Khutir	урочище	Житомирська обл.	р-н Попільнянський	"N 49° 50’ 41"""	"E 29° 31’ 50"""
Ф-4513	Буймер	Buimer	урочище	Житомирська обл.	р-н Попільнянський	"N 49° 50’ 46"""	"E 29° 23’ 30"""
Ф-4468	Грабарка	Hrabarka	урочище	Житомирська обл.	р-н Бердичівський	"N 49° 51’ 0"""	"E 28° 17’ 0"""
